plant,ts,time,Q,I,turbined,spilled,residual,source,ONS_Q,ONS_I,delta_Q,delta_I,CERAN_Q_minus_turbined_spilled,CERAN_Q_minus_all_including_residual
julho,1789887600.0,2026-09-20T04:00:00-03:00,360.07,311.74,324.62,35.45,29.45,JSON,360.0,312.0,0.06999999999999318,-0.2599999999999909,-1.4210854715202004e-14,-29.450000000000014
julho,1789891200.0,2026-09-20T05:00:00-03:00,361.52,329.3,328.11,33.41,29.41,JSON,362.0,329.0,-0.4800000000000182,0.30000000000001137,-2.842170943040401e-14,-29.41000000000003
monte,1789891200.0,2026-09-20T05:00:00-03:00,303.81,337.14,171.28,132.53,5.5,JSON,304.0,337.0,-0.18999999999999773,0.13999999999998636,0.0,-5.5
castro,1789891200.0,2026-09-20T05:00:00-03:00,172.56,246.59,153.99,18.57,18.57,JSON,173.0,247.0,-0.4399999999999977,-0.4099999999999966,-7.105427357601002e-15,-18.570000000000007
julho,1789894800.0,2026-09-20T06:00:00-03:00,350.28,285.84,320.94,29.34,29.34,JSON,350.0,286.0,0.2799999999999727,-0.160000000000025,-2.4868995751603507e-14,-29.340000000000025
monte,1789894800.0,2026-09-20T06:00:00-03:00,296.33,288.0,170.55,125.78,5.5,JSON,296.0,288.0,0.3299999999999841,0.0,-2.842170943040401e-14,-5.500000000000028
castro,1789894800.0,2026-09-20T06:00:00-03:00,172.7,231.92,154.08,18.62,18.62,JSON,173.0,232.0,-0.30000000000001137,-0.0800000000000125,-2.4868995751603507e-14,-18.620000000000026
monte,1789898400.0,2026-09-20T07:00:00-03:00,338.77,388.77,169.67,169.1,5.5,JSON,339.0,389.0,-0.2300000000000182,-0.2300000000000182,0.0,-5.5
castro,1789898400.0,2026-09-20T07:00:00-03:00,172.62,246.65,153.94,18.68,18.68,JSON,173.0,247.0,-0.37999999999999545,-0.3499999999999943,7.105427357601002e-15,-18.679999999999993
julho,1789898400.0,2026-09-20T07:00:00-03:00,349.21,333.1,319.89,29.32,29.32,JSON,349.0,333.0,0.20999999999997954,0.10000000000002274,-7.105427357601002e-15,-29.320000000000007
julho,1789902000.0,2026-09-20T08:00:00-03:00,347.7,363.81,318.36,29.34,29.34,JSON,348.0,364.0,-0.30000000000001137,-0.18999999999999773,-2.4868995751603507e-14,-29.340000000000025
monte,1789902000.0,2026-09-20T08:00:00-03:00,335.29,331.12,170.06,165.23,5.5,JSON,335.0,331.0,0.29000000000002046,0.12000000000000455,2.842170943040401e-14,-5.499999999999972
castro,1789902000.0,2026-09-20T08:00:00-03:00,256.67,286.28,154.01,102.66,18.7,JSON,257.0,286.0,-0.3299999999999841,0.2799999999999727,2.842170943040401e-14,-18.69999999999997
julho,1789905600.0,2026-09-20T09:00:00-03:00,202.14,508.25,144.46,57.68,29.68,JSON,202.0,508.0,0.13999999999998636,0.25,-2.1316282072803006e-14,-29.68000000000002
castro,1789905600.0,2026-09-20T09:00:00-03:00,256.7,227.09,154.17,102.53,18.68,JSON,257.0,227.0,-0.30000000000001137,0.09000000000000341,0.0,-18.68
monte,1789905600.0,2026-09-20T09:00:00-03:00,283.54,337.71,64.22,219.32,5.5,JSON,284.0,338.0,-0.45999999999997954,-0.29000000000002046,2.842170943040401e-14,-5.499999999999972
julho,1789909200.0,2026-09-20T10:00:00-03:00,90.1,283.43,0.0,90.1,29.9,JSON,90.0,283.0,0.09999999999999432,0.4300000000000068,0.0,-29.9
castro,1789909200.0,2026-09-20T10:00:00-03:00,172.94,187.75,154.25,18.69,18.69,JSON,173.0,188.0,-0.060000000000002274,-0.25,-3.552713678800501e-15,-18.690000000000005
monte,1789909200.0,2026-09-20T10:00:00-03:00,280.63,338.96,0.0,280.63,5.5,JSON,281.0,339.0,-0.37000000000000455,-0.040000000000020464,0.0,-5.5
julho,1789912800.0,2026-09-20T11:00:00-03:00,106.19,186.75,0.0,106.19,29.99,JSON,106.0,187.0,0.18999999999999773,-0.25,0.0,-29.99
castro,1789912800.0,2026-09-20T11:00:00-03:00,173.01,202.62,154.29,18.72,18.72,JSON,173.0,203.0,0.009999999999990905,-0.37999999999999545,0.0,-18.72
monte,1789912800.0,2026-09-20T11:00:00-03:00,299.4,316.07,0.0,299.4,5.5,JSON,299.0,316.0,0.39999999999997726,0.06999999999999318,0.0,-5.5
monte,1789916400.0,2026-09-20T12:00:00-03:00,333.56,362.73,0.0,333.56,5.5,JSON,334.0,363.0,-0.4399999999999977,-0.2699999999999818,0.0,-5.5
julho,1789916400.0,2026-09-20T12:00:00-03:00,102.97,86.86,0.0,102.97,29.97,JSON,103.0,87.0,-0.030000000000001137,-0.14000000000000057,0.0,-29.97
castro,1789916400.0,2026-09-20T12:00:00-03:00,173.1,247.13,154.33,18.77,18.77,JSON,173.0,247.0,0.09999999999999432,0.12999999999999545,-1.7763568394002505e-14,-18.770000000000017
julho,1789920000.0,2026-09-20T13:00:00-03:00,170.49,460.49,0.0,170.49,30.29,JSON,170.0,460.0,0.4900000000000091,0.4900000000000091,0.0,-30.29
monte,1789920000.0,2026-09-20T13:00:00-03:00,348.7,361.2,0.0,348.7,5.5,JSON,349.0,361.0,-0.30000000000001137,0.19999999999998863,0.0,-5.5
castro,1789920000.0,2026-09-20T13:00:00-03:00,173.78,247.81,154.25,19.53,18.83,JSON,174.0,248.0,-0.21999999999999886,-0.18999999999999773,0.0,-18.83
castro,1789923600.0,2026-09-20T14:00:00-03:00,176.72,235.94,154.19,22.53,18.88,JSON,177.0,236.0,-0.28000000000000114,-0.060000000000002274,0.0,-18.88
monte,1789923600.0,2026-09-20T14:00:00-03:00,338.58,330.25,0.0,338.58,5.5,JSON,339.0,330.0,-0.4200000000000159,0.25,0.0,-5.5
julho,1789923600.0,2026-09-20T14:00:00-03:00,206.33,335.22,0.0,206.33,30.43,JSON,206.0,335.0,0.3300000000000125,0.22000000000002728,0.0,-30.43
monte,1789927200.0,2026-09-20T15:00:00-03:00,318.74,302.07,0.0,318.74,5.5,JSON,319.0,302.0,-0.2599999999999909,0.06999999999999318,0.0,-5.5
castro,1789927200.0,2026-09-20T15:00:00-03:00,182.15,256.18,154.05,28.1,18.94,JSON,182.0,256.0,0.15000000000000568,0.18000000000000682,-7.105427357601002e-15,-18.94000000000001
julho,1789927200.0,2026-09-20T15:00:00-03:00,245.68,374.57,0.0,245.68,30.58,JSON,246.0,375.0,-0.3199999999999932,-0.4300000000000068,0.0,-30.58
monte,1789930800.0,2026-09-20T16:00:00-03:00,309.0,300.67,0.0,309.0,5.5,JSON,309.0,301.0,0.0,-0.3299999999999841,0.0,-5.5
castro,1789930800.0,2026-09-20T16:00:00-03:00,190.72,279.55,153.93,36.79,19.0,JSON,191.0,280.0,-0.28000000000000114,-0.44999999999998863,-7.105427357601002e-15,-19.000000000000007
