plant,ts,time,Q,I,turbined,spilled,residual,source,ONS_Q,ONS_I,delta_Q,delta_I,CERAN_Q_minus_turbined_spilled,CERAN_Q_minus_all_including_residual
julho,1789912800.0,2026-09-20T11:00:00-03:00,106.19,186.75,0.0,106.19,29.99,HTML,106.0,187.0,0.18999999999999773,-0.25,0.0,-29.99
julho,1789909200.0,2026-09-20T10:00:00-03:00,90.1,283.43,0.0,90.1,29.9,HTML,90.0,283.0,0.09999999999999432,0.4300000000000068,0.0,-29.9
julho,1789905600.0,2026-09-20T09:00:00-03:00,202.14,508.25,144.46,57.68,29.68,HTML,202.0,508.0,0.13999999999998636,0.25,-2.1316282072803006e-14,-29.68000000000002
julho,1789902000.0,2026-09-20T08:00:00-03:00,347.7,363.81,318.36,29.34,29.34,HTML,348.0,364.0,-0.30000000000001137,-0.18999999999999773,-2.4868995751603507e-14,-29.340000000000025
julho,1789898400.0,2026-09-20T07:00:00-03:00,349.21,333.1,319.89,29.32,29.32,HTML,349.0,333.0,0.20999999999997954,0.10000000000002274,-7.105427357601002e-15,-29.320000000000007
julho,1789894800.0,2026-09-20T06:00:00-03:00,350.28,285.84,320.94,29.34,29.34,HTML,350.0,286.0,0.2799999999999727,-0.160000000000025,-2.4868995751603507e-14,-29.340000000000025
julho,1789891200.0,2026-09-20T05:00:00-03:00,361.52,329.3,328.11,33.41,29.41,HTML,362.0,329.0,-0.4800000000000182,0.30000000000001137,-2.842170943040401e-14,-29.41000000000003
julho,1789887600.0,2026-09-20T04:00:00-03:00,360.07,311.74,324.62,35.45,29.45,HTML,360.0,312.0,0.06999999999999318,-0.2599999999999909,-1.4210854715202004e-14,-29.450000000000014
julho,1789884000.0,2026-09-20T03:00:00-03:00,362.16,313.83,323.66,38.5,29.5,HTML,362.0,314.0,0.160000000000025,-0.17000000000001592,0.0,-29.5
julho,1789880400.0,2026-09-20T02:00:00-03:00,367.37,286.81,323.81,43.56,29.56,HTML,367.0,287.0,0.37000000000000455,-0.18999999999999773,0.0,-29.56
julho,1789876800.0,2026-09-20T01:00:00-03:00,377.27,312.83,323.62,53.65,29.65,HTML,377.0,313.0,0.2699999999999818,-0.17000000000001592,-2.1316282072803006e-14,-29.65000000000002
julho,1789869600.0,2026-09-19T23:00:00-03:00,402.67,322.11,326.66,76.01,29.81,HTML,403.0,322.0,-0.3299999999999841,0.11000000000001364,-1.4210854715202004e-14,-29.810000000000013
julho,1789866000.0,2026-09-19T22:00:00-03:00,416.85,336.29,326.75,90.1,29.9,HTML,417.0,336.0,-0.14999999999997726,0.29000000000002046,2.842170943040401e-14,-29.89999999999997
julho,1789862400.0,2026-09-19T21:00:00-03:00,432.86,352.3,326.67,106.19,29.99,HTML,433.0,352.0,-0.13999999999998636,0.30000000000001137,0.0,-29.99
julho,1789858800.0,2026-09-19T20:00:00-03:00,447.77,415.55,324.89,122.88,30.08,HTML,448.0,416.0,-0.2300000000000182,-0.44999999999998863,0.0,-30.08
julho,1789855200.0,2026-09-19T19:00:00-03:00,454.85,390.41,324.33,130.52,30.12,HTML,455.0,390.0,-0.14999999999997726,0.410000000000025,2.842170943040401e-14,-30.119999999999973
julho,1789851600.0,2026-09-19T18:00:00-03:00,459.23,249.79,313.44,145.79,30.19,HTML,459.0,250.0,0.2300000000000182,-0.21000000000000796,2.842170943040401e-14,-30.189999999999973
julho,1789848000.0,2026-09-19T17:00:00-03:00,201.42,249.75,0.0,201.42,30.42,HTML,201.0,250.0,0.4199999999999875,-0.25,0.0,-30.42
julho,1789844400.0,2026-09-19T16:00:00-03:00,188.16,268.72,0.0,188.16,30.36,HTML,188.0,269.0,0.1599999999999966,-0.2799999999999727,0.0,-30.36
julho,1789840800.0,2026-09-19T15:00:00-03:00,166.08,246.64,0.0,166.08,30.28,HTML,166.0,247.0,0.0800000000000125,-0.36000000000001364,0.0,-30.28
julho,1789837200.0,2026-09-19T14:00:00-03:00,145.79,290.79,0.0,145.79,30.19,HTML,146.0,291.0,-0.21000000000000796,-0.20999999999997954,0.0,-30.19
monte,1789999200.0,2026-09-21T11:00:00-03:00,2649.66,2528.83,183.58,2466.08,5.5,HTML,2650.0,2529.0,-0.3400000000001455,-0.17000000000007276,0.0,-5.5
monte,1789995600.0,2026-09-21T10:00:00-03:00,2628.74,2941.24,171.48,2457.26,5.5,HTML,2629.0,2941.0,-0.2600000000002183,0.23999999999978172,-4.547473508864641e-13,-5.500000000000455
monte,1789992000.0,2026-09-21T09:00:00-03:00,718.21,976.54,170.04,548.17,5.5,HTML,718.0,977.0,0.21000000000003638,-0.4600000000000364,1.1368683772161603e-13,-5.499999999999886
monte,1789988400.0,2026-09-21T08:00:00-03:00,392.1,400.43,168.64,223.46,5.5,HTML,392.0,400.0,0.10000000000002274,0.4300000000000068,2.842170943040401e-14,-5.499999999999972
monte,1789984800.0,2026-09-21T07:00:00-03:00,382.87,387.04,168.0,214.87,5.5,HTML,383.0,387.0,-0.12999999999999545,0.040000000000020464,0.0,-5.5
monte,1789981200.0,2026-09-21T06:00:00-03:00,378.93,378.93,168.47,210.46,5.5,HTML,379.0,379.0,-0.06999999999999318,-0.06999999999999318,0.0,-5.5
monte,1789977600.0,2026-09-21T05:00:00-03:00,376.36,376.36,165.9,210.46,5.5,HTML,376.0,376.0,0.36000000000001364,0.36000000000001364,0.0,-5.5
monte,1789974000.0,2026-09-21T04:00:00-03:00,373.12,381.45,162.66,210.46,5.5,HTML,373.0,381.0,0.12000000000000455,0.44999999999998863,0.0,-5.5
monte,1789970400.0,2026-09-21T03:00:00-03:00,367.31,367.31,165.51,201.8,5.5,HTML,367.0,367.0,0.3100000000000023,0.3100000000000023,0.0,-5.5
monte,1789966800.0,2026-09-21T02:00:00-03:00,368.4,372.57,166.6,201.8,5.5,HTML,368.0,373.0,0.39999999999997726,-0.4300000000000068,-2.842170943040401e-14,-5.500000000000028
monte,1789963200.0,2026-09-21T01:00:00-03:00,364.44,368.61,166.89,197.55,5.5,HTML,364.0,369.0,0.4399999999999977,-0.38999999999998636,0.0,-5.5
monte,1789956000.0,2026-09-20T23:00:00-03:00,359.76,359.76,170.58,189.18,5.5,HTML,360.0,360.0,-0.2400000000000091,-0.2400000000000091,-2.842170943040401e-14,-5.500000000000028
monte,1789952400.0,2026-09-20T22:00:00-03:00,360.15,368.48,170.97,189.18,5.5,HTML,360.0,368.0,0.14999999999997726,0.4800000000000182,-2.842170943040401e-14,-5.500000000000028
monte,1789948800.0,2026-09-20T21:00:00-03:00,337.8,341.97,156.8,181.0,5.5,HTML,338.0,342.0,-0.19999999999998863,-0.029999999999972715,0.0,-5.5
monte,1789945200.0,2026-09-20T20:00:00-03:00,348.52,348.52,171.53,176.99,5.5,HTML,349.0,349.0,-0.4800000000000182,-0.4800000000000182,-2.842170943040401e-14,-5.500000000000028
monte,1789941600.0,2026-09-20T19:00:00-03:00,349.54,320.37,172.55,176.99,5.5,HTML,350.0,320.0,-0.45999999999997954,0.37000000000000455,0.0,-5.5
monte,1789938000.0,2026-09-20T18:00:00-03:00,353.14,265.64,147.03,206.11,5.5,HTML,353.0,266.0,0.13999999999998636,-0.36000000000001364,-2.842170943040401e-14,-5.500000000000028
monte,1789934400.0,2026-09-20T17:00:00-03:00,299.4,291.07,0.0,299.4,5.5,HTML,299.0,291.0,0.39999999999997726,0.06999999999999318,0.0,-5.5
monte,1789930800.0,2026-09-20T16:00:00-03:00,309.0,300.67,0.0,309.0,5.5,HTML,309.0,301.0,0.0,-0.3299999999999841,0.0,-5.5
monte,1789927200.0,2026-09-20T15:00:00-03:00,318.74,302.07,0.0,318.74,5.5,HTML,319.0,302.0,-0.2599999999999909,0.06999999999999318,0.0,-5.5
monte,1789923600.0,2026-09-20T14:00:00-03:00,338.58,330.25,0.0,338.58,5.5,HTML,339.0,330.0,-0.4200000000000159,0.25,0.0,-5.5
monte,1789920000.0,2026-09-20T13:00:00-03:00,348.7,361.2,0.0,348.7,5.5,HTML,349.0,361.0,-0.30000000000001137,0.19999999999998863,0.0,-5.5
monte,1789916400.0,2026-09-20T12:00:00-03:00,333.56,362.73,0.0,333.56,5.5,HTML,334.0,363.0,-0.4399999999999977,-0.2699999999999818,0.0,-5.5
monte,1789912800.0,2026-09-20T11:00:00-03:00,299.4,316.07,0.0,299.4,5.5,HTML,299.0,316.0,0.39999999999997726,0.06999999999999318,0.0,-5.5
monte,1789909200.0,2026-09-20T10:00:00-03:00,280.63,338.96,0.0,280.63,5.5,HTML,281.0,339.0,-0.37000000000000455,-0.040000000000020464,0.0,-5.5
monte,1789905600.0,2026-09-20T09:00:00-03:00,283.54,337.71,64.22,219.32,5.5,HTML,284.0,338.0,-0.45999999999997954,-0.29000000000002046,2.842170943040401e-14,-5.499999999999972
monte,1789902000.0,2026-09-20T08:00:00-03:00,335.29,331.12,170.06,165.23,5.5,HTML,335.0,331.0,0.29000000000002046,0.12000000000000455,2.842170943040401e-14,-5.499999999999972
monte,1789898400.0,2026-09-20T07:00:00-03:00,338.77,388.77,169.67,169.1,5.5,HTML,339.0,389.0,-0.2300000000000182,-0.2300000000000182,0.0,-5.5
monte,1789894800.0,2026-09-20T06:00:00-03:00,296.33,288.0,170.55,125.78,5.5,HTML,296.0,288.0,0.3299999999999841,0.0,-2.842170943040401e-14,-5.500000000000028
monte,1789891200.0,2026-09-20T05:00:00-03:00,303.81,337.14,171.28,132.53,5.5,HTML,304.0,337.0,-0.18999999999999773,0.13999999999998636,0.0,-5.5
monte,1789887600.0,2026-09-20T04:00:00-03:00,277.56,285.89,170.74,106.82,5.5,HTML,278.0,286.0,-0.4399999999999977,-0.11000000000001364,0.0,-5.5
monte,1789884000.0,2026-09-20T03:00:00-03:00,271.72,284.22,170.83,100.89,5.5,HTML,272.0,284.0,-0.2799999999999727,0.22000000000002728,1.4210854715202004e-14,-5.499999999999986
monte,1789880400.0,2026-09-20T02:00:00-03:00,262.96,271.29,170.63,92.33,5.5,HTML,263.0,271.0,-0.040000000000020464,0.29000000000002046,-1.4210854715202004e-14,-5.500000000000014
monte,1789876800.0,2026-09-20T01:00:00-03:00,257.69,253.52,170.84,86.85,5.5,HTML,258.0,254.0,-0.3100000000000023,-0.47999999999998977,0.0,-5.5
monte,1789869600.0,2026-09-19T23:00:00-03:00,266.09,245.26,170.95,95.14,5.5,HTML,266.0,245.0,0.08999999999997499,0.2599999999999909,-1.4210854715202004e-14,-5.500000000000014
monte,1789866000.0,2026-09-19T22:00:00-03:00,281.24,268.74,171.38,109.86,5.5,HTML,281.0,269.0,0.2400000000000091,-0.2599999999999909,1.4210854715202004e-14,-5.499999999999986
monte,1789862400.0,2026-09-19T21:00:00-03:00,290.79,269.96,171.56,119.23,5.5,HTML,291.0,270.0,-0.20999999999997954,-0.040000000000020464,1.4210854715202004e-14,-5.499999999999986
monte,1789858800.0,2026-09-19T20:00:00-03:00,307.94,274.61,171.97,135.97,5.5,HTML,308.0,275.0,-0.060000000000002274,-0.38999999999998636,0.0,-5.5
monte,1789855200.0,2026-09-19T19:00:00-03:00,337.59,300.09,172.36,165.23,5.5,HTML,338.0,300.0,-0.410000000000025,0.08999999999997499,-2.842170943040401e-14,-5.500000000000028
monte,1789851600.0,2026-09-19T18:00:00-03:00,370.4,299.57,168.6,201.8,5.5,HTML,370.0,300.0,0.39999999999997726,-0.4300000000000068,-2.842170943040401e-14,-5.500000000000028
monte,1789848000.0,2026-09-19T17:00:00-03:00,276.02,292.69,0.0,276.02,5.5,HTML,276.0,293.0,0.01999999999998181,-0.3100000000000023,0.0,-5.5
monte,1789844400.0,2026-09-19T16:00:00-03:00,257.94,257.94,0.0,257.94,5.5,HTML,258.0,258.0,-0.060000000000002274,-0.060000000000002274,0.0,-5.5
monte,1789840800.0,2026-09-19T15:00:00-03:00,257.94,257.94,0.0,257.94,5.5,HTML,258.0,258.0,-0.060000000000002274,-0.060000000000002274,0.0,-5.5
monte,1789837200.0,2026-09-19T14:00:00-03:00,257.94,257.94,0.0,257.94,5.5,HTML,258.0,258.0,-0.060000000000002274,-0.060000000000002274,0.0,-5.5
castro,1789999200.0,2026-09-21T11:00:00-03:00,1205.2,2833.81,152.0,1053.2,21.22,HTML,1205.0,2834.0,0.20000000000004547,-0.19000000000005457,0.0,-21.22
castro,1789995600.0,2026-09-21T10:00:00-03:00,513.48,1372.2,153.18,360.3,20.05,HTML,513.0,1372.0,0.4800000000000182,0.20000000000004547,0.0,-20.05
castro,1789992000.0,2026-09-21T09:00:00-03:00,278.81,604.53,154.95,123.86,19.41,HTML,279.0,605.0,-0.18999999999999773,-0.4700000000000273,1.4210854715202004e-14,-19.409999999999986
castro,1789988400.0,2026-09-21T08:00:00-03:00,217.94,247.55,153.8,64.14,19.16,HTML,218.0,248.0,-0.060000000000002274,-0.44999999999998863,-1.4210854715202004e-14,-19.160000000000014
castro,1789984800.0,2026-09-21T07:00:00-03:00,213.44,228.25,153.75,59.69,19.14,HTML,213.0,228.0,0.4399999999999977,0.25,0.0,-19.14
castro,1789981200.0,2026-09-21T06:00:00-03:00,211.37,211.37,153.84,57.53,19.13,HTML,211.0,211.0,0.37000000000000455,0.37000000000000455,0.0,-19.13
castro,1789977600.0,2026-09-21T05:00:00-03:00,211.29,196.48,153.76,57.53,19.13,HTML,211.0,196.0,0.28999999999999204,0.47999999999998977,0.0,-19.13
castro,1789974000.0,2026-09-21T04:00:00-03:00,213.42,213.42,153.73,59.69,19.14,HTML,213.0,213.0,0.4199999999999875,0.4199999999999875,0.0,-19.14
castro,1789970400.0,2026-09-21T03:00:00-03:00,213.17,198.36,153.48,59.69,19.14,HTML,213.0,198.0,0.1699999999999875,0.36000000000001364,0.0,-19.14
castro,1789966800.0,2026-09-21T02:00:00-03:00,215.58,215.58,153.69,61.89,19.15,HTML,216.0,216.0,-0.4199999999999875,-0.4199999999999875,1.4210854715202004e-14,-19.149999999999984
castro,1789963200.0,2026-09-21T01:00:00-03:00,215.59,215.59,153.7,61.89,19.15,HTML,216.0,216.0,-0.4099999999999966,-0.4099999999999966,1.4210854715202004e-14,-19.149999999999984
castro,1789956000.0,2026-09-20T23:00:00-03:00,215.58,230.39,153.69,61.89,19.15,HTML,216.0,230.0,-0.4199999999999875,0.38999999999998636,1.4210854715202004e-14,-19.149999999999984
castro,1789952400.0,2026-09-20T22:00:00-03:00,213.36,213.36,153.67,59.69,19.14,HTML,213.0,213.0,0.36000000000001364,0.36000000000001364,2.842170943040401e-14,-19.139999999999972
castro,1789948800.0,2026-09-20T21:00:00-03:00,213.29,228.1,153.6,59.69,19.14,HTML,213.0,228.0,0.28999999999999204,0.09999999999999432,0.0,-19.14
castro,1789945200.0,2026-09-20T20:00:00-03:00,211.11,255.53,153.58,57.53,19.13,HTML,211.0,256.0,0.11000000000001364,-0.46999999999999886,0.0,-19.13
castro,1789941600.0,2026-09-20T19:00:00-03:00,205.02,205.02,153.71,51.31,19.1,HTML,205.0,205.0,0.020000000000010232,0.020000000000010232,0.0,-19.1
castro,1789938000.0,2026-09-20T18:00:00-03:00,201.14,245.56,153.75,47.39,19.07,HTML,201.0,246.0,0.13999999999998636,-0.4399999999999977,-1.4210854715202004e-14,-19.070000000000014
castro,1789934400.0,2026-09-20T17:00:00-03:00,195.85,240.27,153.98,41.87,19.04,HTML,196.0,240.0,-0.15000000000000568,0.27000000000001023,7.105427357601002e-15,-19.039999999999992
castro,1789930800.0,2026-09-20T16:00:00-03:00,190.72,279.55,153.93,36.79,19.0,HTML,191.0,280.0,-0.28000000000000114,-0.44999999999998863,-7.105427357601002e-15,-19.000000000000007
castro,1789927200.0,2026-09-20T15:00:00-03:00,182.15,256.18,154.05,28.1,18.94,HTML,182.0,256.0,0.15000000000000568,0.18000000000000682,-7.105427357601002e-15,-18.94000000000001
castro,1789923600.0,2026-09-20T14:00:00-03:00,176.72,235.94,154.19,22.53,18.88,HTML,177.0,236.0,-0.28000000000000114,-0.060000000000002274,0.0,-18.88
castro,1789920000.0,2026-09-20T13:00:00-03:00,173.78,247.81,154.25,19.53,18.83,HTML,174.0,248.0,-0.21999999999999886,-0.18999999999999773,0.0,-18.83
castro,1789916400.0,2026-09-20T12:00:00-03:00,173.1,247.13,154.33,18.77,18.77,HTML,173.0,247.0,0.09999999999999432,0.12999999999999545,-1.7763568394002505e-14,-18.770000000000017
castro,1789912800.0,2026-09-20T11:00:00-03:00,173.01,202.62,154.29,18.72,18.72,HTML,173.0,203.0,0.009999999999990905,-0.37999999999999545,0.0,-18.72
castro,1789909200.0,2026-09-20T10:00:00-03:00,172.94,187.75,154.25,18.69,18.69,HTML,173.0,188.0,-0.060000000000002274,-0.25,-3.552713678800501e-15,-18.690000000000005
castro,1789905600.0,2026-09-20T09:00:00-03:00,256.7,227.09,154.17,102.53,18.68,HTML,257.0,227.0,-0.30000000000001137,0.09000000000000341,0.0,-18.68
castro,1789902000.0,2026-09-20T08:00:00-03:00,256.67,286.28,154.01,102.66,18.7,HTML,257.0,286.0,-0.3299999999999841,0.2799999999999727,2.842170943040401e-14,-18.69999999999997
castro,1789898400.0,2026-09-20T07:00:00-03:00,172.62,246.65,153.94,18.68,18.68,HTML,173.0,247.0,-0.37999999999999545,-0.3499999999999943,7.105427357601002e-15,-18.679999999999993
castro,1789894800.0,2026-09-20T06:00:00-03:00,172.7,231.92,154.08,18.62,18.62,HTML,173.0,232.0,-0.30000000000001137,-0.0800000000000125,-2.4868995751603507e-14,-18.620000000000026
castro,1789891200.0,2026-09-20T05:00:00-03:00,172.56,246.59,153.99,18.57,18.57,HTML,173.0,247.0,-0.4399999999999977,-0.4099999999999966,-7.105427357601002e-15,-18.570000000000007
castro,1789887600.0,2026-09-20T04:00:00-03:00,172.41,216.83,153.89,18.52,18.52,HTML,172.0,217.0,0.4099999999999966,-0.1699999999999875,1.0658141036401503e-14,-18.51999999999999
castro,1789884000.0,2026-09-20T03:00:00-03:00,172.32,231.54,153.84,18.48,18.48,HTML,172.0,232.0,0.3199999999999932,-0.46000000000000796,-1.0658141036401503e-14,-18.48000000000001
castro,1789880400.0,2026-09-20T02:00:00-03:00,172.49,216.91,154.06,18.43,18.43,HTML,172.0,217.0,0.4900000000000091,-0.09000000000000341,7.105427357601002e-15,-18.429999999999993
castro,1789876800.0,2026-09-20T01:00:00-03:00,172.87,202.48,154.47,18.4,18.4,HTML,173.0,202.0,-0.12999999999999545,0.47999999999998977,7.105427357601002e-15,-18.39999999999999
castro,1789869600.0,2026-09-19T23:00:00-03:00,173.23,158.42,154.86,18.37,18.37,HTML,173.0,158.0,0.22999999999998977,0.4199999999999875,-2.4868995751603507e-14,-18.370000000000026
castro,1789866000.0,2026-09-19T22:00:00-03:00,173.29,158.48,154.9,18.39,18.39,HTML,173.0,158.0,0.28999999999999204,0.47999999999998977,-1.4210854715202004e-14,-18.390000000000015
castro,1789862400.0,2026-09-19T21:00:00-03:00,173.35,173.35,154.95,18.4,18.4,HTML,173.0,173.0,0.3499999999999943,0.3499999999999943,7.105427357601002e-15,-18.39999999999999
castro,1789858800.0,2026-09-19T20:00:00-03:00,173.34,173.34,154.94,18.4,18.4,HTML,173.0,173.0,0.3400000000000034,0.3400000000000034,7.105427357601002e-15,-18.39999999999999
castro,1789855200.0,2026-09-19T19:00:00-03:00,173.26,158.45,154.86,18.4,18.4,HTML,173.0,158.0,0.2599999999999909,0.44999999999998863,-2.1316282072803006e-14,-18.40000000000002
castro,1789851600.0,2026-09-19T18:00:00-03:00,173.08,173.08,154.67,18.41,18.41,HTML,173.0,173.0,0.0800000000000125,0.0800000000000125,2.4868995751603507e-14,-18.409999999999975
castro,1789848000.0,2026-09-19T17:00:00-03:00,173.18,173.18,154.77,18.41,18.41,HTML,173.0,173.0,0.18000000000000682,0.18000000000000682,-3.552713678800501e-15,-18.410000000000004
castro,1789844400.0,2026-09-19T16:00:00-03:00,173.14,158.33,154.73,18.41,18.41,HTML,173.0,158.0,0.13999999999998636,0.3300000000000125,-3.552713678800501e-15,-18.410000000000004
castro,1789840800.0,2026-09-19T15:00:00-03:00,173.03,128.61,154.61,18.42,18.42,HTML,173.0,129.0,0.030000000000001137,-0.38999999999998636,-1.4210854715202004e-14,-18.420000000000016
castro,1789837200.0,2026-09-19T14:00:00-03:00,255.16,166.33,154.76,100.4,18.46,HTML,255.0,166.0,0.1599999999999966,0.3300000000000125,0.0,-18.46
