plant,origin,dependency,before_final_cutoff
julho,2025-05-03T16:00:00-03:00,current_or_1_3_6h_input,True
julho,2025-05-03T17:00:00-03:00,current_or_1_3_6h_input,True
julho,2025-05-03T19:00:00-03:00,current_or_1_3_6h_input,True
julho,2025-05-03T22:00:00-03:00,current_or_1_3_6h_input,True
monte,2025-05-03T16:00:00-03:00,current_or_1_3_6h_input,True
monte,2025-05-03T17:00:00-03:00,current_or_1_3_6h_input,True
monte,2025-05-03T19:00:00-03:00,current_or_1_3_6h_input,True
monte,2025-05-03T22:00:00-03:00,current_or_1_3_6h_input,True
monte,2025-08-07T12:00:00-03:00,current_or_1_3_6h_input,True
monte,2025-08-07T13:00:00-03:00,current_or_1_3_6h_input,True
monte,2025-08-07T15:00:00-03:00,current_or_1_3_6h_input,True
monte,2025-08-07T18:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-07-22T08:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-07-22T09:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-07-22T10:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-07-22T11:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-07-22T12:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-07-22T13:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-07-22T14:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-07-22T15:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-07-22T16:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-08-24T05:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-08-24T06:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-08-24T08:00:00-03:00,current_or_1_3_6h_input,True
monte,2026-08-24T11:00:00-03:00,current_or_1_3_6h_input,True
castro,2025-05-03T16:00:00-03:00,current_or_1_3_6h_input,True
castro,2025-05-03T17:00:00-03:00,current_or_1_3_6h_input,True
castro,2025-05-03T19:00:00-03:00,current_or_1_3_6h_input,True
castro,2025-05-03T22:00:00-03:00,current_or_1_3_6h_input,True
