window,station,day,records,approved_level,approved_rain
2024-06-12,86403000,2024-06-17,24,24,24
2024-06-12,86403000,2024-06-18,24,24,24
2024-06-12,86403000,2024-06-19,24,24,24
2024-06-12,86403000,2024-06-20,24,24,24
2024-06-12,86403000,2024-06-21,24,24,24
2024-06-12,86410800,2024-06-12,0,0,0
2024-06-12,86410800,2024-06-13,0,0,0
2024-06-12,86410800,2024-06-14,0,0,0
2024-06-12,86410800,2024-06-15,0,0,0
2024-06-12,86410800,2024-06-16,0,0,0
2024-06-12,86410800,2024-06-17,15,15,15
2024-06-12,86410800,2024-06-18,24,24,24
2024-06-12,86410800,2024-06-19,24,24,24
2024-06-12,86410800,2024-06-20,24,24,24
2024-06-12,86410800,2024-06-21,24,24,24
2024-06-12,86447000,2024-06-12,0,0,0
2024-06-12,86447000,2024-06-13,0,0,0
2024-06-12,86447000,2024-06-14,0,0,0
2024-06-12,86447000,2024-06-15,0,0,0
2024-06-12,86447000,2024-06-16,0,0,0
2024-06-12,86447000,2024-06-17,0,0,0
2024-06-12,86447000,2024-06-18,0,0,0
2024-06-12,86447000,2024-06-19,0,0,0
2024-06-12,86447000,2024-06-20,0,0,0
2024-06-12,86447000,2024-06-21,0,0,0
2024-06-12,86448000,2024-06-12,3,0,0
2024-06-12,86448000,2024-06-13,24,0,0
2024-06-12,86448000,2024-06-14,18,0,0
2024-06-12,86448000,2024-06-15,0,0,0
2024-06-12,86448000,2024-06-16,8,8,0
2024-06-12,86448000,2024-06-17,24,24,0
2024-06-12,86448000,2024-06-18,24,24,0
2024-06-12,86448000,2024-06-19,24,24,0
2024-06-12,86448000,2024-06-20,24,24,0
2024-06-12,86448000,2024-06-21,24,24,0
2024-06-12,86450000,2024-06-12,0,0,0
2024-06-12,86450000,2024-06-13,0,0,0
2024-06-12,86450000,2024-06-14,0,0,0
2024-06-12,86450000,2024-06-15,0,0,0
2024-06-12,86450000,2024-06-16,0,0,0
2024-06-12,86450000,2024-06-17,0,0,0
2024-06-12,86450000,2024-06-18,0,0,0
2024-06-12,86450000,2024-06-19,0,0,0
2024-06-12,86450000,2024-06-20,0,0,0
2024-06-12,86450000,2024-06-21,0,0,0
2024-06-12,86471000,2024-06-12,0,0,0
2024-06-12,86471000,2024-06-13,0,0,0
2024-06-12,86471000,2024-06-14,0,0,0
2024-06-12,86471000,2024-06-15,0,0,0
2024-06-12,86471000,2024-06-16,8,8,8
2024-06-12,86471000,2024-06-17,24,24,24
2024-06-12,86471000,2024-06-18,24,24,24
2024-06-12,86471000,2024-06-19,24,24,24
2024-06-12,86471000,2024-06-20,24,24,24
2024-06-12,86471000,2024-06-21,24,24,24
2024-06-12,86472000,2024-06-12,96,0,96
2024-06-12,86472000,2024-06-13,96,0,96
2024-06-12,86472000,2024-06-14,96,0,96
2024-06-12,86472000,2024-06-15,96,0,96
2024-06-12,86472000,2024-06-16,96,0,96
2024-06-12,86472000,2024-06-17,96,0,96
2024-06-12,86472000,2024-06-18,96,0,96
2024-06-12,86472000,2024-06-19,96,0,96
2024-06-12,86472000,2024-06-20,96,0,96
2024-06-12,86472000,2024-06-21,96,0,96
2024-06-12,86472600,2024-06-12,96,96,96
2024-06-12,86472600,2024-06-13,84,84,84
2024-06-12,86472600,2024-06-14,92,92,92
2024-06-12,86472600,2024-06-15,96,96,96
2024-06-12,86472600,2024-06-16,96,96,96
2024-06-12,86472600,2024-06-17,96,96,96
2024-06-12,86472600,2024-06-18,96,96,96
2024-06-12,86472600,2024-06-19,96,96,96
2024-06-12,86472600,2024-06-20,96,96,96
2024-06-12,86472600,2024-06-21,96,96,96
2024-06-12,86479000,2024-06-12,0,0,0
2024-06-12,86479000,2024-06-13,0,0,0
2024-06-12,86479000,2024-06-14,0,0,0
2024-06-12,86479000,2024-06-15,0,0,0
2024-06-12,86479000,2024-06-16,0,0,0
2024-06-12,86479000,2024-06-17,0,0,0
2024-06-12,86479000,2024-06-18,0,0,0
2024-06-12,86479000,2024-06-19,0,0,0
2024-06-12,86479000,2024-06-20,0,0,0
2024-06-12,86479000,2024-06-21,0,0,0
2024-06-12,86488000,2024-06-12,15,15,15
2024-06-12,86488000,2024-06-13,14,14,14
2024-06-12,86488000,2024-06-14,10,10,10
2024-06-12,86488000,2024-06-15,13,13,13
2024-06-12,86488000,2024-06-16,0,0,0
2024-06-12,86488000,2024-06-17,15,15,15
2024-06-12,86488000,2024-06-18,13,13,13
2024-06-12,86488000,2024-06-19,13,13,13
2024-06-12,86488000,2024-06-20,12,12,12
2024-06-12,86488000,2024-06-21,15,15,15
2024-06-12,86493000,2024-06-12,0,0,0
2024-06-12,86493000,2024-06-13,0,0,0
2024-06-12,86493000,2024-06-14,0,0,0
2024-06-12,86493000,2024-06-15,0,0,0
2024-06-12,86493000,2024-06-16,0,0,0
2024-06-12,86493000,2024-06-17,0,0,0
2024-06-12,86493000,2024-06-18,0,0,0
2024-06-12,86493000,2024-06-19,0,0,0
2024-06-12,86493000,2024-06-20,0,0,0
2024-06-12,86493000,2024-06-21,0,0,0
2024-06-12,86495500,2024-06-12,24,24,0
2024-06-12,86495500,2024-06-13,24,24,0
2024-06-12,86495500,2024-06-14,24,24,0
2024-06-12,86495500,2024-06-15,24,24,0
2024-06-12,86495500,2024-06-16,24,24,0
2024-06-12,86495500,2024-06-17,24,24,0
2024-06-12,86495500,2024-06-18,24,24,0
2024-06-12,86495500,2024-06-19,24,24,0
2024-06-12,86495500,2024-06-20,24,24,0
2024-06-12,86495500,2024-06-21,24,24,0
2024-06-12,86500000,2024-06-12,0,0,0
2024-06-12,86500000,2024-06-13,0,0,0
2024-06-12,86500000,2024-06-14,0,0,0
2024-06-12,86500000,2024-06-15,0,0,0
2024-06-12,86500000,2024-06-16,0,0,0
2024-06-12,86500000,2024-06-17,0,0,0
2024-06-12,86500000,2024-06-18,0,0,0
2024-06-12,86500000,2024-06-19,0,0,0
2024-06-12,86500000,2024-06-20,0,0,0
2024-06-12,86500000,2024-06-21,0,0,0
2024-06-12,86504900,2024-06-12,0,0,0
2024-06-12,86504900,2024-06-13,0,0,0
2024-06-12,86504900,2024-06-14,0,0,0
2024-06-12,86504900,2024-06-15,0,0,0
2024-06-12,86504900,2024-06-16,0,0,0
2024-06-12,86504900,2024-06-17,0,0,0
2024-06-12,86504900,2024-06-18,0,0,0
2024-06-12,86504900,2024-06-19,0,0,0
2024-06-12,86504900,2024-06-20,0,0,0
2024-06-12,86504900,2024-06-21,0,0,0
2024-06-12,86505500,2024-06-12,0,0,0
2024-06-12,86505500,2024-06-13,0,0,0
2024-06-12,86505500,2024-06-14,0,0,0
2024-06-12,86505500,2024-06-15,0,0,0
2024-06-12,86505500,2024-06-16,0,0,0
2024-06-12,86505500,2024-06-17,0,0,0
2024-06-12,86505500,2024-06-18,0,0,0
2024-06-12,86505500,2024-06-19,0,0,0
2024-06-12,86505500,2024-06-20,0,0,0
2024-06-12,86505500,2024-06-21,7,7,7
2024-06-12,86510000,2024-06-12,96,96,96
2024-06-12,86510000,2024-06-13,96,96,96
2024-06-12,86510000,2024-06-14,96,96,96
2024-06-12,86510000,2024-06-15,96,96,96
2024-06-12,86510000,2024-06-16,96,96,96
2024-06-12,86510000,2024-06-17,96,96,96
2024-06-12,86510000,2024-06-18,96,96,96
2024-06-12,86510000,2024-06-19,96,96,96
2024-06-12,86510000,2024-06-20,96,96,96
2024-06-12,86510000,2024-06-21,96,96,96
