window,station,field,field_absent,empty,finite,finite_approved,finite_other_qc,nonempty_nonfinite,negative,zero_reported,qc_json
2024-06-12,86163000,NivelManual,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86163000,ChuvaAcumAdotada,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86200900,NivelFinal,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86200900,ChuvaFinal,0,240,0,0,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86200900,VazaoFinal,0,15,225,225,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86200900,NivelSensor,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86200900,NivelDisplay,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86200900,NivelManual,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86200900,ChuvaAcumAdotada,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86280500,NivelFinal,0,0,155,155,0,0,0,0,"{""Dado aprovado"": 155}"
2024-06-12,86280500,ChuvaFinal,0,0,155,155,0,0,0,103,"{""Dado aprovado"": 155}"
2024-06-12,86280500,VazaoFinal,0,155,0,0,0,0,0,0,"{""Dado aprovado"": 155}"
2024-06-12,86280500,NivelSensor,0,0,155,155,0,0,0,0,"{""Dado aprovado"": 155}"
2024-06-12,86280500,NivelDisplay,0,155,0,0,0,0,0,0,"{""null"": 155}"
2024-06-12,86280500,NivelManual,0,155,0,0,0,0,0,0,"{""null"": 155}"
2024-06-12,86280500,ChuvaAcumAdotada,0,155,0,0,0,0,0,0,"{""null"": 155}"
2024-06-12,86298000,NivelFinal,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86298000,ChuvaFinal,0,0,240,240,0,0,0,161,"{""Dado aprovado"": 240}"
2024-06-12,86298000,VazaoFinal,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86298000,NivelSensor,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86298000,NivelDisplay,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86298000,NivelManual,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86298000,ChuvaAcumAdotada,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86403000,NivelFinal,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86403000,ChuvaFinal,0,0,240,240,0,0,0,240,"{""Dado aprovado"": 240}"
2024-06-12,86403000,VazaoFinal,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86403000,NivelSensor,0,0,240,240,0,0,0,0,"{""Dado aprovado"": 240}"
2024-06-12,86403000,NivelDisplay,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86403000,NivelManual,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86403000,ChuvaAcumAdotada,0,240,0,0,0,0,0,0,"{""null"": 240}"
2024-06-12,86410800,NivelFinal,0,0,111,111,0,0,0,0,"{""Dado aprovado"": 111}"
2024-06-12,86410800,ChuvaFinal,0,0,111,111,0,0,0,107,"{""Dado aprovado"": 111}"
2024-06-12,86410800,VazaoFinal,0,0,111,111,0,0,0,0,"{""Dado aprovado"": 111}"
2024-06-12,86410800,NivelSensor,0,0,111,111,0,0,0,0,"{""Dado aprovado"": 111}"
2024-06-12,86410800,NivelDisplay,0,111,0,0,0,0,0,0,"{""null"": 111}"
2024-06-12,86410800,NivelManual,0,111,0,0,0,0,0,0,"{""null"": 111}"
2024-06-12,86410800,ChuvaAcumAdotada,0,111,0,0,0,0,0,0,"{""null"": 111}"
2024-06-12,86447000,NivelFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86447000,ChuvaFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86447000,VazaoFinal,0,0,0,0,0,0,0,0,{}
2024-06-12,86447000,NivelSensor,0,0,0,0,0,0,0,0,{}
