year,station,date,unambiguous_records,records_exact_hour,records_exact_15min,NivelFinal_approved,NivelFinal_approved_exact_hour,VazaoFinal_approved,VazaoFinal_approved_exact_hour,ChuvaFinal_approved,ChuvaFinal_approved_exact_hour
2021,86060010,2021-04-28,24,24,24,0,0,0,0,24,24
2021,86060010,2021-04-29,24,24,24,0,0,0,0,24,24
2021,86060010,2021-04-30,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-01,23,23,23,0,0,0,0,23,23
2021,86060010,2021-05-02,23,23,23,0,0,0,0,23,23
2021,86060010,2021-05-03,20,20,20,0,0,0,0,20,20
2021,86060010,2021-05-04,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-05,21,21,21,0,0,0,0,21,21
2021,86060010,2021-05-06,15,15,15,0,0,0,0,15,15
2021,86060010,2021-05-07,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-08,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-09,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-10,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-11,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-12,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-13,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-14,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-15,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-16,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-17,16,16,16,0,0,0,0,16,16
2021,86060010,2021-05-18,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-19,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-20,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-21,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-22,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-23,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-24,23,23,23,0,0,0,0,23,23
2021,86060010,2021-05-25,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-26,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-27,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-28,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-29,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-30,24,24,24,0,0,0,0,24,24
2021,86060010,2021-05-31,24,24,24,0,0,0,0,24,24
2021,86099000,2021-04-28,24,24,24,24,24,24,24,24,24
2021,86099000,2021-04-29,24,24,24,24,24,24,24,24,24
2021,86099000,2021-04-30,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-01,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-02,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-03,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-04,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-05,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-06,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-07,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-08,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-09,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-10,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-11,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-12,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-13,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-14,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-15,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-16,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-17,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-18,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-19,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-20,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-21,24,24,24,24,24,24,24,24,24
2021,86099000,2021-05-22,24,24,24,24,24,24,24,24,24
