year,station,field,rows,field_absent,empty_values,nonempty_nonnumeric_or_nonfinite,numeric,approved_numeric,suspect_numeric,numeric_missing_qc,numeric_other_qc,negative_numeric,zero_numeric
2021,86298000,VazaoFinal,810,0,0,0,810,810,0,0,0,0,0
2021,86403000,ChuvaAcumAdotada,771,0,771,0,0,0,0,0,0,0,0
2021,86403000,ChuvaFinal,771,0,0,0,771,771,0,0,0,0,707
2021,86403000,NivelSensor,771,0,0,0,771,771,0,0,0,0,0
2021,86403000,NivelDisplay,771,0,771,0,0,0,0,0,0,0,0
2021,86403000,NivelManual,771,0,771,0,0,0,0,0,0,0,0
2021,86403000,NivelFinal,771,0,0,0,771,771,0,0,0,0,0
2021,86403000,VazaoFinal,771,0,771,0,0,0,0,0,0,0,0
2021,86410800,ChuvaAcumAdotada,812,0,812,0,0,0,0,0,0,0,0
2021,86410800,ChuvaFinal,812,0,0,0,812,812,0,0,0,0,724
2021,86410800,NivelSensor,812,0,0,0,812,812,0,0,0,0,0
2021,86410800,NivelDisplay,812,0,812,0,0,0,0,0,0,0,0
2021,86410800,NivelManual,812,0,812,0,0,0,0,0,0,0,0
2021,86410800,NivelFinal,812,0,0,0,812,812,0,0,0,0,0
2021,86410800,VazaoFinal,812,0,812,0,0,0,0,0,0,0,0
2021,86447000,ChuvaAcumAdotada,804,0,804,0,0,0,0,0,0,0,0
2021,86447000,ChuvaFinal,804,0,0,0,804,804,0,0,0,0,789
2021,86447000,NivelSensor,804,0,0,0,804,804,0,0,0,0,0
2021,86447000,NivelDisplay,804,0,804,0,0,0,0,0,0,0,0
2021,86447000,NivelManual,804,0,804,0,0,0,0,0,0,0,0
2021,86447000,NivelFinal,804,0,0,0,804,804,0,0,0,0,0
2021,86447000,VazaoFinal,804,0,0,0,804,804,0,0,0,0,66
2021,86448000,ChuvaAcumAdotada,749,0,749,0,0,0,0,0,0,0,0
2021,86448000,ChuvaFinal,749,0,0,0,749,749,0,0,0,0,683
2021,86448000,NivelSensor,749,0,0,0,749,749,0,0,0,0,0
2021,86448000,NivelDisplay,749,0,749,0,0,0,0,0,0,0,0
2021,86448000,NivelManual,749,0,749,0,0,0,0,0,0,0,0
2021,86448000,NivelFinal,749,0,0,0,749,749,0,0,0,0,0
2021,86448000,VazaoFinal,749,0,0,0,749,749,0,0,0,1,1
2021,86450000,ChuvaAcumAdotada,802,0,802,0,0,0,0,0,0,0,0
2021,86450000,ChuvaFinal,802,0,0,0,802,802,0,0,0,0,731
2021,86450000,NivelSensor,802,0,0,0,802,802,0,0,0,0,0
2021,86450000,NivelDisplay,802,0,802,0,0,0,0,0,0,0,0
2021,86450000,NivelManual,802,0,802,0,0,0,0,0,0,0,0
2021,86450000,NivelFinal,802,0,0,0,802,802,0,0,0,0,0
2021,86450000,VazaoFinal,802,0,0,0,802,802,0,0,0,0,0
2021,86471000,ChuvaAcumAdotada,811,0,811,0,0,0,0,0,0,0,0
2021,86471000,ChuvaFinal,811,0,0,0,811,811,0,0,0,0,811
2021,86471000,NivelSensor,811,0,0,0,811,811,0,0,0,0,0
2021,86471000,NivelDisplay,811,0,811,0,0,0,0,0,0,0,0
2021,86471000,NivelManual,811,0,811,0,0,0,0,0,0,0,0
2021,86471000,NivelFinal,811,0,0,0,811,811,0,0,0,0,0
2021,86471000,VazaoFinal,811,0,0,0,811,811,0,0,0,0,0
2021,86472000,ChuvaAcumAdotada,3264,0,166,0,3098,3098,0,0,0,0,0
2021,86472000,ChuvaFinal,3264,0,166,0,3098,3098,0,0,0,0,2896
2021,86472000,NivelSensor,3264,0,3264,0,0,0,0,0,0,0,0
2021,86472000,NivelDisplay,3264,0,3263,0,1,0,0,1,0,0,0
2021,86472000,NivelManual,3264,0,3264,0,0,0,0,0,0,0,0
2021,86472000,NivelFinal,3264,0,3264,0,0,0,0,0,0,0,0
2021,86472000,VazaoFinal,3264,0,3264,0,0,0,0,0,0,0,0
2021,86472600,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,0,0,0
2021,86472600,ChuvaFinal,0,0,0,0,0,0,0,0,0,0,0
2021,86472600,NivelSensor,0,0,0,0,0,0,0,0,0,0,0
2021,86472600,NivelDisplay,0,0,0,0,0,0,0,0,0,0,0
2021,86472600,NivelManual,0,0,0,0,0,0,0,0,0,0,0
2021,86472600,NivelFinal,0,0,0,0,0,0,0,0,0,0,0
2021,86472600,VazaoFinal,0,0,0,0,0,0,0,0,0,0,0
2021,86479000,ChuvaAcumAdotada,815,0,815,0,0,0,0,0,0,0,0
2021,86479000,ChuvaFinal,815,0,0,0,815,815,0,0,0,0,804
2021,86479000,NivelSensor,815,0,32,0,783,783,0,0,0,0,0
2021,86479000,NivelDisplay,815,0,815,0,0,0,0,0,0,0,0
2021,86479000,NivelManual,815,0,815,0,0,0,0,0,0,0,0
2021,86479000,NivelFinal,815,0,32,0,783,783,0,0,0,0,0
2021,86479000,VazaoFinal,815,0,52,0,763,763,0,0,0,0,0
2021,86488000,ChuvaAcumAdotada,814,0,814,0,0,0,0,0,0,0,0
2021,86488000,ChuvaFinal,814,0,0,0,814,814,0,0,0,0,812
2021,86488000,NivelSensor,814,0,0,0,814,814,0,0,0,0,0
2021,86488000,NivelDisplay,814,0,814,0,0,0,0,0,0,0,0
2021,86488000,NivelManual,814,0,814,0,0,0,0,0,0,0,0
2021,86488000,NivelFinal,814,0,0,0,814,814,0,0,0,0,0
2021,86488000,VazaoFinal,814,0,0,0,814,814,0,0,0,0,0
2021,86493000,ChuvaAcumAdotada,806,0,806,0,0,0,0,0,0,0,0
2021,86493000,ChuvaFinal,806,0,806,0,0,0,0,0,0,0,0
2021,86493000,NivelSensor,806,0,0,0,806,806,0,0,0,0,0
2021,86493000,NivelDisplay,806,0,806,0,0,0,0,0,0,0,0
2021,86493000,NivelManual,806,0,806,0,0,0,0,0,0,0,0
2021,86493000,NivelFinal,806,0,0,0,806,806,0,0,0,0,0
2021,86493000,VazaoFinal,806,0,806,0,0,0,0,0,0,0,0
2021,86495500,ChuvaAcumAdotada,816,0,816,0,0,0,0,0,0,0,0
2021,86495500,ChuvaFinal,816,0,747,0,69,69,0,0,0,0,69
2021,86495500,NivelSensor,816,0,0,0,816,816,0,0,0,0,0
2021,86495500,NivelDisplay,816,0,816,0,0,0,0,0,0,0,0
2021,86495500,NivelManual,816,0,816,0,0,0,0,0,0,0,0
2021,86495500,NivelFinal,816,0,0,0,816,816,0,0,0,0,0
2021,86495500,VazaoFinal,816,0,816,0,0,0,0,0,0,0,0
2021,86500000,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,0,0,0
2021,86500000,ChuvaFinal,0,0,0,0,0,0,0,0,0,0,0
2021,86500000,NivelSensor,0,0,0,0,0,0,0,0,0,0,0
2021,86500000,NivelDisplay,0,0,0,0,0,0,0,0,0,0,0
2021,86500000,NivelManual,0,0,0,0,0,0,0,0,0,0,0
2021,86500000,NivelFinal,0,0,0,0,0,0,0,0,0,0,0
2021,86500000,VazaoFinal,0,0,0,0,0,0,0,0,0,0,0
2021,86504900,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,0,0,0
2021,86504900,ChuvaFinal,0,0,0,0,0,0,0,0,0,0,0
2021,86504900,NivelSensor,0,0,0,0,0,0,0,0,0,0,0
2021,86504900,NivelDisplay,0,0,0,0,0,0,0,0,0,0,0
2021,86504900,NivelManual,0,0,0,0,0,0,0,0,0,0,0
2021,86504900,NivelFinal,0,0,0,0,0,0,0,0,0,0,0
2021,86504900,VazaoFinal,0,0,0,0,0,0,0,0,0,0,0
2021,86505500,ChuvaAcumAdotada,815,0,815,0,0,0,0,0,0,0,0
2021,86505500,ChuvaFinal,815,0,0,0,815,815,0,0,0,0,728
2021,86505500,NivelSensor,815,0,0,0,815,815,0,0,0,0,0
2021,86505500,NivelDisplay,815,0,815,0,0,0,0,0,0,0,0
2021,86505500,NivelManual,815,0,815,0,0,0,0,0,0,0,0
2021,86505500,NivelFinal,815,0,0,0,815,815,0,0,0,0,0
2021,86505500,VazaoFinal,815,0,0,0,815,815,0,0,0,0,0
2021,86510000,ChuvaAcumAdotada,3264,0,8,0,3256,3256,0,0,0,0,0
2021,86510000,ChuvaFinal,3264,0,8,0,3256,3256,0,0,0,0,2862
2021,86510000,NivelSensor,3264,0,2,0,3262,3262,0,0,0,0,0
2021,86510000,NivelDisplay,3264,0,3264,0,0,0,0,0,0,0,0
2021,86510000,NivelManual,3264,0,3264,0,0,0,0,0,0,0,0
2021,86510000,NivelFinal,3264,0,0,0,3264,3264,0,0,0,0,0
2021,86510000,VazaoFinal,3264,0,0,0,3264,3264,0,0,0,0,0
2022,86060010,ChuvaAcumAdotada,1525,0,1525,0,0,0,0,0,0,0,0
2022,86060010,ChuvaFinal,1525,0,0,0,1525,1525,0,0,0,0,1192
2022,86060010,NivelSensor,1525,0,1525,0,0,0,0,0,0,0,0
2022,86060010,NivelDisplay,1525,0,1525,0,0,0,0,0,0,0,0
2022,86060010,NivelManual,1525,0,1525,0,0,0,0,0,0,0,0
2022,86060010,NivelFinal,1525,0,1525,0,0,0,0,0,0,0,0
2022,86060010,VazaoFinal,1525,0,1525,0,0,0,0,0,0,0,0
2022,86099000,ChuvaAcumAdotada,1535,0,1535,0,0,0,0,0,0,0,0
2022,86099000,ChuvaFinal,1535,0,0,0,1535,1535,0,0,0,0,1252
2022,86099000,NivelSensor,1535,0,0,0,1535,1535,0,0,0,0,0
2022,86099000,NivelDisplay,1535,0,1535,0,0,0,0,0,0,0,0
2022,86099000,NivelManual,1535,0,1535,0,0,0,0,0,0,0,0
2022,86099000,NivelFinal,1535,0,0,0,1535,1535,0,0,0,0,0
2022,86099000,VazaoFinal,1535,0,248,0,1287,1287,0,0,0,0,0
2022,86102000,ChuvaAcumAdotada,1535,0,1535,0,0,0,0,0,0,0,0
2022,86102000,ChuvaFinal,1535,0,0,0,1535,1535,0,0,0,0,1251
2022,86102000,NivelSensor,1535,0,0,0,1535,1535,0,0,0,0,0
2022,86102000,NivelDisplay,1535,0,1535,0,0,0,0,0,0,0,0
2022,86102000,NivelManual,1535,0,1535,0,0,0,0,0,0,0,0
2022,86102000,NivelFinal,1535,0,0,0,1535,1535,0,0,0,0,0
2022,86102000,VazaoFinal,1535,0,93,0,1442,1442,0,0,0,0,0
2022,86117000,ChuvaAcumAdotada,1475,0,1475,0,0,0,0,0,0,0,0
2022,86117000,ChuvaFinal,1475,0,0,0,1475,1475,0,0,0,0,1188
2022,86117000,NivelSensor,1475,0,0,0,1475,1475,0,0,0,0,0
2022,86117000,NivelDisplay,1475,0,1475,0,0,0,0,0,0,0,0
2022,86117000,NivelManual,1475,0,1475,0,0,0,0,0,0,0,0
2022,86117000,NivelFinal,1475,0,0,0,1475,1475,0,0,0,0,0
2022,86117000,VazaoFinal,1475,0,7,0,1468,1468,0,0,0,0,0
2022,86125000,ChuvaAcumAdotada,0,0,0,0,0,0,0,0,0,0,0
2022,86125000,ChuvaFinal,0,0,0,0,0,0,0,0,0,0,0
2022,86125000,NivelSensor,0,0,0,0,0,0,0,0,0,0,0
2022,86125000,NivelDisplay,0,0,0,0,0,0,0,0,0,0,0
2022,86125000,NivelManual,0,0,0,0,0,0,0,0,0,0,0
2022,86125000,NivelFinal,0,0,0,0,0,0,0,0,0,0,0
2022,86125000,VazaoFinal,0,0,0,0,0,0,0,0,0,0,0
2022,86125050,ChuvaAcumAdotada,1536,0,1536,0,0,0,0,0,0,0,0
2022,86125050,ChuvaFinal,1536,0,0,0,1536,1536,0,0,0,0,968
2022,86125050,NivelSensor,1536,0,0,0,1536,1536,0,0,0,0,0
2022,86125050,NivelDisplay,1536,0,1536,0,0,0,0,0,0,0,0
2022,86125050,NivelManual,1536,0,1536,0,0,0,0,0,0,0,0
2022,86125050,NivelFinal,1536,0,0,0,1536,1536,0,0,0,0,0
2022,86125050,VazaoFinal,1536,0,0,0,1536,1536,0,0,0,0,0
2022,86160000,ChuvaAcumAdotada,6140,0,0,0,6140,6140,0,0,0,0,0
2022,86160000,ChuvaFinal,6140,0,0,0,6140,6140,0,0,0,0,5394
2022,86160000,NivelSensor,6140,0,3,0,6137,6137,0,0,0,0,0
2022,86160000,NivelDisplay,6140,0,6088,0,52,34,5,0,13,0,0
2022,86160000,NivelManual,6140,0,6140,0,0,0,0,0,0,0,0
2022,86160000,NivelFinal,6140,0,3,0,6137,6137,0,0,0,0,0
2022,86160000,VazaoFinal,6140,0,3,0,6137,6137,0,0,0,0,0
2022,86163000,ChuvaAcumAdotada,1480,0,1480,0,0,0,0,0,0,0,0
2022,86163000,ChuvaFinal,1480,0,0,0,1480,1480,0,0,0,0,1170
2022,86163000,NivelSensor,1480,0,0,0,1480,1480,0,0,0,0,0
2022,86163000,NivelDisplay,1480,0,1480,0,0,0,0,0,0,0,0
2022,86163000,NivelManual,1480,0,1480,0,0,0,0,0,0,0,0
