phase,target_date,scheduled_rows,observed,unknown_truth,pairs,failures,both_hit,hit_to_miss,miss_to_hit,both_miss,control_hits,augmented_hits,control_mae,augmented_mae,sum_absolute_error_change,control_under_halfmeter,augmented_under_halfmeter,control_over_halfmeter,augmented_over_halfmeter
test,2026-07-02,3,3,0,3,0,0,0,0,3,0,0,1.2710106567883308,1.8908577432572204,1.8595412594066687,3,3,0,0
test,2026-07-03,24,24,0,24,0,8,3,1,12,11,9,0.6000928143502706,0.7823972565814743,4.375306613548888,13,15,0,0
test,2026-07-04,8,8,0,8,0,1,2,0,5,3,1,0.6678095501078045,0.7218652549713324,0.43244563890822274,4,5,1,2
test,2026-07-21,2,2,0,2,0,0,0,0,2,0,0,3.4198944076945503,3.576922823533396,0.31405683167769105,2,2,0,0
test,2026-07-22,23,23,0,23,0,1,0,1,21,1,2,4.8460894663059495,4.427566335754178,-9.626032002690728,20,20,2,1
test,2026-07-23,24,24,0,23,1,0,0,2,21,0,2,2.3311445393989914,1.8630989976270422,-10.765047460754836,0,0,23,21
test,2026-07-24,12,12,0,12,0,7,1,4,0,8,11,0.3516585415176549,0.27956565211322215,-0.8651146728531929,0,0,4,1
test,2026-07-28,7,7,0,7,0,0,0,0,7,0,0,3.0944186633321817,3.153984917935103,0.4169637822204475,7,7,0,0
test,2026-07-29,24,24,0,24,0,3,0,3,18,3,6,1.503862362286476,1.4440976535708572,-1.434353009174849,12,10,9,8
test,2026-07-30,24,24,0,24,0,12,0,1,11,12,13,0.7767967561605623,0.788673148352013,0.2850334125948155,0,0,12,11
test,2026-07-31,19,19,0,19,0,13,2,0,4,15,13,0.3651905723111317,0.3197488613328341,-0.8633925085876548,4,6,0,0
test,2026-08-13,18,18,0,18,0,4,0,0,14,4,4,0.9892138996154232,0.9340461038486567,-0.9930203238017992,13,13,1,1
test,2026-08-14,24,24,0,24,0,6,5,0,13,11,6,0.6274994765089325,0.8039915440363066,4.235809620656982,8,12,5,6
test,2026-08-15,7,7,0,7,0,4,0,0,3,4,4,0.5194350644233937,0.5257556396819949,0.044244026810208226,3,3,0,0
test,2026-08-31,18,18,0,18,0,4,3,0,11,7,4,0.8640592567210621,0.8686427629391988,0.08250311192646098,7,8,4,6
validation,2025-11-08,16,16,0,16,0,4,1,1,10,5,5,0.9242442271431841,1.0616789476679989,2.1989555283970326,3,1,8,10
validation,2025-11-09,12,12,0,12,0,2,2,1,7,4,3,0.7512286091564953,0.9217772841128696,2.046584099476494,1,0,7,9
