phase,profile,family,horizon_h,predictions,maximum_difference_m
test,B,profile_B_control,7,1939,0.0
test,B,mixed_profile_candidate,7,1939,0.0
validation,A,profile_A_control,8,6504,0.0
validation,A,profile_B_control,8,6504,0.0
validation,A,mixed_profile_candidate,8,6504,0.0
validation,B,profile_A_control,8,6514,0.0
validation,B,profile_B_control,8,6514,0.0
validation,B,mixed_profile_candidate,8,6514,0.0
test,A,profile_A_control,8,1937,0.0
test,A,profile_B_control,8,1937,0.0
test,A,mixed_profile_candidate,8,1937,0.0
test,B,profile_A_control,8,1938,0.0
test,B,profile_B_control,8,1938,0.0
test,B,mixed_profile_candidate,8,1938,0.0
validation,A,profile_A_control,9,6503,0.0
validation,A,profile_B_control,9,6503,0.0
validation,A,mixed_profile_candidate,9,6503,0.0
validation,B,profile_A_control,9,6513,0.0
validation,B,profile_B_control,9,6513,0.0
validation,B,mixed_profile_candidate,9,6513,0.0
test,A,profile_A_control,9,1936,0.0
test,A,profile_B_control,9,1936,0.0
test,A,mixed_profile_candidate,9,1936,0.0
test,B,profile_A_control,9,1937,0.0
test,B,profile_B_control,9,1937,0.0
test,B,mixed_profile_candidate,9,1937,0.0
validation,A,profile_A_control,10,6502,0.0
validation,A,profile_B_control,10,6502,0.0
validation,A,mixed_profile_candidate,10,6502,0.0
validation,B,profile_A_control,10,6512,0.0
validation,B,profile_B_control,10,6512,0.0
validation,B,mixed_profile_candidate,10,6512,0.0
test,A,profile_A_control,10,1935,0.0
test,A,profile_B_control,10,1935,0.0
test,A,mixed_profile_candidate,10,1935,0.0
test,B,profile_A_control,10,1936,0.0
test,B,profile_B_control,10,1936,0.0
test,B,mixed_profile_candidate,10,1936,0.0
validation,A,profile_A_control,11,6501,0.0
validation,A,profile_B_control,11,6501,0.0
validation,A,mixed_profile_candidate,11,6501,0.0
validation,B,profile_A_control,11,6511,0.0
validation,B,profile_B_control,11,6511,0.0
validation,B,mixed_profile_candidate,11,6511,0.0
test,A,profile_A_control,11,1934,0.0
test,A,profile_B_control,11,1934,0.0
test,A,mixed_profile_candidate,11,1934,0.0
test,B,profile_A_control,11,1935,0.0
test,B,profile_B_control,11,1935,0.0
test,B,mixed_profile_candidate,11,1935,0.0
validation,A,profile_A_control,12,6500,0.0
validation,A,profile_B_control,12,6500,0.0
validation,A,mixed_profile_candidate,12,6500,0.0
validation,B,profile_A_control,12,6510,0.0
validation,B,profile_B_control,12,6510,0.0
validation,B,mixed_profile_candidate,12,6510,0.0
test,A,profile_A_control,12,1933,0.0
test,A,profile_B_control,12,1933,0.0
test,A,mixed_profile_candidate,12,1933,0.0
test,B,profile_A_control,12,1934,0.0
test,B,profile_B_control,12,1934,0.0
test,B,mixed_profile_candidate,12,1934,0.0
