period,subset,horizon_h,observed_targets,pairs,failures,control_hits,candidate_hits,hit_change,control_fraction,candidate_fraction,control_mae,candidate_mae,mae_change,control_max,candidate_max,max_change
2022,level_ge_7m,1,312,311,1,307,310,3,0.9839743589743589,0.9935897435897436,0.07390721381285606,0.06519232319209195,-0.00871489062076411,1.1085347330164899,0.9829393638563504,-0.12559536916013947
2022,level_ge_7m,2,312,311,1,294,299,5,0.9423076923076923,0.9583333333333334,0.1699285572091213,0.15988128587278067,-0.010047271336340646,1.8686908227421828,1.713055091769598,-0.15563573097258487
2022,level_ge_7m,3,312,311,1,279,282,3,0.8942307692307693,0.9038461538461539,0.26488767288922893,0.22059570678301965,-0.04429196610620928,2.702134633656705,1.9927776152259398,-0.7093570184307652
2022,level_ge_7m,4,312,311,1,256,272,16,0.8205128205128205,0.8717948717948718,0.3881649904969358,0.2648526972535258,-0.12331229324341003,3.326192234671896,1.8879659130243205,-1.4382263216475755
2022,level_ge_7m,5,312,311,1,226,239,13,0.7243589743589743,0.7660256410256411,0.5198754914292881,0.3692740319439491,-0.15060145948533904,3.961728095483049,1.8810856778817495,-2.0806424176012994
2022,level_ge_7m,6,312,311,1,194,218,24,0.6217948717948718,0.6987179487179487,0.6405653115266721,0.47137133420179084,-0.16919397732488123,3.7423398159057095,2.972565889347573,-0.7697739265581367
2022,level_ge_7m,7,312,311,1,180,196,16,0.5769230769230769,0.6282051282051282,0.7201672822285525,0.5881950250578271,-0.13197225717072547,4.569209618198557,3.3006971429938847,-1.2685124752046724
2022,level_ge_7m,8,312,311,1,172,186,14,0.5512820512820513,0.5961538461538461,0.7424443781338623,0.6639008556610227,-0.07854352247283958,4.769363882540022,4.016142337131393,-0.7532215454086284
2022,level_ge_7m,9,312,311,1,170,167,-3,0.5448717948717948,0.5352564102564102,0.8005388803105036,0.7723358704627973,-0.028203009847706295,5.254545046447809,4.132870009052942,-1.1216750373948674
2022,level_ge_7m,10,312,311,1,138,125,-13,0.4423076923076923,0.40064102564102566,0.9395304802049467,0.9229076937977476,-0.016622786407199053,5.808953649485105,4.84275269613387,-0.966200953351235
2022,level_ge_7m,11,312,311,1,146,118,-28,0.46794871794871795,0.3782051282051282,0.9853116737393726,1.0343521590895826,0.049040485350209995,6.101533435936715,5.067030789417254,-1.0345026465194609
2022,level_ge_7m,12,312,311,1,147,120,-27,0.47115384615384615,0.38461538461538464,1.0271656385157095,1.0630000511527986,0.035834412637089086,5.816916608456574,4.877715042712763,-0.9392015657438106
pooled,all,1,2205,2200,5,2193,2198,5,0.9945578231292517,0.9968253968253968,0.03748991871212699,0.04175789311285146,0.004267974400724468,1.1085347330164899,0.9829393638563504,-0.12559536916013947
pooled,all,2,2203,2198,5,2171,2172,1,0.9854743531547889,0.9859282796187018,0.06691648612994494,0.08231105396160818,0.015394567831663236,1.8686908227421828,1.713055091769598,-0.15563573097258487
pooled,all,3,2201,2196,5,2141,2143,2,0.9727396637891867,0.9736483416628805,0.10707040222702338,0.10110706647627066,-0.005963335750752724,2.702134633656705,1.9927776152259398,-0.7093570184307652
pooled,all,4,2199,2194,5,2083,2093,10,0.9472487494315598,0.9517962710322874,0.17361303899035163,0.13531859071261843,-0.038294448277733206,3.326192234671896,1.8879659130243205,-1.4382263216475755
pooled,all,5,2197,2192,5,2027,2049,22,0.9226217569412836,0.9326354119253527,0.19889990629478443,0.14739125039748457,-0.05150865589729986,3.961728095483049,1.8810856778817495,-2.0806424176012994
pooled,all,6,2195,2190,5,1965,2014,49,0.8952164009111617,0.9175398633257403,0.25070742066869883,0.19111858198351442,-0.059588838685184414,3.7423398159057095,2.972565889347573,-0.7697739265581367
pooled,all,7,2193,2188,5,1433,1926,493,0.6534427724578203,0.8782489740082079,0.3834605917165292,0.24626658471943583,-0.13719400699709336,4.569209618198557,3.3006971429938847,-1.2685124752046724
pooled,all,8,2191,2186,5,1318,1866,548,0.6015518028297581,0.851665905979005,0.4791548196563327,0.28441599814852636,-0.19473882150780636,4.769363882540022,4.016142337131393,-0.7532215454086284
pooled,all,9,2189,2184,5,1296,1756,460,0.5920511649154865,0.8021927820922796,0.5733562202661823,0.3323996310843013,-0.24095658918188095,5.254545046447809,4.132870009052942,-1.1216750373948674
pooled,all,10,2187,2182,5,1307,1868,561,0.5976223136716964,0.85413808870599,0.511187915540855,0.32035143831786217,-0.1908364772229928,5.808953649485105,4.84275269613387,-0.966200953351235
pooled,all,11,2185,2180,5,1736,1776,40,0.7945080091533181,0.8128146453089244,0.428236878553531,0.3825311418466471,-0.04570573670688388,6.101533435936715,5.067030789417254,-1.0345026465194609
pooled,all,12,2183,2178,5,1583,1650,67,0.7251488776912506,0.7558405863490609,0.47904123005407495,0.4214282207217921,-0.05761300933228286,5.816916608456574,4.877715042712763,-0.9392015657438106
pooled,level_ge_7m,1,323,322,1,318,321,3,0.9845201238390093,0.9938080495356038,0.07305675567950083,0.06504059335039815,-0.008016162329102683,1.1085347330164899,0.9829393638563504,-0.12559536916013947
pooled,level_ge_7m,2,323,322,1,305,310,5,0.9442724458204335,0.9597523219814241,0.1684076939690451,0.15828565188563654,-0.010122042083408556,1.8686908227421828,1.713055091769598,-0.15563573097258487
pooled,level_ge_7m,3,323,322,1,290,293,3,0.8978328173374613,0.9071207430340558,0.2605106938888284,0.22021169388785167,-0.04029900000097675,2.702134633656705,1.9927776152259398,-0.7093570184307652
pooled,level_ge_7m,4,323,322,1,267,281,14,0.826625386996904,0.8699690402476781,0.38092762384535456,0.2646718616477944,-0.11625576219756018,3.326192234671896,1.8879659130243205,-1.4382263216475755
pooled,level_ge_7m,5,323,322,1,235,250,15,0.7275541795665634,0.7739938080495357,0.5138318044011544,0.36333075680285204,-0.15050104759830235,3.961728095483049,1.8810856778817495,-2.0806424176012994
pooled,level_ge_7m,6,323,322,1,202,227,25,0.6253869969040248,0.7027863777089783,0.6305515890896575,0.4632935302314684,-0.16725805885818906,3.7423398159057095,2.972565889347573,-0.7697739265581367
pooled,level_ge_7m,7,323,322,1,189,201,12,0.5851393188854489,0.6222910216718266,0.7082437742963906,0.5844446599102671,-0.12379911438612357,4.569209618198557,3.3006971429938847,-1.2685124752046724
pooled,level_ge_7m,8,323,322,1,176,191,15,0.544891640866873,0.5913312693498453,0.7427031199290579,0.6606117167907686,-0.08209140313828933,4.769363882540022,4.016142337131393,-0.7532215454086284
pooled,level_ge_7m,9,323,322,1,173,174,1,0.5356037151702786,0.5386996904024768,0.8052304494858932,0.7597501030749056,-0.04548034641098753,5.254545046447809,4.132870009052942,-1.1216750373948674
pooled,level_ge_7m,10,323,322,1,141,135,-6,0.43653250773993807,0.4179566563467492,0.9327838378638094,0.9009359568149921,-0.031847881048817306,5.808953649485105,4.84275269613387,-0.966200953351235
pooled,level_ge_7m,11,323,322,1,149,127,-22,0.4613003095975232,0.3931888544891641,0.9718228253822714,1.0091162402108784,0.03729341482860704,6.101533435936715,5.067030789417254,-1.0345026465194609
pooled,level_ge_7m,12,323,322,1,153,130,-23,0.47368421052631576,0.4024767801857585,1.007857115558487,1.0357343929139633,0.027877277355476293,5.816916608456574,4.877715042712763,-0.9392015657438106
