period,subset,horizon_h,observed_targets,pairs,failures,control_hits,candidate_hits,hit_change,control_fraction,candidate_fraction,control_mae,candidate_mae,mae_change,control_max,candidate_max,max_change
2021,all,1,743,743,0,743,743,0,1.0,1.0,0.03176970598058766,0.04055697067663001,0.008787264696042345,0.303935811177126,0.33542148113290526,0.03148566995577928
2021,all,2,742,742,0,740,738,-2,0.9973045822102425,0.9946091644204852,0.05086323518500803,0.06602053684248134,0.01515730165747331,0.6342456973448094,0.6360702113013028,0.001824513956493412
2021,all,3,741,741,0,731,732,1,0.9865047233468286,0.9878542510121457,0.09714056357585706,0.09356467592984698,-0.0035758876460100786,0.8006281654894924,0.9195036920337432,0.11887552654425071
2021,all,4,740,740,0,716,706,-10,0.9675675675675676,0.9540540540540541,0.1846111187143634,0.13256190370048768,-0.052049215013875716,1.028971540581634,1.126566702418031,0.09759516183639705
2021,all,5,739,739,0,698,697,-1,0.9445196211096076,0.9431664411366711,0.19759122551934888,0.14048851794877895,-0.05710270757056993,1.3439867254330542,0.9475490547718379,-0.39643767066121627
2021,all,6,738,738,0,670,684,14,0.907859078590786,0.926829268292683,0.2781717689523117,0.17050491091407957,-0.10766685803823214,1.0246188908290073,1.0071693843931842,-0.017449506435823103
2021,all,7,737,737,0,161,618,457,0.21845318860244234,0.8385345997286295,0.5918019483141733,0.29719121551773137,-0.29461073279644195,1.4848286906758732,1.4631952151117718,-0.021633475564101445
2021,all,8,736,736,0,65,572,507,0.08831521739130435,0.7771739130434783,0.8484241435487748,0.35593539460290985,-0.492488748945865,1.663018786673602,1.3370527536688988,-0.32596603300470317
2021,all,9,735,735,0,39,489,450,0.053061224489795916,0.6653061224489796,1.0429328314503483,0.4343485068213258,-0.6085843246290226,1.88185234036969,1.2622506102099593,-0.6196017301597307
2021,all,10,734,734,0,96,667,571,0.1307901907356948,0.9087193460490464,0.7542057590424747,0.22978304095773108,-0.5244227180847436,1.8401386260440837,2.4856108408882696,0.6454722148441858
2021,all,11,733,733,0,553,657,104,0.7544338335607094,0.8963165075034106,0.3804315387346641,0.2265420759488273,-0.15388946278583682,1.5329437114376967,2.4367218893824427,0.903778177944746
2021,all,12,732,732,0,484,636,152,0.6612021857923497,0.8688524590163934,0.4654291817772607,0.27905086601170187,-0.18637831576555886,1.907365258669126,2.5290678946117358,0.6217026359426097
2021,level_ge_7m,1,11,11,0,11,11,0,1.0,1.0,0.04901198481827644,0.060750776917055334,0.011738792098778893,0.13699274102333892,0.14337335699494513,0.006380615971606218
2021,level_ge_7m,2,11,11,0,11,11,0,1.0,1.0,0.12540874236325428,0.11317272734001675,-0.012236015023237526,0.2849241743743667,0.36291737356460096,0.07799319919023429
2021,level_ge_7m,3,11,11,0,11,11,0,1.0,1.0,0.13676156033205047,0.20935460203355652,0.07259304170150604,0.28106805853045014,0.42153870839435115,0.140470649863901
2021,level_ge_7m,4,11,11,0,11,9,-2,1.0,0.8181818181818182,0.1763075303324659,0.2595591458857527,0.08325161555328678,0.4563349369465932,0.6699216282108251,0.2135866912642319
2021,level_ge_7m,5,11,11,0,9,11,2,0.8181818181818182,1.0,0.342960289333011,0.19529815963183628,-0.1476621297011747,0.748924075238186,0.3746147107116977,-0.37430936452648833
2021,level_ge_7m,6,11,11,0,8,9,1,0.7272727272727273,0.8181818181818182,0.3474363456431569,0.23491198161598945,-0.11252436402716745,0.7555407290239282,0.6274279853034797,-0.12811274372044856
2021,level_ge_7m,7,11,11,0,9,5,-4,0.8181818181818182,0.45454545454545453,0.37113368639617317,0.4784116089201626,0.10727792252398943,0.5563514985729388,0.8906062921345601,0.33425479356162136
2021,level_ge_7m,8,11,11,0,4,5,1,0.36363636363636365,0.45454545454545453,0.7500184561386763,0.5676187905499476,-0.18239966558872878,1.2829171508189772,1.3370527536688988,0.05413560284992158
2021,level_ge_7m,9,11,11,0,3,7,4,0.2727272727272727,0.6363636363636364,0.937873905262821,0.40391613419905764,-0.5339577710637633,1.496698329321184,1.058424163771062,-0.4382741655501219
2021,level_ge_7m,10,11,11,0,3,10,7,0.2727272727272727,0.9090909090909091,0.7420378589461959,0.2797350293934517,-0.4623028295527442,1.1121534604741887,0.5175395602076476,-0.5946139002665412
2021,level_ge_7m,11,11,11,0,3,9,6,0.2727272727272727,0.8181818181818182,0.5904562945587747,0.29562798827660886,-0.29482830628216583,0.8278408208679364,0.6516164283623382,-0.17622439250559818
2021,level_ge_7m,12,11,11,0,6,10,4,0.5454545454545454,0.9090909090909091,0.4619525119497453,0.26485987361598334,-0.19709263833376195,0.7455550653395893,0.6156729849910185,-0.12988208034857074
2022,all,1,1462,1457,5,1450,1455,5,0.9917920656634747,0.9952120383036935,0.04040695238373559,0.0423703058582959,0.0019633534745603087,1.1085347330164899,0.9829393638563504,-0.12559536916013947
2022,all,2,1461,1456,5,1431,1434,3,0.9794661190965093,0.9815195071868583,0.07509746978457625,0.0906129521088555,0.015515482324279253,1.8686908227421828,1.713055091769598,-0.15563573097258487
2022,all,3,1460,1455,5,1410,1411,1,0.9657534246575342,0.9664383561643836,0.11212745407617408,0.10494824269269676,-0.007179211383477324,2.702134633656705,1.9927776152259398,-0.7093570184307652
2022,all,4,1459,1454,5,1367,1387,20,0.9369431117203564,0.9506511309115833,0.16801566691623285,0.13672158135152954,-0.03129408556470331,3.326192234671896,1.8879659130243205,-1.4382263216475755
2022,all,5,1458,1453,5,1329,1352,23,0.911522633744856,0.9272976680384087,0.19956550512000593,0.15090200007373608,-0.048663505046269845,3.961728095483049,1.8810856778817495,-2.0806424176012994
2022,all,6,1457,1452,5,1295,1330,35,0.8888126286890872,0.91283459162663,0.23674826844190394,0.20159577843616105,-0.03515249000574289,3.7423398159057095,2.972565889347573,-0.7697739265581367
2022,all,7,1456,1451,5,1272,1308,36,0.8736263736263736,0.8983516483516484,0.2776386897093178,0.22040066266682123,-0.057238027042496586,4.569209618198557,3.3006971429938847,-1.2685124752046724
2022,all,8,1455,1450,5,1253,1294,41,0.8611683848797251,0.8893470790378006,0.29171880421851376,0.24811373898271516,-0.0436050652357986,4.769363882540022,4.016142337131393,-0.7532215454086284
2022,all,9,1454,1449,5,1257,1267,10,0.8645116918844566,0.8713892709766162,0.33516518560754716,0.2806864332466803,-0.054478752360866856,5.254545046447809,4.132870009052942,-1.1216750373948674
2022,all,10,1453,1448,5,1211,1201,-10,0.8334480385409497,0.8265657260839642,0.3880006937658626,0.3662611093553871,-0.02173958441047552,5.808953649485105,4.84275269613387,-0.966200953351235
2022,all,11,1452,1447,5,1183,1119,-64,0.8147382920110193,0.7706611570247934,0.4524534052205866,0.46154979098493454,0.009096385764347958,6.101533435936715,5.067030789417254,-1.0345026465194609
2022,all,12,1451,1446,5,1099,1014,-85,0.757408683666437,0.698828394210889,0.4859319764846615,0.4935030641849913,0.0075710877003297705,5.816916608456574,4.877715042712763,-0.9392015657438106
