source,lead_h,forecast_m3_s,alpha
julho,0,3962.18,10.0
julho,1,4723.524830698782,1000.0
julho,2,5194.163375934571,1000.0
julho,3,5676.39249955995,1000.0
julho,4,6073.415990981877,1000.0
julho,5,6463.079716476593,1000.0
julho,6,6698.784061554935,1000.0
julho,7,6755.988605809625,1000.0
julho,8,6801.562045361702,1000.0
julho,9,6954.283665948177,1000.0
julho,10,7017.462075824876,1000.0
julho,11,7094.058625913408,1000.0
carreiro,0,607.2012751777065,1000.0
carreiro,1,846.7675262508552,1000.0
carreiro,2,856.5844315365647,1000.0
carreiro,3,925.573521160991,1000.0
carreiro,4,908.1500750138716,1000.0
carreiro,5,903.3345622424675,1000.0
carreiro,6,984.9184913173304,1000.0
carreiro,7,1080.3890789036377,1000.0
carreiro,8,1063.7245461006821,1000.0
carreiro,9,1092.3743289907752,1000.0
carreiro,10,1003.5784035324591,1000.0
carreiro,11,1162.1947449775075,1000.0
