source,last_time,delay_minutes,value
86060010,2026-09-21T08:00:00-03:00,360.0,13.8
86099000,2026-09-21T13:00:00-03:00,60.0,5.74
86102000,2026-09-21T10:00:00-03:00,240.0,7.51
86117000,2026-09-21T13:00:00-03:00,60.0,2.7
86125000,2026-09-21T11:59:00-03:00,121.0,0.8412999999999999
86125050,2026-09-21T13:00:00-03:00,60.0,1.01
86160000,2026-09-21T13:45:00-03:00,15.0,5.69
86163000,2026-09-21T13:00:00-03:00,60.0,8.89
86200900,2026-09-21T12:00:00-03:00,120.0,667.03
86280500,2026-09-21T13:00:00-03:00,60.0,5.8063
86298000,2026-09-21T13:00:00-03:00,60.0,5.71
86403000,2026-09-21T13:00:00-03:00,60.0,8.52
86410800,2026-09-21T13:00:00-03:00,60.0,0.38
86447000,2026-09-21T13:00:00-03:00,60.0,4.89
86448000,2026-09-21T13:00:00-03:00,60.0,150.74
86450000,2026-09-21T13:45:00-03:00,15.0,12.63
86471000,2026-09-21T13:45:00-03:00,15.0,3.74
86472000,2026-09-21T13:30:00-03:00,30.0,11.35
86472600,2026-09-21T13:45:00-03:00,15.0,8.63
86479000,2026-09-21T13:00:00-03:00,60.0,0.2
86488000,2026-09-21T13:00:00-03:00,60.0,0.66
86493000,2026-09-21T13:00:00-03:00,60.0,371.56
86495500,2026-09-21T13:00:00-03:00,60.0,330.23
86500000,2026-09-21T13:30:00-03:00,30.0,4.894
86504900,2026-09-21T13:00:00-03:00,60.0,6.63
86505500,2026-09-21T13:00:00-03:00,60.0,1.15
86510000,2026-09-21T13:45:00-03:00,15.0,7.88
julho,2026-09-21T14:00:00-03:00,0.0,3962.18
monte,2026-09-21T14:00:00-03:00,0.0,4641.38
castro,2026-09-21T14:00:00-03:00,0.0,2828.1
