h,model,phase,subset,n,mae_m,p90_abs_m,bias_m,persistence_mae_m
1,estatistico,test,todos,1297,0.027737325063575628,0.06538339298908859,-0.0005245442490864927,0.14548959136468773
1,estatistico,test,nivel_alvo_maior_igual_9m,70,0.05861289490229904,0.15755194440235612,0.010199344617593833,0.2565714285714285
1,estatistico,today,todos,13,0.13602198079239963,0.42577807064406004,-0.08590373675819823,0.3846153846153847
1,estatistico,today,nivel_alvo_maior_igual_9m,0,,,,
1,propagacao,test,todos,1297,0.22040939903263454,0.41989005469624185,-0.016943074748371728,0.14548959136468773
1,propagacao,test,nivel_alvo_maior_igual_9m,70,0.5968648200882516,0.9560018749934482,0.4341335156489515,0.2565714285714285
1,propagacao,today,todos,13,0.48459559362606497,0.9806264917812245,-0.33820833134727163,0.3846153846153847
1,propagacao,today,nivel_alvo_maior_igual_9m,0,,,,
2,estatistico,test,todos,1296,0.04984779448468961,0.11285338256785504,0.0007878678342564102,0.2581172839506173
2,estatistico,test,nivel_alvo_maior_igual_9m,70,0.1329533079663943,0.36009235232550413,0.0379601409566263,0.47171428571428553
2,estatistico,today,todos,12,0.35353770503186244,0.9639462208566301,-0.27723390034130724,0.6833333333333332
2,estatistico,today,nivel_alvo_maior_igual_9m,0,,,,
2,propagacao,test,todos,1296,0.3079818680222575,0.5798930601276266,-0.026751427304170298,0.2581172839506173
2,propagacao,test,nivel_alvo_maior_igual_9m,70,0.8732763267656567,1.3799067400821463,0.6162600411053527,0.47171428571428553
2,propagacao,today,todos,12,0.7083082931625659,1.602645144401329,-0.6931841207240893,0.6833333333333332
2,propagacao,today,nivel_alvo_maior_igual_9m,0,,,,
3,estatistico,test,todos,1295,0.06764726429355689,0.1608352462237786,0.00446708375619348,0.36546718146718143
3,estatistico,test,nivel_alvo_maior_igual_9m,70,0.18298361359568222,0.43987992457026304,0.04053287475521091,0.6935714285714285
3,estatistico,today,todos,11,0.6391096551539825,1.8254531858577927,-0.6241664477151466,0.9618181818181818
3,estatistico,today,nivel_alvo_maior_igual_9m,0,,,,
3,propagacao,test,todos,1295,0.35155605201085305,0.6533290175675118,-0.03174631679607551,0.36546718146718143
3,propagacao,test,nivel_alvo_maior_igual_9m,70,1.0550642631059584,1.6538221503426114,0.7248113276796022,0.6935714285714285
3,propagacao,today,todos,11,0.9967954545816873,1.9948855626083124,-0.9967954545816873,0.9618181818181818
3,propagacao,today,nivel_alvo_maior_igual_9m,0,,,,
4,estatistico,test,todos,1295,0.09758483336317621,0.22842328625345307,0.006091808159492745,0.46627027027027024
4,estatistico,test,nivel_alvo_maior_igual_9m,70,0.26709449508399546,0.6522794393273729,0.027034034868414762,0.9167142857142857
4,estatistico,today,todos,10,1.061119433014428,2.5073216669800975,-1.0267875222806377,1.202
4,estatistico,today,nivel_alvo_maior_igual_9m,0,,,,
4,propagacao,test,todos,1295,0.3724856150729725,0.6753393289641251,-0.033347624271201616,0.46627027027027024
4,propagacao,test,nivel_alvo_maior_igual_9m,70,1.1749734830620502,1.8408272608393499,0.7842908049405629,0.9167142857142857
4,propagacao,today,todos,10,1.2062907162748864,2.532229759440445,-1.2062907162748864,1.202
4,propagacao,today,nivel_alvo_maior_igual_9m,0,,,,
5,estatistico,test,todos,1295,0.11473826205182154,0.2688478423368519,0.010427368152782853,0.5576756756756757
5,estatistico,test,nivel_alvo_maior_igual_9m,70,0.37176931832243343,0.91332829296748,0.13145347437784463,1.1425714285714286
5,estatistico,today,todos,9,1.3802754672527047,2.8404374273107753,-1.3761015755674748,1.3644444444444441
5,estatistico,today,nivel_alvo_maior_igual_9m,0,,,,
5,propagacao,test,todos,1295,0.31634940024214303,0.6467542020151685,-0.007644550833953974,0.5576756756756757
5,propagacao,test,nivel_alvo_maior_igual_9m,70,0.9243528494881358,1.4217761056863971,0.5521072208681691,1.1425714285714286
5,propagacao,today,todos,9,1.2303027939365196,2.6475640079621416,-1.2295659005174049,1.3644444444444441
5,propagacao,today,nivel_alvo_maior_igual_9m,0,,,,
6,estatistico,test,todos,1295,0.15449734527217812,0.3455497071191207,-0.0042471163135373545,0.6400772200772201
6,estatistico,test,nivel_alvo_maior_igual_9m,70,0.4983455855431782,1.4228667791059812,0.1394963404076639,1.3678571428571429
6,estatistico,today,todos,8,1.6301098529247677,3.0538625018529157,-1.6301098529247677,1.4975
6,estatistico,today,nivel_alvo_maior_igual_9m,0,,,,
6,propagacao,test,todos,1295,0.3406835694739617,0.6991096923617182,-0.008403633703881634,0.6400772200772201
6,propagacao,test,nivel_alvo_maior_igual_9m,70,1.0528745725839483,1.594248968613056,0.5895946220828782,1.3678571428571429
6,propagacao,today,todos,8,1.4740650136094728,3.0857077604349517,-1.4740650136094728,1.4975
6,propagacao,today,nivel_alvo_maior_igual_9m,0,,,,
7,estatistico,test,todos,1295,0.21000148066189747,0.45444184393351267,-0.0005956283839925247,0.7124864864864865
7,estatistico,test,nivel_alvo_maior_igual_9m,70,0.5904052403767746,1.3080081930438847,0.2344731504139581,1.5917142857142859
7,estatistico,today,todos,7,1.9884963689941297,3.6641248102310016,-1.9884963689941297,1.6357142857142857
7,estatistico,today,nivel_alvo_maior_igual_9m,0,,,,
7,propagacao,test,todos,1295,0.3706149563513125,0.7729129651159965,-0.009534317167828427,0.7124864864864865
7,propagacao,test,nivel_alvo_maior_igual_9m,70,1.1740606099366193,1.6936255584574824,0.6102877037255776,1.5917142857142859
7,propagacao,today,todos,7,1.7130367635963408,3.2161686751001626,-1.7130367635963408,1.6357142857142857
7,propagacao,today,nivel_alvo_maior_igual_9m,0,,,,
8,estatistico,test,todos,1295,0.2566837038035323,0.5327874546403383,-0.030445838030566514,0.775119691119691
8,estatistico,test,nivel_alvo_maior_igual_9m,70,0.7645804910809343,2.1481895266001723,0.17338173342327112,1.812714285714286
8,estatistico,today,todos,6,2.3946198319525713,3.764422723941196,-2.3946198319525713,1.8983333333333334
8,estatistico,today,nivel_alvo_maior_igual_9m,0,,,,
