mae_m,rmse_m,bias_m,p90_abs_m,max_abs_m,n,h,phase,tau_h
0.2065728022414268,0.27321027790326796,0.11809426183662118,0.43420912381195775,1.5644811277354926,5984,1,validation,2.0
0.2886769434481467,0.37913439108973795,0.16447292347939987,0.6006386330500505,2.176352758501999,5973,2,validation,2.0
0.3326651668110294,0.43792667217781794,0.19165221631788262,0.6954859184652655,2.634079600696463,5965,3,validation,2.0
0.3542762148931523,0.4702832583789587,0.20872310304443084,0.7532277637970034,3.0020469482786156,5959,4,validation,2.0
0.32058204143941177,0.4273930753949182,0.15566624882845717,0.6916760003059633,2.8125077236192078,5959,5,validation,6.0
0.3355119607988559,0.453048674096521,0.17213848539913287,0.7357655767002791,3.199986584747936,5959,6,validation,6.0
0.34856396999805017,0.47622502337484485,0.1902264211388613,0.7756414921066541,3.6076394266618568,5960,7,validation,6.0
0.38583951905660496,0.5351330556244203,0.25235825432919173,0.8526217030275354,4.383288494636105,5961,8,validation,2.0
0.4039734383352913,0.5618917826347216,0.26654426509211177,0.884213012773928,4.741585711435823,5963,9,validation,2.0
0.4287424074741523,0.5961535818586847,0.28235403199565373,0.9341747383390853,5.0069032900709125,5962,10,validation,2.0
0.45805413606132955,0.6356920279182423,0.2987896919967099,0.9897046918083112,5.257830411565645,5963,11,validation,2.0
0.47385529893145784,0.658809104724319,0.2946426541524792,1.0237279247058353,5.342323193735311,5962,12,validation,6.0
0.2373322363953183,0.31938445084913136,-0.003238272836443765,0.45721475125734024,1.8218384232282459,1587,1,test,2.0
0.3302738242004006,0.4475094306439064,-0.010127400614710664,0.6389896548924929,2.9197852380960763,1583,2,test,2.0
0.37673117210541107,0.5166444224059675,-0.016372834222565184,0.7128403503586899,3.511513215002319,1579,3,test,2.0
0.4000984497139568,0.5582410533862485,-0.021534434410774256,0.7538745865370385,3.6440500216325464,1578,4,test,2.0
0.34686456842801294,0.5091661454558969,-0.007755828456657325,0.7029754536927861,3.894622618753454,1577,5,test,6.0
0.37367526357089087,0.5597580426625622,-0.013328230007774654,0.7397317951993405,4.183541746201888,1576,6,test,6.0
0.4054911378168384,0.617049840888526,-0.01356391123162982,0.8142839094184742,5.1038421552083335,1575,7,test,6.0
0.480736089709783,0.7281452330095344,-0.031009897541674616,0.9895144483611571,6.301214728563707,1574,8,test,2.0
0.524934890676365,0.7977437070992226,-0.03408716302131074,1.1193422546573708,6.70448207185323,1573,9,test,2.0
0.5847981389199647,0.8973817610381832,-0.04428687384217036,1.2200422206238242,7.958656635896881,1572,10,test,2.0
0.6440122480448953,0.9808058041464663,-0.05218818149702755,1.3167322827831867,9.025587748372937,1571,11,test,2.0
0.6837453171057126,1.0415935129903555,-0.054163561161616074,1.3563271279766471,9.789578897222796,1570,12,test,6.0
0.48459559362606497,0.5911307601243819,-0.33820833134727163,0.9806264917812245,1.071701759733199,13,1,today,2.0
0.7083082931625659,0.9114684509282313,-0.6931841207240893,1.602645144401329,1.658760861111455,12,2,today,2.0
0.9967954545816873,1.2424645530185003,-0.9967954545816873,1.9948855626083124,2.178591820966764,11,3,today,2.0
1.2062907162748864,1.517179535865283,-1.2062907162748864,2.532229759440445,2.5741277835663894,10,4,today,2.0
1.2303027939365196,1.6775238455775845,-1.2295659005174049,2.6475640079621416,2.8754486378500754,9,5,today,6.0
1.4740650136094728,1.9295748901431247,-1.4740650136094728,3.0857077604349517,3.1480055968300644,8,6,today,6.0
1.7130367635963408,2.1139664377342036,-1.7130367635963408,3.2161686751001626,3.4079302347745317,7,7,today,6.0
2.1335414396750187,2.3962106488668518,-2.1335414396750187,3.2969253839850934,3.5092847973725476,6,8,today,2.0
2.450126109223766,2.5873884791653463,-2.450126109223766,3.286147040743191,3.345670614928622,5,9,today,2.0
2.7851338021963032,2.849073526086566,-2.7851338021963032,3.3936621035060957,3.4790221068536695,4,10,today,2.0
3.02481171416337,3.0480939517426338,-3.02481171416337,3.387692590603143,3.472018658794452,3,11,today,2.0
3.1130570184954065,3.114925021793701,-3.1130570184954065,3.1993454315965035,3.220917534871778,2,12,today,6.0
