source,lag_h,weight
14 de Julho,1,0.17652091391693994
14 de Julho,2,0.1110843446705583
14 de Julho,3,0.07295855888524484
14 de Julho,4,0.07034977812960971
14 de Julho,5,0.08253739492222732
14 de Julho,6,0.09812977294472622
14 de Julho,7,0.09730828310985058
14 de Julho,8,0.07885875518912289
14 de Julho,9,0.061640627722055086
14 de Julho,10,0.05353609251007729
14 de Julho,11,0.047828273995706196
14 de Julho,12,0.049247204003881585
Passo Carreiro,4,0.28265044541381146
Passo Carreiro,5,0.22289431567341741
Passo Carreiro,6,0.13572268458809394
Passo Carreiro,7,0.051782549547271906
Passo Carreiro,8,2.403149375228419e-17
Passo Carreiro,9,0.0
Passo Carreiro,10,0.0
Passo Carreiro,11,0.0
Passo Carreiro,12,9.010749814139229e-20
Passo Carreiro,13,5.165885870839325e-19
Passo Carreiro,14,0.0
Passo Carreiro,15,3.7598111783971865e-19
Passo Carreiro,16,0.0
Passo Carreiro,17,4.2002683109694227e-19
Passo Carreiro,18,2.650198017494053e-19
Passo Carreiro,19,0.0
Passo Carreiro,20,0.0
Passo Carreiro,21,6.817600117985211e-19
Passo Carreiro,22,0.042908513583048924
Passo Carreiro,23,0.10726227120040363
Passo Carreiro,24,0.1567792199939528
chuva incremental,0,0.015729311028026452
chuva incremental,1,0.008384134362318184
chuva incremental,2,0.010544753728599823
chuva incremental,3,0.011594027958971425
chuva incremental,4,0.012311610151383592
chuva incremental,5,0.012504521250315634
chuva incremental,6,0.016731108339043864
chuva incremental,7,0.019920700449906428
chuva incremental,8,0.017844446630746694
chuva incremental,9,0.019224811535693817
chuva incremental,10,0.022764157648141343
chuva incremental,11,0.022386545566541703
chuva incremental,12,0.02494489674967136
chuva incremental,13,0.024307531875241793
chuva incremental,14,0.02339889501478844
chuva incremental,15,0.021723826649178053
chuva incremental,16,0.01922180829137754
chuva incremental,17,0.019578144147569282
chuva incremental,18,0.018135652465824173
chuva incremental,19,0.016022351646910432
chuva incremental,20,0.016187510859284226
chuva incremental,21,0.012829757970814957
chuva incremental,22,0.0101580685501822
chuva incremental,23,0.010956857031637355
chuva incremental,24,0.024784305225194415
