station,origin,query,source_time,value_m,usable
86472000,2020-07-01T00:00:00-03:00,2020-06-30T23:30:00-03:00,2020-06-30T23:30:00-03:00,10.32,True
86472000,2020-07-01T01:00:00-03:00,2020-07-01T00:30:00-03:00,2020-07-01T00:30:00-03:00,10.18,True
86472000,2020-07-01T02:00:00-03:00,2020-07-01T01:30:00-03:00,2020-07-01T01:30:00-03:00,10.02,True
86472000,2020-07-01T03:00:00-03:00,2020-07-01T02:30:00-03:00,2020-07-01T02:30:00-03:00,10.06,True
86472000,2020-07-01T04:00:00-03:00,2020-07-01T03:30:00-03:00,2020-07-01T03:30:00-03:00,9.99,True
86472000,2020-07-01T05:00:00-03:00,2020-07-01T04:30:00-03:00,2020-07-01T04:30:00-03:00,9.85,True
86472000,2020-07-01T06:00:00-03:00,2020-07-01T05:30:00-03:00,2020-07-01T05:30:00-03:00,9.73,True
86472000,2020-07-01T07:00:00-03:00,2020-07-01T06:30:00-03:00,2020-07-01T06:30:00-03:00,9.6,True
86472000,2020-07-01T08:00:00-03:00,2020-07-01T07:30:00-03:00,2020-07-01T07:30:00-03:00,9.5,True
86472000,2020-07-01T09:00:00-03:00,2020-07-01T08:30:00-03:00,2020-07-01T08:30:00-03:00,9.4,True
86472000,2020-07-01T10:00:00-03:00,2020-07-01T09:30:00-03:00,2020-07-01T09:30:00-03:00,9.16,True
86472000,2020-07-01T11:00:00-03:00,2020-07-01T10:30:00-03:00,2020-07-01T10:30:00-03:00,8.98,True
86472000,2020-07-01T12:00:00-03:00,2020-07-01T11:30:00-03:00,2020-07-01T11:30:00-03:00,9.05,True
86472000,2020-07-01T13:00:00-03:00,2020-07-01T12:30:00-03:00,2020-07-01T12:30:00-03:00,9.07,True
86472000,2020-07-01T14:00:00-03:00,2020-07-01T13:30:00-03:00,2020-07-01T13:30:00-03:00,8.97,True
86472000,2020-07-01T15:00:00-03:00,2020-07-01T14:30:00-03:00,2020-07-01T14:30:00-03:00,8.87,True
86472000,2020-07-01T16:00:00-03:00,2020-07-01T15:30:00-03:00,2020-07-01T15:30:00-03:00,8.64,True
86472000,2020-07-01T17:00:00-03:00,2020-07-01T16:30:00-03:00,2020-07-01T16:30:00-03:00,8.42,True
86472000,2020-07-01T18:00:00-03:00,2020-07-01T17:30:00-03:00,2020-07-01T17:30:00-03:00,8.34,True
86472000,2020-07-01T19:00:00-03:00,2020-07-01T18:30:00-03:00,2020-07-01T18:30:00-03:00,8.25,True
86472000,2020-07-01T20:00:00-03:00,2020-07-01T19:30:00-03:00,2020-07-01T19:30:00-03:00,8.12,True
86472000,2020-07-01T21:00:00-03:00,2020-07-01T20:30:00-03:00,2020-07-01T20:30:00-03:00,7.88,True
86472000,2020-07-01T22:00:00-03:00,2020-07-01T21:30:00-03:00,2020-07-01T21:30:00-03:00,7.87,True
86472000,2020-07-01T23:00:00-03:00,2020-07-01T22:30:00-03:00,2020-07-01T22:30:00-03:00,7.93,True
86472000,2020-07-02T00:00:00-03:00,2020-07-01T23:30:00-03:00,2020-07-01T23:30:00-03:00,7.82,True
86472000,2020-07-02T01:00:00-03:00,2020-07-02T00:30:00-03:00,2020-07-02T00:30:00-03:00,7.72,True
86472000,2020-07-02T02:00:00-03:00,2020-07-02T01:30:00-03:00,2020-07-02T01:30:00-03:00,7.62,True
86472000,2020-07-02T03:00:00-03:00,2020-07-02T02:30:00-03:00,2020-07-02T02:30:00-03:00,7.49,True
86472000,2020-07-02T04:00:00-03:00,2020-07-02T03:30:00-03:00,2020-07-02T03:30:00-03:00,7.37,True
86472000,2020-07-02T05:00:00-03:00,2020-07-02T04:30:00-03:00,2020-07-02T04:30:00-03:00,7.3,True
86472000,2020-07-02T06:00:00-03:00,2020-07-02T05:30:00-03:00,2020-07-02T05:30:00-03:00,7.23,True
86472000,2020-07-02T07:00:00-03:00,2020-07-02T06:30:00-03:00,2020-07-02T06:30:00-03:00,7.07,True
86472000,2020-07-02T08:00:00-03:00,2020-07-02T07:30:00-03:00,2020-07-02T07:30:00-03:00,6.74,True
86472000,2020-07-02T09:00:00-03:00,2020-07-02T08:30:00-03:00,2020-07-02T08:30:00-03:00,6.67,True
86472000,2020-07-02T10:00:00-03:00,2020-07-02T09:30:00-03:00,2020-07-02T09:30:00-03:00,6.69,True
86472000,2020-07-02T11:00:00-03:00,2020-07-02T10:30:00-03:00,2020-07-02T10:30:00-03:00,6.68,True
86472000,2020-07-02T12:00:00-03:00,2020-07-02T11:30:00-03:00,2020-07-02T11:30:00-03:00,6.61,True
86472000,2020-07-02T13:00:00-03:00,2020-07-02T12:30:00-03:00,2020-07-02T12:30:00-03:00,6.54,True
86472000,2020-07-02T14:00:00-03:00,2020-07-02T13:30:00-03:00,2020-07-02T13:30:00-03:00,6.46,True
86472000,2020-07-02T15:00:00-03:00,2020-07-02T14:30:00-03:00,2020-07-02T14:30:00-03:00,6.37,True
86472000,2020-07-02T16:00:00-03:00,2020-07-02T15:30:00-03:00,2020-07-02T15:30:00-03:00,6.32,True
86472000,2020-07-02T17:00:00-03:00,2020-07-02T16:30:00-03:00,2020-07-02T16:30:00-03:00,6.25,True
86472000,2020-07-02T18:00:00-03:00,2020-07-02T17:30:00-03:00,2020-07-02T17:30:00-03:00,6.11,True
86472000,2020-07-02T19:00:00-03:00,2020-07-02T18:30:00-03:00,2020-07-02T18:30:00-03:00,6.07,True
86472000,2020-07-02T20:00:00-03:00,2020-07-02T19:30:00-03:00,2020-07-02T19:30:00-03:00,5.94,True
86472000,2020-07-02T21:00:00-03:00,2020-07-02T20:30:00-03:00,2020-07-02T20:30:00-03:00,5.8,True
86472000,2020-07-02T22:00:00-03:00,2020-07-02T21:30:00-03:00,2020-07-02T21:30:00-03:00,5.91,True
86472000,2020-07-02T23:00:00-03:00,2020-07-02T22:30:00-03:00,2020-07-02T22:30:00-03:00,6.0,True
86472000,2020-07-03T00:00:00-03:00,2020-07-02T23:30:00-03:00,2020-07-02T23:30:00-03:00,5.94,True
86472000,2020-07-03T01:00:00-03:00,2020-07-03T00:30:00-03:00,2020-07-03T00:30:00-03:00,5.82,True
86472000,2020-07-03T02:00:00-03:00,2020-07-03T01:30:00-03:00,2020-07-03T01:30:00-03:00,5.74,True
86472000,2020-07-03T03:00:00-03:00,2020-07-03T02:30:00-03:00,2020-07-03T02:30:00-03:00,5.67,True
86472000,2020-07-03T04:00:00-03:00,2020-07-03T03:30:00-03:00,2020-07-03T03:30:00-03:00,5.62,True
86472000,2020-07-03T05:00:00-03:00,2020-07-03T04:30:00-03:00,2020-07-03T04:30:00-03:00,5.58,True
86472000,2020-07-03T06:00:00-03:00,2020-07-03T05:30:00-03:00,2020-07-03T05:30:00-03:00,5.55,True
86472000,2020-07-03T07:00:00-03:00,2020-07-03T06:30:00-03:00,2020-07-03T06:30:00-03:00,5.49,True
86472000,2020-07-03T08:00:00-03:00,2020-07-03T07:30:00-03:00,2020-07-03T07:30:00-03:00,5.39,True
86472000,2020-07-03T09:00:00-03:00,2020-07-03T08:30:00-03:00,2020-07-03T08:30:00-03:00,5.32,True
