column,finite,missing
0,453,27
1,451,29
2,449,31
3,448,32
4,446,34
5,442,38
6,463,17
7,462,18
8,461,19
9,460,20
10,458,22
11,454,26
12,0,480
13,0,480
14,0,480
15,0,480
16,0,480
17,0,480
18,0,480
19,0,480
20,0,480
21,0,480
22,0,480
23,0,480
24,480,0
25,480,0
26,480,0
27,480,0
28,480,0
29,480,0
30,480,0
31,480,0
32,480,0
33,480,0
34,480,0
35,480,0
36,480,0
37,480,0
38,480,0
39,480,0
40,480,0
41,480,0
42,480,0
43,480,0
44,480,0
45,2,478
46,480,0
47,135,345
48,480,0
49,142,338
50,480,0
51,161,319
52,480,0
53,196,284
54,480,0
55,190,290
56,480,0
57,135,345
58,135,345
59,135,345
60,476,4
61,480,0
62,477,3
63,480,0
64,477,3
65,480,0
66,480,0
67,480,0
68,480,0
69,480,0
70,480,0
71,480,0
72,477,3
73,477,3
74,477,3
75,0,480
76,480,0
77,0,480
78,480,0
79,0,480
80,480,0
81,0,480
82,480,0
83,0,480
84,480,0
85,0,480
86,480,0
87,0,480
88,0,480
89,0,480
90,470,10
91,480,0
92,477,3
93,480,0
94,478,2
95,480,0
96,480,0
97,480,0
98,480,0
99,480,0
100,480,0
101,480,0
102,477,3
103,477,3
104,477,3
105,444,36
106,480,0
107,465,15
108,480,0
109,471,9
110,480,0
111,476,4
112,480,0
113,480,0
114,480,0
115,480,0
116,480,0
117,465,15
118,465,15
119,465,15
