nominal_lead_h,subset,population,family,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,all,all_available,julho_levels,1944,1938,6,0.9969135802469136,1891,0.9757481940144479,0.13826727113885037,0.00480677764018576,0.33808667884870325,0.5194563237253604,1.3363363795546643
1,all,all_available,julho_levels_rain,1944,1938,6,0.9969135802469136,1892,0.9762641898864809,0.1381820963118639,0.004625804120466762,0.3371911170198405,0.518920854957196,1.3390801190012365
1,all,common_pairs,julho_levels,1944,1938,6,0.9969135802469136,1891,0.9757481940144479,0.13826727113885037,0.00480677764018576,0.33808667884870325,0.5194563237253604,1.3363363795546643
1,all,common_pairs,julho_levels_rain,1944,1938,6,0.9969135802469136,1892,0.9762641898864809,0.1381820963118639,0.004625804120466762,0.3371911170198405,0.518920854957196,1.3390801190012365
1,level_ge_7m,all_available,julho_levels,237,235,2,0.9915611814345991,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
1,level_ge_7m,all_available,julho_levels_rain,237,235,2,0.9915611814345991,217,0.9234042553191489,0.20947154459485842,0.09093524672020188,0.4670046870372761,0.786080501112773,1.3390801190012365
1,level_ge_7m,common_pairs,julho_levels,237,235,2,0.9915611814345991,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
1,level_ge_7m,common_pairs,julho_levels_rain,237,235,2,0.9915611814345991,217,0.9234042553191489,0.20947154459485842,0.09093524672020188,0.4670046870372761,0.786080501112773,1.3390801190012365
2,all,all_available,julho_levels,1943,1935,8,0.9958826556870818,1720,0.8888888888888888,0.2116940232787009,0.009647598896085987,0.5225611023169295,0.8086405684490644,2.1256756873033744
2,all,all_available,julho_levels_rain,1943,1935,8,0.9958826556870818,1720,0.8888888888888888,0.21152039789115107,0.009229225663035991,0.5228922586040268,0.809327855184643,2.136696598895387
2,all,common_pairs,julho_levels,1943,1935,8,0.9958826556870818,1720,0.8888888888888888,0.2116940232787009,0.009647598896085987,0.5225611023169295,0.8086405684490644,2.1256756873033744
2,all,common_pairs,julho_levels_rain,1943,1935,8,0.9958826556870818,1720,0.8888888888888888,0.21152039789115107,0.009229225663035991,0.5228922586040268,0.809327855184643,2.136696598895387
2,level_ge_7m,all_available,julho_levels,237,235,2,0.9915611814345991,174,0.7404255319148936,0.3389290233565138,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
2,level_ge_7m,all_available,julho_levels_rain,237,235,2,0.9915611814345991,174,0.7404255319148936,0.3388949824088797,0.14862019274862037,0.7767711192588898,1.0308987790625705,2.136696598895387
2,level_ge_7m,common_pairs,julho_levels,237,235,2,0.9915611814345991,174,0.7404255319148936,0.3389290233565138,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
2,level_ge_7m,common_pairs,julho_levels_rain,237,235,2,0.9915611814345991,174,0.7404255319148936,0.3388949824088797,0.14862019274862037,0.7767711192588898,1.0308987790625705,2.136696598895387
