year,origin,horizon_h,target_time,missing_base,missing_truth,actual_m,control_m,candidate_m
2022,2022-05-25T20:00:00-03:00,11,2022-05-26T07:00:00-03:00,True,False,2.59,,
2022,2022-06-05T20:00:00-03:00,11,2022-06-06T07:00:00-03:00,True,False,3.91,,
2022,2022-06-06T04:00:00-03:00,11,2022-06-06T15:00:00-03:00,False,True,,4.952860614037682,5.979892574063876
2022,2022-06-08T00:00:00-03:00,11,2022-06-08T11:00:00-03:00,True,False,7.67,,
2022,2022-05-12T12:00:00-03:00,12,2022-05-13T00:00:00-03:00,True,False,3.0,,
2022,2022-05-23T13:00:00-03:00,12,2022-05-24T01:00:00-03:00,True,False,2.95,,
2022,2022-05-25T20:00:00-03:00,12,2022-05-26T08:00:00-03:00,True,False,2.45,,
2022,2022-06-05T20:00:00-03:00,12,2022-06-06T08:00:00-03:00,True,False,4.11,,
2022,2022-06-06T03:00:00-03:00,12,2022-06-06T15:00:00-03:00,False,True,,5.797164025434049,7.092944809736926
2022,2022-06-08T00:00:00-03:00,12,2022-06-08T12:00:00-03:00,True,False,7.53,,
