year,family,horizon_h,origin,saved_m,independent_m,difference_m,original_reproduces
2021,control120,6,2021-05-30T13:00:00-03:00,6.669522174206847,6.668121926108357,-0.0014002480984895982,True
2021,control120,6,2021-05-30T14:00:00-03:00,6.671626663034478,6.670226414935989,-0.00140024809848871,True
2021,control120,8,2021-05-01T11:00:00-03:00,1.6388638219629548,1.6376845814578904,-0.0011792405050643495,True
2021,control120,8,2021-05-01T12:00:00-03:00,1.6331709453852064,1.631991704880142,-0.0011792405050643495,True
2021,control120,8,2021-05-09T08:00:00-03:00,2.538115124182346,2.5369358836772817,-0.0011792405050643495,True
2021,control120,8,2021-05-09T09:00:00-03:00,2.528079660597059,2.5269004200919944,-0.0011792405050643495,True
2021,control120,8,2021-05-09T10:00:00-03:00,2.532375559147578,2.5311963186425137,-0.0011792405050643495,True
2021,control120,8,2021-05-10T08:00:00-03:00,2.2170657421269744,2.21588650162191,-0.0011792405050643495,True
2021,control120,8,2021-05-10T09:00:00-03:00,2.219999034348798,2.2188197938437337,-0.0011792405050643495,True
2021,control120,8,2021-05-10T10:00:00-03:00,2.1672889865948597,2.1661097460897953,-0.0011792405050643495,True
2021,control120,8,2021-05-13T06:00:00-03:00,1.781547839338724,1.7803685988336595,-0.0011792405050645716,True
2021,control120,8,2021-05-13T07:00:00-03:00,1.9403018334415332,1.9391225929364686,-0.0011792405050645716,True
2021,control120,8,2021-05-13T08:00:00-03:00,2.0882934512681635,2.087114210763099,-0.0011792405050643495,True
2021,control120,8,2021-05-15T16:00:00-03:00,1.8009246723673356,1.799745431862271,-0.0011792405050645716,True
2021,control120,8,2021-05-15T17:00:00-03:00,1.8009246723673356,1.799745431862271,-0.0011792405050645716,True
2021,control120,8,2021-05-15T18:00:00-03:00,1.8009246723673356,1.799745431862271,-0.0011792405050645716,True
2021,control120,8,2021-05-18T06:00:00-03:00,1.864758400218554,1.8635791597134896,-0.0011792405050643495,True
2021,control120,8,2021-05-18T07:00:00-03:00,1.6681012658933212,1.6669220253882568,-0.0011792405050643495,True
2021,control120,8,2021-05-18T08:00:00-03:00,1.6581012658933214,1.6569220253882566,-0.0011792405050647936,True
2021,control120,8,2021-05-20T11:00:00-03:00,1.6455776216684166,1.6443983811633518,-0.0011792405050647936,True
2021,control120,8,2021-05-20T12:00:00-03:00,1.6455776216684166,1.6443983811633518,-0.0011792405050647936,True
2021,control120,8,2021-05-20T13:00:00-03:00,1.6445067301438552,1.6433274896387908,-0.0011792405050643495,True
2021,control120,8,2021-05-25T14:00:00-03:00,2.6989513244373615,2.6940151050768497,-0.0049362193605118065,True
2021,control120,8,2021-05-25T15:00:00-03:00,2.673266340124239,2.6720870996191746,-0.0011792405050643495,True
2021,control120,8,2021-05-25T16:00:00-03:00,2.661754245349897,2.6568180259893857,-0.0049362193605113625,True
2021,control120,8,2021-05-26T09:00:00-03:00,2.869811377391586,2.8686321368865215,-0.0011792405050643495,True
2021,control120,8,2021-05-26T10:00:00-03:00,2.865117207947212,2.8639379674421477,-0.0011792405050643495,True
2021,control120,8,2021-05-26T11:00:00-03:00,2.8264005810012556,2.8252213404961912,-0.0011792405050643495,True
2021,control120,8,2021-05-28T05:00:00-03:00,2.6830750556635095,2.681895815158445,-0.0011792405050643495,True
2021,control120,8,2021-05-28T06:00:00-03:00,2.724402137230276,2.7232228967252112,-0.0011792405050647936,True
2021,control120,8,2021-05-28T07:00:00-03:00,2.819393600651526,2.8182143601464618,-0.0011792405050643495,True
2021,candidate120_plus2020,9,2021-05-30T10:00:00-03:00,6.696723819979503,6.697739187289485,0.0010153673099813076,True
2022,candidate120_plus2020,1,2022-06-02T23:00:00-03:00,4.208412233615284,4.209870662888143,0.0014584292728594406,True
2022,control120,2,2022-06-08T20:00:00-03:00,6.746236327465659,6.750570605983969,0.004334278518310697,True
2022,control120,2,2022-06-08T21:00:00-03:00,6.61200219254336,6.616336471061671,0.004334278518310697,True
2022,control120,2,2022-06-08T22:00:00-03:00,6.468482654921296,6.472816933439606,0.004334278518310697,True
2022,control120,2,2022-06-08T23:00:00-03:00,6.502013662453124,6.506347940971435,0.004334278518310697,True
2022,control120,2,2022-06-09T00:00:00-03:00,6.556867746350226,6.561202024868536,0.004334278518310697,True
2022,candidate120_plus2020,3,2022-05-06T02:00:00-03:00,7.1433451389745795,7.14484733298624,0.0015021940116604071,True
2022,candidate120_plus2020,3,2022-05-14T18:00:00-03:00,2.8148974414262993,2.8163996354379597,0.0015021940116604071,True
2022,candidate120_plus2020,4,2022-05-29T23:00:00-03:00,11.945531397437842,11.9162217457247,-0.029309651713141704,True
2022,candidate120_plus2020,5,2022-05-16T05:00:00-03:00,2.928021912574897,2.933650818442904,0.005628905868007017,True
2022,candidate120_plus2020,5,2022-05-29T23:00:00-03:00,11.63677446168266,11.609306933488696,-0.02746752819396292,True
2022,candidate120_plus2020,5,2022-06-03T12:00:00-03:00,3.9593150519642792,3.962084457362619,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-03T13:00:00-03:00,3.8422731881820202,3.84504259358036,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-08T20:00:00-03:00,6.665724365945735,6.668493771344075,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-08T21:00:00-03:00,6.593165522543171,6.595934927941512,0.0027694053983404743,True
2022,candidate120_plus2020,5,2022-06-08T22:00:00-03:00,6.520624801411253,6.523394206809592,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-09T18:00:00-03:00,5.382390772556203,5.385160177954543,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-09T21:00:00-03:00,5.209665906897678,5.212435312296018,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-09T22:00:00-03:00,5.132171579067503,5.1349409844658425,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-19T16:00:00-03:00,5.953180015184027,5.955949420582367,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-19T21:00:00-03:00,5.574725542367251,5.57749494776559,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-19T22:00:00-03:00,5.4836818531207205,5.48645125851906,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-19T23:00:00-03:00,5.479985077919764,5.482754483318104,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-20T12:00:00-03:00,4.611486118879387,4.614255524277728,0.0027694053983404743,True
2022,candidate120_plus2020,5,2022-06-20T13:00:00-03:00,4.571885093647972,4.574654499046312,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-20T14:00:00-03:00,4.632419526739397,4.635188932137736,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-20T23:00:00-03:00,4.286790829902979,4.289560235301319,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-21T00:00:00-03:00,4.285231935332756,4.288001340731095,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-21T01:00:00-03:00,4.1663364469689155,4.169105852367255,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-21T02:00:00-03:00,4.163317637458582,4.166087042856922,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-21T03:00:00-03:00,4.193755642044569,4.1965250474429086,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-21T04:00:00-03:00,4.104194898530011,4.1069643039283505,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-21T05:00:00-03:00,4.107296280916266,4.110065686314606,0.002769405398339586,True
2022,candidate120_plus2020,5,2022-06-21T06:00:00-03:00,4.093525404023234,4.096294809421574,0.002769405398339586,True
2022,control120,6,2022-05-06T00:00:00-03:00,6.997747424698171,6.9963471765996825,-0.00140024809848871,True
2022,control120,6,2022-05-06T01:00:00-03:00,7.067140562640644,7.065740314542155,-0.00140024809848871,True
2022,control120,6,2022-05-06T02:00:00-03:00,6.839259182897213,6.837858934798724,-0.00140024809848871,True
2022,control120,6,2022-06-02T04:00:00-03:00,4.808460220885306,4.807059972786817,-0.00140024809848871,True
2022,control120,6,2022-06-04T15:00:00-03:00,3.5963249697382147,3.594924721639726,-0.00140024809848871,True
2022,control120,6,2022-06-04T16:00:00-03:00,3.5798034378487804,3.5784031897502917,-0.00140024809848871,True
2022,control120,6,2022-06-04T17:00:00-03:00,3.5763249697382147,3.574924721639726,-0.00140024809848871,True
2022,control120,6,2022-06-09T17:00:00-03:00,5.426083511769377,5.424683263670889,-0.00140024809848871,True
2022,control120,6,2022-06-09T18:00:00-03:00,5.4226021639663555,5.421201915867867,-0.00140024809848871,True
2022,control120,6,2022-06-09T19:00:00-03:00,5.32470516149769,5.323304913399201,-0.00140024809848871,True
2022,control120,6,2022-06-10T20:00:00-03:00,4.409683505294623,4.408283257196135,-0.00140024809848871,True
2022,control120,6,2022-06-10T21:00:00-03:00,4.395204551315539,4.39380430321705,-0.00140024809848871,True
2022,control120,6,2022-06-10T22:00:00-03:00,4.440193170773201,4.438792922674712,-0.00140024809848871,True
2022,control120,6,2022-06-12T21:00:00-03:00,3.481928129405645,3.480527881307156,-0.00140024809848871,True
2022,control120,6,2022-06-21T14:00:00-03:00,4.1558942155287175,4.154493967430229,-0.00140024809848871,True
2022,control120,6,2022-06-21T15:00:00-03:00,4.169465462474053,4.168065214375564,-0.00140024809848871,True
2022,control120,6,2022-06-21T16:00:00-03:00,4.200293900802955,4.1988936527044665,-0.00140024809848871,True
2022,candidate120_plus2020,7,2022-05-05T17:00:00-03:00,7.308120297180453,7.300494441651508,-0.007625855528945458,True
2022,candidate120_plus2020,7,2022-06-08T15:00:00-03:00,7.0864360921040435,7.0975495147384455,0.01111342263440207,True
2022,candidate120_plus2020,7,2022-06-09T00:00:00-03:00,6.657086027177789,6.6681994498121915,0.01111342263440207,True
2022,control120,8,2022-05-29T17:00:00-03:00,6.925104069493642,6.917926003985455,-0.007178065508187004,True
2022,control120,9,2022-05-05T09:00:00-03:00,7.923137936543241,7.918112288678987,-0.005025647864253635,True
2022,control120,9,2022-05-06T19:00:00-03:00,5.262236039221605,5.257210391357352,-0.005025647864253635,True
2022,control120,9,2022-05-23T01:00:00-03:00,2.9208109304143983,2.9295607263520678,0.008749795937669447,True
2022,control120,9,2022-05-23T02:00:00-03:00,2.878557269646765,2.887307065584435,0.00874979593766989,True
2022,control120,9,2022-05-23T03:00:00-03:00,2.9249393467490474,2.933689142686717,0.008749795937669447,True
2022,control120,9,2022-05-23T04:00:00-03:00,2.872898287136039,2.881648083073709,0.00874979593766989,True
2022,control120,9,2022-05-23T05:00:00-03:00,2.8751015180933117,2.883851314030981,0.008749795937669447,True
2022,control120,9,2022-05-23T06:00:00-03:00,2.8618610994250924,2.8706108953627623,0.00874979593766989,True
2022,control120,9,2022-05-23T07:00:00-03:00,2.8903365805947345,2.899086376532404,0.008749795937669447,True
2022,control120,9,2022-05-23T08:00:00-03:00,2.826073790091762,2.8348235860294313,0.008749795937669447,True
2022,control120,9,2022-05-23T09:00:00-03:00,2.841861099425093,2.8506108953627622,0.008749795937669447,True
2022,control120,9,2022-05-23T10:00:00-03:00,2.8419143112495093,2.850664107187179,0.00874979593766989,True
2022,control120,9,2022-05-30T21:00:00-03:00,9.992708290530656,9.983499545006765,-0.009208745523890727,True
2022,control120,9,2022-06-08T01:00:00-03:00,8.389177606949486,8.379968861425596,-0.009208745523890727,True
2022,control120,9,2022-06-08T02:00:00-03:00,8.097349885078454,8.088141139554564,-0.009208745523890727,True
2022,control120,9,2022-06-08T07:00:00-03:00,7.680723823968695,7.67569817610444,-0.005025647864254523,True
2022,control120,9,2022-06-08T09:00:00-03:00,7.104231498157884,7.095022752633993,-0.009208745523891615,True
2022,control120,9,2022-06-08T11:00:00-03:00,7.268101798672479,7.258893053148588,-0.009208745523890727,True
2022,control120,9,2022-06-08T13:00:00-03:00,6.652354536602763,6.643145791078872,-0.009208745523890727,True
2022,control120,9,2022-06-08T16:00:00-03:00,6.748334480813918,6.7433088329496655,-0.005025647864252747,True
2022,control120,9,2022-06-08T17:00:00-03:00,6.4998100138528825,6.494784365988629,-0.005025647864253635,True
2022,candidate120_plus2020,9,2022-05-09T12:00:00-03:00,3.532023160602453,3.5330385279124337,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-09T13:00:00-03:00,3.4713095390736664,3.4723249063836477,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-09T14:00:00-03:00,3.4567778890135754,3.4577932563235563,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-09T15:00:00-03:00,3.428336678841821,3.4293520461518017,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-09T16:00:00-03:00,3.4920952137109937,3.493110581020975,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-09T17:00:00-03:00,3.4720952137109937,3.4731105810209746,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-12T07:00:00-03:00,2.9758230797547,2.976838447064681,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-12T08:00:00-03:00,2.956434726346319,2.9574500936563,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-12T09:00:00-03:00,2.956434726346319,2.9574500936563,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-12T10:00:00-03:00,2.9589821063040747,2.959997473614056,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-12T11:00:00-03:00,3.1033062374433165,3.1043216047532978,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-14T04:00:00-03:00,2.443086104613249,2.44410147192323,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-14T05:00:00-03:00,2.1503914744037713,2.1514068417137526,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-14T06:00:00-03:00,2.2129042696412693,2.21391963695125,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-14T07:00:00-03:00,2.3769704654496637,2.3779858327596446,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-14T08:00:00-03:00,2.552094835558951,2.553110202868932,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-14T09:00:00-03:00,3.1435590216814417,3.1445743889914226,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-14T15:00:00-03:00,2.9820238892483646,2.9830392565583455,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-20T08:00:00-03:00,3.4107179192282677,3.4151661379339346,0.004448218705666918,True
2022,candidate120_plus2020,9,2022-05-20T09:00:00-03:00,3.488645662522374,3.4930938812280403,0.0044482187056664735,True
2022,candidate120_plus2020,9,2022-05-20T10:00:00-03:00,3.3989001326557706,3.399915499965752,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-20T11:00:00-03:00,3.2786776393506805,3.2796930066606618,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-20T12:00:00-03:00,3.3305133056027683,3.3315286729127496,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-20T13:00:00-03:00,3.478699733887817,3.4797151011977983,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-22T01:00:00-03:00,3.2370801508973277,3.238095518207309,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-22T02:00:00-03:00,3.172121814741669,3.1731371820516503,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-22T03:00:00-03:00,3.104132003195442,3.105147370505423,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-22T04:00:00-03:00,3.2133327426179044,3.214348109927885,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-22T05:00:00-03:00,3.0905309079930006,3.0915462753029814,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-22T06:00:00-03:00,3.1797307469344225,3.180746114244404,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-24T06:00:00-03:00,2.278787400166988,2.279802767476969,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-24T07:00:00-03:00,2.248911429073028,2.249926796383009,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-24T08:00:00-03:00,2.86330919613622,2.864324563446201,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-24T09:00:00-03:00,2.9486988001577394,2.9403009046270068,-0.008397895530732669,True
2022,candidate120_plus2020,9,2022-05-24T10:00:00-03:00,2.6919457482517393,2.6835478527210066,-0.008397895530732669,True
2022,candidate120_plus2020,9,2022-05-24T11:00:00-03:00,2.5463667727427577,2.547382140052739,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-05-28T16:00:00-03:00,2.5121197487159677,2.5131351160259485,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-28T17:00:00-03:00,2.403768198260197,2.404783565570178,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-05-28T18:00:00-03:00,2.3938613313290995,2.3948766986390804,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-06-01T16:00:00-03:00,5.12381370344782,5.135909260166288,0.012095556718468181,True
2022,candidate120_plus2020,9,2022-06-04T03:00:00-03:00,3.669459377933584,3.6704747452435647,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-06-04T04:00:00-03:00,3.714295355574153,3.715310722884134,0.0010153673099808636,True
2022,candidate120_plus2020,9,2022-06-04T05:00:00-03:00,3.651561156319916,3.6525765236298975,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-04T06:00:00-03:00,3.6130807419959954,3.6140961093059767,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-09T05:00:00-03:00,5.829917836693062,5.830933204003044,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-09T06:00:00-03:00,5.724612459625513,5.7256278269354945,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-09T07:00:00-03:00,5.702829081007357,5.703844448317338,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-09T08:00:00-03:00,5.676623212227664,5.6776385795376445,0.0010153673099804195,True
2022,candidate120_plus2020,9,2022-06-09T09:00:00-03:00,5.658340483077501,5.659355850387482,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-09T10:00:00-03:00,5.515927494515081,5.516942861825062,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-10T08:00:00-03:00,4.7089737839735095,4.709989151283491,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-10T09:00:00-03:00,4.747891898762856,4.748907266072837,0.0010153673099804195,True
2022,candidate120_plus2020,9,2022-06-10T10:00:00-03:00,4.608803280226296,4.609818647536278,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-10T11:00:00-03:00,4.622690959371244,4.6237063266812255,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-10T12:00:00-03:00,4.770340032119507,4.771355399429488,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-10T13:00:00-03:00,4.504510202804757,4.505525570114738,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-10T14:00:00-03:00,4.594671590363376,4.595686957673357,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-10T15:00:00-03:00,4.4723749541508715,4.473390321460853,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-10T16:00:00-03:00,4.609925020477799,4.610940387787779,0.0010153673099804195,True
2022,candidate120_plus2020,9,2022-06-10T17:00:00-03:00,4.3736132753998,4.374628642709781,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-10T18:00:00-03:00,4.4644085051253475,4.465423872435328,0.0010153673099804195,True
2022,candidate120_plus2020,9,2022-06-10T19:00:00-03:00,4.413777649719718,4.414793017029699,0.0010153673099813076,True
2022,candidate120_plus2020,9,2022-06-12T09:00:00-03:00,3.6924158471414494,3.6934312144514303,0.0010153673099808636,True
