year,family,horizon_h,origin,iteration,node,column,feature,original_value,reconstructed_value,value_difference,threshold,original_goes_left,reconstructed_goes_left,original_leaf,reconstructed_leaf,leaf_contribution_difference
2021,control120,6,2021-05-30T13:00:00-03:00,135,22,119,Tainhas:P3lag12,0.12185792349726084,0.12185792349726776,6.925016116099414e-15,0.12185792349726084,True,False,23,24,-0.0014002480984887395
2021,control120,6,2021-05-30T14:00:00-03:00,135,22,119,Tainhas:P3lag12,0.12185792349726084,0.12185792349726776,6.925016116099414e-15,0.12185792349726084,True,False,23,24,-0.0014002480984887395
2021,control120,8,2021-05-01T11:00:00-03:00,73,2,103,Alto Antas:P3lag6,0.000581057524694945,0.0005810575246949448,-2.168404344971009e-19,0.0005810575246949448,False,True,16,4,-0.0008573920170807468
2021,control120,8,2021-05-01T11:00:00-03:00,77,2,103,Alto Antas:P3lag6,0.000581057524694945,0.0005810575246949448,-2.168404344971009e-19,0.0005810575246949448,False,True,11,5,-0.00032184848798366635
2021,control120,8,2021-05-01T12:00:00-03:00,73,2,103,Alto Antas:P3lag6,0.000581057524694945,0.0005810575246949448,-2.168404344971009e-19,0.0005810575246949448,False,True,16,4,-0.0008573920170807468
2021,control120,8,2021-05-01T12:00:00-03:00,77,2,103,Alto Antas:P3lag6,0.000581057524694945,0.0005810575246949448,-2.168404344971009e-19,0.0005810575246949448,False,True,11,5,-0.00032184848798366635
2021,control120,8,2021-05-09T08:00:00-03:00,73,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,16,4,-0.0008573920170807468
2021,control120,8,2021-05-09T08:00:00-03:00,77,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,11,5,-0.00032184848798366635
2021,control120,8,2021-05-09T09:00:00-03:00,73,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,16,4,-0.0008573920170807468
2021,control120,8,2021-05-09T09:00:00-03:00,77,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,11,5,-0.00032184848798366635
2021,control120,8,2021-05-09T10:00:00-03:00,73,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,16,4,-0.0008573920170807468
2021,control120,8,2021-05-09T10:00:00-03:00,77,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,11,5,-0.00032184848798366635
2021,control120,8,2021-05-10T08:00:00-03:00,73,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,16,4,-0.0008573920170807468
2021,control120,8,2021-05-10T08:00:00-03:00,77,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,11,5,-0.00032184848798366635
2021,control120,8,2021-05-10T09:00:00-03:00,73,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,16,4,-0.0008573920170807468
2021,control120,8,2021-05-10T09:00:00-03:00,77,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,11,5,-0.00032184848798366635
2021,control120,8,2021-05-10T10:00:00-03:00,73,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,16,4,-0.0008573920170807468
2021,control120,8,2021-05-10T10:00:00-03:00,77,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,11,5,-0.00032184848798366635
2021,control120,8,2021-05-13T06:00:00-03:00,73,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,16,4,-0.0008573920170807468
2021,control120,8,2021-05-13T06:00:00-03:00,77,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,11,5,-0.00032184848798366635
2021,control120,8,2021-05-13T07:00:00-03:00,73,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,16,4,-0.0008573920170807468
2021,control120,8,2021-05-13T07:00:00-03:00,77,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,11,5,-0.00032184848798366635
2021,control120,8,2021-05-13T08:00:00-03:00,73,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,16,4,-0.0008573920170807468
2021,control120,8,2021-05-13T08:00:00-03:00,77,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,11,5,-0.00032184848798366635
2021,control120,8,2021-05-15T16:00:00-03:00,73,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,16,4,-0.0008573920170807468
2021,control120,8,2021-05-15T16:00:00-03:00,77,2,103,Alto Antas:P3lag6,0.000581057524694953,0.0005810575246949448,-8.239936510889834e-18,0.0005810575246949448,False,True,11,5,-0.00032184848798366635
