family,horizon_h,original,added2020,total,latest_training_target,cutoff_exclusive
control120,1,10841,0,10841,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
candidate120_plus2020,1,10841,447,11288,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
control120,2,10837,0,10837,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
candidate120_plus2020,2,10837,445,11282,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
control120,3,10834,0,10834,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
candidate120_plus2020,3,10834,443,11277,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
control120,4,10830,0,10830,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
candidate120_plus2020,4,10830,441,11271,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
control120,5,10828,0,10828,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
candidate120_plus2020,5,10828,439,11267,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
control120,6,10826,0,10826,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
candidate120_plus2020,6,10826,437,11263,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
control120,7,10824,0,10824,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
candidate120_plus2020,7,10824,435,11259,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
control120,8,10822,0,10822,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
candidate120_plus2020,8,10822,433,11255,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
control120,9,10821,0,10821,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
candidate120_plus2020,9,10821,431,11252,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
control120,10,10818,0,10818,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
candidate120_plus2020,10,10818,429,11247,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
control120,11,10817,0,10817,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
candidate120_plus2020,11,10817,427,11244,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
control120,12,10814,0,10814,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
candidate120_plus2020,12,10814,426,11240,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
