year,family,horizon_h,origin,saved_m,independent_m,difference_m,original_reproduces,target_time,actual_m,truth_finite,level_ge7,original_abs_error_m,reconstructed_abs_error_m,original_hit,reconstructed_hit,classification_changed
2021,control120,6,2021-05-30T13:00:00-03:00,6.669522174206847,6.668121926108357,-0.0014002480984895982,True,2021-05-30T19:00:00-03:00,6.07,True,False,0.5995221742068466,0.598121926108357,False,False,False
2021,control120,6,2021-05-30T14:00:00-03:00,6.671626663034478,6.670226414935989,-0.00140024809848871,True,2021-05-30T20:00:00-03:00,6.01,True,False,0.661626663034478,0.6602264149359893,False,False,False
2021,control120,8,2021-05-01T11:00:00-03:00,1.6388638219629548,1.6376845814578904,-0.0011792405050643495,True,2021-05-01T19:00:00-03:00,0.81,True,False,0.8288638219629547,0.8276845814578904,False,False,False
2021,control120,8,2021-05-01T12:00:00-03:00,1.6331709453852064,1.631991704880142,-0.0011792405050643495,True,2021-05-01T20:00:00-03:00,0.81,True,False,0.8231709453852063,0.821991704880142,False,False,False
2021,control120,8,2021-05-09T08:00:00-03:00,2.538115124182346,2.5369358836772817,-0.0011792405050643495,True,2021-05-09T16:00:00-03:00,1.64,True,False,0.8981151241823462,0.8969358836772818,False,False,False
2021,control120,8,2021-05-09T09:00:00-03:00,2.528079660597059,2.5269004200919944,-0.0011792405050643495,True,2021-05-09T17:00:00-03:00,1.6,True,False,0.9280796605970587,0.9269004200919944,False,False,False
2021,control120,8,2021-05-09T10:00:00-03:00,2.532375559147578,2.5311963186425137,-0.0011792405050643495,True,2021-05-09T18:00:00-03:00,1.56,True,False,0.972375559147578,0.9711963186425137,False,False,False
2021,control120,8,2021-05-10T08:00:00-03:00,2.2170657421269744,2.21588650162191,-0.0011792405050643495,True,2021-05-10T16:00:00-03:00,1.06,True,False,1.1570657421269743,1.15588650162191,False,False,False
2021,control120,8,2021-05-10T09:00:00-03:00,2.219999034348798,2.2188197938437337,-0.0011792405050643495,True,2021-05-10T17:00:00-03:00,1.02,True,False,1.199999034348798,1.1988197938437337,False,False,False
2021,control120,8,2021-05-10T10:00:00-03:00,2.1672889865948597,2.1661097460897953,-0.0011792405050643495,True,2021-05-10T18:00:00-03:00,0.98,True,False,1.1872889865948597,1.1861097460897954,False,False,False
2021,control120,8,2021-05-13T06:00:00-03:00,1.781547839338724,1.7803685988336595,-0.0011792405050645716,True,2021-05-13T14:00:00-03:00,1.17,True,False,0.6115478393387241,0.6103685988336596,False,False,False
2021,control120,8,2021-05-13T07:00:00-03:00,1.9403018334415332,1.9391225929364686,-0.0011792405050645716,True,2021-05-13T15:00:00-03:00,1.11,True,False,0.8303018334415331,0.8291225929364685,False,False,False
