phase,horizon_h,population,subset,scheduled_rows,missing_truth,observed_targets,pairs,failures,control_hits,augmented_hits,hit_change,control_mae_m,augmented_mae_m,mae_change_m,control_max_abs_m,augmented_max_abs_m,max_change_m
test,6,missing_upstream18,all,604,18,586,574,12,506,502,-4,0.29629324511743904,0.2815190566896595,-0.014774188427779555,6.285061155174133,5.873246437072108,-0.41181471810202464
test,6,missing_upstream18,level_ge_7m,604,18,97,96,1,49,51,2,1.0175007373971345,0.9715043129322115,-0.045996424464923025,6.285061155174133,5.873246437072108,-0.41181471810202464
test,7,complete_upstream18,all,1357,5,1352,1351,1,1215,1222,7,0.22323596422888806,0.2201968420527949,-0.0030391221760931453,2.6420359502076423,2.360113419591425,-0.2819225306162174
test,7,complete_upstream18,level_ge_7m,1357,5,140,140,0,91,96,5,0.5027925723199538,0.46324966949373436,-0.03954290282621942,2.6420359502076423,2.360113419591425,-0.2819225306162174
test,7,full_schedule,all,1961,23,1938,1924,14,1681,1711,30,0.2715935998795882,0.2535827802612305,-0.01801081961835771,5.741668726661139,6.0208534987449145,0.27918477208377546
test,7,full_schedule,level_ge_7m,1961,23,237,236,1,136,140,4,0.7686365930885518,0.6995641232444646,-0.06907246984408721,5.741668726661139,6.0208534987449145,0.27918477208377546
test,7,missing_upstream18,all,604,18,586,573,13,466,489,23,0.3856095959774868,0.33229901502492404,-0.05331058095256275,5.741668726661139,6.0208534987449145,0.27918477208377546
test,7,missing_upstream18,level_ge_7m,604,18,97,96,1,45,44,-1,1.1563257900427575,1.044189368297613,-0.11213642174514438,5.741668726661139,6.0208534987449145,0.27918477208377546
test,8,complete_upstream18,all,1356,5,1351,1350,1,1171,1188,17,0.2742499842217962,0.26692721580566553,-0.007322768416130665,2.5409748122383373,2.440486297449919,-0.10048851478841847
test,8,complete_upstream18,level_ge_7m,1356,5,140,140,0,87,90,3,0.5558720549762772,0.5096992248431689,-0.046172830133108356,2.5409748122383373,2.440486297449919,-0.10048851478841847
test,8,full_schedule,all,1960,23,1937,1922,15,1621,1671,50,0.33000991457364304,0.3023318218721714,-0.027678092701471646,6.34538255352402,6.28361375098855,-0.0617688025354699
test,8,full_schedule,level_ge_7m,1960,23,237,236,1,126,134,8,0.896150794225324,0.7827593546022272,-0.11339143962309672,6.34538255352402,6.28361375098855,-0.0617688025354699
test,8,missing_upstream18,all,604,18,586,572,14,450,483,33,0.4616111487956591,0.3858916438822814,-0.0757195049133777,6.34538255352402,6.28361375098855,-0.0617688025354699
test,8,missing_upstream18,level_ge_7m,604,18,97,96,1,39,44,5,1.3923906222968505,1.1809720438341873,-0.2114185784626632,6.34538255352402,6.28361375098855,-0.0617688025354699
test,9,complete_upstream18,all,1355,5,1350,1349,1,1114,1119,5,0.32388993661229254,0.31619664318954716,-0.007693293422745384,3.0891831499353035,2.945866799565154,-0.14331635037014934
test,9,complete_upstream18,level_ge_7m,1355,5,140,140,0,74,81,7,0.6725636873403933,0.6276161105260093,-0.044947576814383994,3.0891831499353035,2.945866799565154,-0.14331635037014934
test,9,full_schedule,all,1959,23,1936,1920,16,1552,1566,14,0.3815619164533893,0.36194487289548777,-0.01961704355790156,6.399986252911056,7.017724924010746,0.6177386710996906
test,9,full_schedule,level_ge_7m,1959,23,237,236,1,111,120,9,1.0187292413104856,0.9443387018705233,-0.07439053943996232,6.399986252911056,7.017724924010746,0.6177386710996906
test,9,missing_upstream18,all,604,18,586,571,15,438,447,9,0.5178132313494307,0.4700260670694176,-0.04778716428001312,6.399986252911056,7.017724924010746,0.6177386710996906
test,9,missing_upstream18,level_ge_7m,604,18,97,96,1,37,39,2,1.5235540075168703,1.4062258142479394,-0.11732819326893096,6.399986252911056,7.017724924010746,0.6177386710996906
test,10,complete_upstream18,all,1354,5,1349,1348,1,1046,1028,-18,0.36764524974398644,0.36765590205532817,1.0652311341730059e-05,2.881066249719037,2.687782640624228,-0.19328360909480935
test,10,complete_upstream18,level_ge_7m,1354,5,140,140,0,58,63,5,0.7656172407194881,0.7470550672203815,-0.018562173499106605,2.881066249719037,2.687782640624228,-0.19328360909480935
test,10,full_schedule,all,1958,23,1935,1918,17,1455,1440,-15,0.4285842414271255,0.4159925669468419,-0.012591674480283588,6.961267715048452,7.378425529225235,0.4171578141767833
test,10,full_schedule,level_ge_7m,1958,23,237,236,1,88,98,10,1.1481849155628434,1.0727185043258503,-0.07546641123699316,6.961267715048452,7.378425529225235,0.4171578141767833
test,10,missing_upstream18,all,604,18,586,570,16,409,412,3,0.5726996112321632,0.5303045393569481,-0.042395071875215073,6.961267715048452,7.378425529225235,0.4171578141767833
test,10,missing_upstream18,level_ge_7m,604,18,97,96,1,30,35,5,1.706096108042737,1.5476443501046588,-0.1584517579380782,6.961267715048452,7.378425529225235,0.4171578141767833
test,11,complete_upstream18,all,1353,5,1348,1347,1,992,970,-22,0.4023331336264296,0.40447197194817075,0.0021388383217411655,3.2613418027195102,3.5906485043616545,0.32930670164214426
