phase,horizon_h,subset,reference_family,n,hit_change,mae_change_m,max_error_change_m
validation,8,level_ge_7m,reservoir_only,28,0,0.09180463875645695,0.8283202916618135
validation,9,all,baseline,6470,28,-0.008126697013117412,1.0258167898472506
validation,9,all,native_only,6470,48,-0.005266460221266256,-0.11828919685647055
validation,9,all,reservoir_only,6470,-81,0.013050489576857116,0.8517420002477349
validation,9,level_ge_7m,baseline,28,-2,0.09991916143040214,1.0028328218558258
validation,9,level_ge_7m,native_only,28,0,-0.05865235662111745,0.12395704961695131
validation,9,level_ge_7m,reservoir_only,28,-4,0.10290464572875108,1.026808005910219
validation,10,all,baseline,6468,74,-0.007664527901041496,0.2683934876280425
validation,10,all,native_only,6468,81,-0.013154764831779187,-0.675081262970588
validation,10,all,reservoir_only,6468,-5,0.0018736618119525872,0.02283975421331874
validation,10,level_ge_7m,baseline,28,-1,0.19702190402375896,0.2681656526522378
validation,10,level_ge_7m,native_only,28,2,-0.03681797705563139,-0.1767974923984017
validation,10,level_ge_7m,reservoir_only,28,-6,0.2773050934272269,0.3916790941720478
validation,11,all,baseline,6468,-24,0.005406012367235757,1.5162893467036977
validation,11,all,native_only,6468,88,-0.012737387043036286,-0.27744122895501055
validation,11,all,reservoir_only,6468,-150,0.018255778517760002,1.3353734028746205
validation,11,level_ge_7m,baseline,28,-5,0.24467777289236803,0.8277030313470268
validation,11,level_ge_7m,native_only,28,-1,0.004446624845947711,-0.048942206723967985
validation,11,level_ge_7m,reservoir_only,28,-6,0.31856682866579966,0.9333142024868284
validation,12,all,baseline,6466,140,-0.01355109170213381,1.5033681910112877
validation,12,all,native_only,6466,99,-0.016893713632727014,0.000903688302997363
validation,12,all,reservoir_only,6466,-54,0.012924576478889171,1.5162781966445769
validation,12,level_ge_7m,baseline,28,0,0.13180591494346938,0.7779023515822008
validation,12,level_ge_7m,native_only,28,0,-0.019163862942739973,-0.16233730543790692
validation,12,level_ge_7m,reservoir_only,28,-3,0.18313465048129718,0.7250530527387493
test,1,all,baseline,1939,-1,-0.001740149548900581,-0.004617703697984865
test,1,all,native_only,1939,0,0.001261040499700876,0.023839386596292478
test,1,all,reservoir_only,1939,-1,-0.0018646767647008608,-0.002602475051019404
test,1,level_ge_7m,baseline,236,0,-0.0060192584234017715,-0.004617703697984865
test,1,level_ge_7m,native_only,236,0,0.00184085296672587,0.023839386596292478
test,1,level_ge_7m,reservoir_only,236,0,-0.005852662384353391,-0.002602475051019404
test,2,all,baseline,1936,-1,-0.003308914857629644,0.07800308385535626
test,2,all,native_only,1936,-3,0.0012152868813342724,0.007540160661669404
test,2,all,reservoir_only,1936,1,-0.00269811032686372,0.08814034446103136
test,2,level_ge_7m,baseline,236,-4,0.004213608474881114,0.07800308385535626
test,2,level_ge_7m,native_only,236,-3,0.0020212917475844194,0.007540160661669404
test,2,level_ge_7m,reservoir_only,236,-1,0.006644422672096806,0.08814034446103136
test,3,all,baseline,1933,0,-0.0010543324389917091,-0.20646513945686706
test,3,all,native_only,1933,1,-0.00046441685080664263,-0.11806996712063267
test,3,all,reservoir_only,1933,-2,-0.00307490037142287,-0.2289885803832501
test,3,level_ge_7m,baseline,236,2,-0.01212288602133657,-0.20646513945686706
test,3,level_ge_7m,native_only,236,2,-0.008471749280910351,-0.11806996712063267
test,3,level_ge_7m,reservoir_only,236,0,-0.019057746521171648,-0.2289885803832501
test,4,all,baseline,1931,5,-0.0056446108511842286,-0.2429773272532918
test,4,all,native_only,1931,0,-0.00013057337255696633,-0.0025510305983171833
test,4,all,reservoir_only,1931,1,-0.0034927695780054974,-0.2832371320918501
test,4,level_ge_7m,baseline,236,6,-0.024040185595778862,-0.2429773272532918
test,4,level_ge_7m,native_only,236,4,-0.018558946915340102,-0.0025510305983171833
test,4,level_ge_7m,reservoir_only,236,5,-0.02381490633772837,-0.2832371320918501
test,5,all,baseline,1929,-9,-0.003223410229989093,-0.5017629235993759
test,5,all,native_only,1929,-4,-0.000697599663319004,-0.2850410009473592
test,5,all,reservoir_only,1929,-16,-0.0034579102878097567,-0.7215732303665039
test,5,level_ge_7m,baseline,236,-3,-0.029442768400527786,-0.5017629235993759
test,5,level_ge_7m,native_only,236,2,-0.009128622806168107,-0.2850410009473592
test,5,level_ge_7m,reservoir_only,236,-6,-0.0350627634386248,-0.7215732303665039
test,6,all,baseline,1927,5,-0.009868355251220234,-0.5034012316061629
test,6,all,native_only,1927,19,-0.008520469016161103,-0.18773504201031255
test,6,all,reservoir_only,1927,-1,-0.004714788979749862,-0.6591044062718483
test,6,level_ge_7m,baseline,236,2,-0.04765602192301266,-0.5034012316061629
test,6,level_ge_7m,native_only,236,9,-0.024953060669657634,-0.18773504201031255
test,6,level_ge_7m,reservoir_only,236,-2,-0.03162016580077687,-0.6591044062718483
test,7,all,baseline,1925,41,-0.02621374571946994,-0.11372193012994991
test,7,all,native_only,1925,31,-0.026636433292267503,-0.2049765956799785
test,7,all,reservoir_only,1925,12,-0.014386198422867397,-0.02009329745733268
test,7,level_ge_7m,baseline,236,2,-0.05477362109967754,-0.11372193012994991
test,7,level_ge_7m,native_only,236,4,-0.07339940347432672,-0.2049765956799785
test,7,level_ge_7m,reservoir_only,236,-7,-0.024720851993822124,-0.02009329745733268
test,8,all,baseline,1923,47,-0.028302088172879047,-0.0931661669148518
test,8,all,native_only,1923,26,-0.022391997223370597,-0.6087673185331006
test,8,all,reservoir_only,1923,-5,-0.004025410417305142,0.14405513963797034
test,8,level_ge_7m,baseline,236,12,-0.07656876903262444,-0.0931661669148518
test,8,level_ge_7m,native_only,236,4,-0.06866676577349207,-0.6087673185331006
test,8,level_ge_7m,reservoir_only,236,3,-0.006885113476801763,0.14405513963797034
test,9,all,baseline,1921,62,-0.047464320366269463,-0.3711410128058219
test,9,all,native_only,1921,39,-0.033751984159702375,-0.25210069805196333
test,9,all,reservoir_only,1921,28,-0.016170556903941757,0.07116594648425156
test,9,level_ge_7m,baseline,236,6,-0.13148093230702684,-0.3711410128058219
test,9,level_ge_7m,native_only,236,11,-0.09546096015695726,-0.25210069805196333
test,9,level_ge_7m,reservoir_only,236,6,-0.029507597658742668,0.07116594648425156
test,10,all,baseline,1919,118,-0.05415300155917657,-0.15175122907865202
test,10,all,native_only,1919,84,-0.03919620248871136,-0.27046534958060153
test,10,all,reservoir_only,1919,38,-0.014538278171271846,0.17202820720247836
test,10,level_ge_7m,baseline,236,7,-0.10857939314418086,-0.15175122907865202
test,10,level_ge_7m,native_only,236,5,-0.08767156286450051,-0.27046534958060153
test,10,level_ge_7m,reservoir_only,236,-2,-0.004214241492928039,0.17202820720247836
test,11,all,baseline,1917,145,-0.06048241432862744,-0.10688434474283781
test,11,all,native_only,1917,65,-0.03518924880095842,-0.1613298670262484
test,11,all,reservoir_only,1917,46,-0.011643649695008917,0.36449061675589256
test,11,level_ge_7m,baseline,236,11,-0.10079961690826544,-0.10688434474283781
test,11,level_ge_7m,native_only,236,6,-0.054795275927609355,-0.1613298670262484
test,11,level_ge_7m,reservoir_only,236,-4,0.0382435911985779,0.36449061675589256
test,12,all,baseline,1915,108,-0.058932531964404844,0.5664937344934309
test,12,all,native_only,1915,66,-0.03178663198793302,-0.23485613933737604
test,12,all,reservoir_only,1915,34,-0.015817402443602968,0.8223663093329732
test,12,level_ge_7m,baseline,236,5,-0.06767438767816225,0.5664937344934309
test,12,level_ge_7m,native_only,236,-6,-0.008925091616677205,-0.23485613933737604
test,12,level_ge_7m,reservoir_only,236,-4,0.0043347331551899515,0.8223663093329732
