phase,horizon_h,subset,reference_family,n,hit_change,mae_change_m,max_error_change_m
validation,1,all,baseline,6479,0,0.001379332292850543,-0.07033014065660392
validation,1,all,native_only,6479,0,-0.0010215529253001267,-0.04855156234632041
validation,1,all,reservoir_only,6479,0,0.0014051465583476141,-0.09295128171182032
validation,1,level_ge_7m,baseline,28,0,0.004739592169182016,0.01794468496060908
validation,1,level_ge_7m,native_only,28,0,0.004778308191459663,-0.0016097367631164872
validation,1,level_ge_7m,reservoir_only,28,0,0.0038572767699820015,0.03443121775955049
validation,2,all,baseline,6477,4,0.002513184625332107,0.2626798279169158
validation,2,all,native_only,6477,1,0.0009252992718747979,-0.007237375268760893
validation,2,all,reservoir_only,6477,5,0.0017479299185711866,0.2333602511780164
validation,2,level_ge_7m,baseline,28,0,0.008397137389582116,0.00863133813834871
validation,2,level_ge_7m,native_only,28,0,-0.002324829730917674,-0.032767463693899046
validation,2,level_ge_7m,reservoir_only,28,0,0.005107426272011828,-0.016506087494084554
validation,3,all,baseline,6476,-11,0.0053658739140071965,0.6035944837154181
validation,3,all,native_only,6476,-3,0.0001779125380619237,0.09253968970831572
validation,3,all,reservoir_only,6476,-11,0.0033171065412374995,0.6147405875775758
validation,3,level_ge_7m,baseline,28,2,-0.009014254225197277,-0.1279559849181382
validation,3,level_ge_7m,native_only,28,1,0.002370465391123955,-0.048107739470406585
validation,3,level_ge_7m,reservoir_only,28,2,-0.016499524165866197,-0.18590443464035467
validation,4,all,baseline,6474,-10,0.01093504805220713,0.7106276869615797
validation,4,all,native_only,6474,2,0.000993618723541756,-0.035176339064735274
validation,4,all,reservoir_only,6474,-10,0.009402673842384218,0.6739598103166351
validation,4,level_ge_7m,baseline,28,1,-0.026332294271924933,-0.1528158130354047
validation,4,level_ge_7m,native_only,28,0,-0.003027274698426813,-0.014495884206382925
validation,4,level_ge_7m,reservoir_only,28,2,-0.03763365348151684,-0.1137506741900216
validation,5,all,baseline,6473,-28,0.009814263528915332,0.7057126738537445
validation,5,all,native_only,6473,0,0.00275411942216576,0.0036558817107081865
validation,5,all,reservoir_only,6473,-32,0.010347945598308969,0.5650157137520218
validation,5,level_ge_7m,baseline,28,2,-0.025262049688662608,-0.35445528411862526
validation,5,level_ge_7m,native_only,28,1,-0.009475062013202112,0.06678050318078554
validation,5,level_ge_7m,reservoir_only,28,1,-0.02321903760350985,-0.36007315337155976
validation,6,all,baseline,6472,-44,0.01081791994492301,0.5269601926039935
validation,6,all,native_only,6472,2,0.0019026942249372736,-0.12489372765140949
validation,6,all,reservoir_only,6472,-54,0.009370356720604198,0.6484679367680224
validation,6,level_ge_7m,baseline,28,-1,-0.01846677095092053,-0.0020471530962486995
validation,6,level_ge_7m,native_only,28,-1,-0.013256857507821074,-0.07607341105538445
validation,6,level_ge_7m,reservoir_only,28,-1,0.010373585384094802,0.29888386056477145
validation,7,all,baseline,6471,-56,0.0015927155958926908,0.9555333813378306
validation,7,all,native_only,6471,31,-0.006121223329996955,0.07197225629164361
validation,7,all,reservoir_only,6471,-97,0.00976404851405098,0.940190719851091
validation,7,level_ge_7m,baseline,28,0,0.02285603772290673,0.9555333813378306
validation,7,level_ge_7m,native_only,28,3,-0.003995591493762274,0.1282965719503224
validation,7,level_ge_7m,reservoir_only,28,0,0.013622518514214144,1.1673304833794944
validation,8,all,baseline,6470,-4,-0.008161141785616971,0.5599364879626736
validation,8,all,native_only,6470,56,-0.007444622550164454,-0.3276606988255666
validation,8,all,reservoir_only,6470,-96,0.004957141310417523,0.5989529464089021
validation,8,level_ge_7m,baseline,28,0,0.10736131692672213,0.8999857497714512
validation,8,level_ge_7m,native_only,28,-1,0.03227207265550114,-0.05667651541850027
