start_source_naive,end_source_naive,slots_15min,status
2023-09-04T16:45:00,2023-09-04T19:15:00,11,suspect
2023-09-04T19:45:00,2023-09-04T21:45:00,9,unavailable_or_other_qc
2023-09-04T22:00:00,2023-09-05T04:45:00,28,no_record
2023-09-05T05:00:00,2023-09-07T09:45:00,212,unavailable_or_other_qc
2023-09-07T10:00:00,2023-09-07T10:45:00,4,no_record
2023-09-07T11:00:00,2023-09-08T14:00:00,109,unavailable_or_other_qc
2023-09-25T23:00:00,2023-09-30T23:45:00,484,no_record
