phase,profile,horizon_h,family,scheduled,applied,imputed_slope_cells,manual_max_difference_m,native_exact
validation,A,1,profile_A_control,6551,6511,2480,0.0,True
validation,A,1,profile_B_control,6551,6511,2480,0.0,True
validation,A,1,mixed_profile_candidate,6551,6511,2480,0.0,True
validation,A,1,linear_trend_only,6551,6511,2480,0.0,True
validation,A,1,linear_trend_hybrid,6551,6511,2480,0.0,True
validation,B,1,profile_A_control,6551,6521,2448,0.0,True
validation,B,1,profile_B_control,6551,6521,2448,0.0,True
validation,B,1,mixed_profile_candidate,6551,6521,2448,0.0,True
validation,B,1,linear_trend_only,6551,6521,2448,0.0,True
validation,B,1,linear_trend_hybrid,6551,6521,2448,0.0,True
test,A,1,profile_A_control,1967,1944,2836,0.0,True
test,A,1,profile_B_control,1967,1944,2836,0.0,True
test,A,1,mixed_profile_candidate,1967,1944,2836,0.0,True
test,A,1,linear_trend_only,1967,1944,2836,0.0,True
test,A,1,linear_trend_hybrid,1967,1944,2836,0.0,True
test,B,1,profile_A_control,1967,1945,2839,0.0,True
test,B,1,profile_B_control,1967,1945,2839,0.0,True
test,B,1,mixed_profile_candidate,1967,1945,2839,0.0,True
test,B,1,linear_trend_only,1967,1945,2839,0.0,True
test,B,1,linear_trend_hybrid,1967,1945,2839,0.0,True
validation,A,2,profile_A_control,6550,6510,2475,0.0,True
validation,A,2,profile_B_control,6550,6510,2475,0.0,True
validation,A,2,mixed_profile_candidate,6550,6510,2475,0.0,True
validation,A,2,linear_trend_only,6550,6510,2475,0.0,True
validation,A,2,linear_trend_hybrid,6550,6510,2475,0.0,True
validation,B,2,profile_A_control,6550,6520,2443,0.0,True
validation,B,2,profile_B_control,6550,6520,2443,0.0,True
validation,B,2,mixed_profile_candidate,6550,6520,2443,0.0,True
validation,B,2,linear_trend_only,6550,6520,2443,0.0,True
validation,B,2,linear_trend_hybrid,6550,6520,2443,0.0,True
test,A,2,profile_A_control,1966,1943,2836,0.0,True
test,A,2,profile_B_control,1966,1943,2836,0.0,True
test,A,2,mixed_profile_candidate,1966,1943,2836,0.0,True
test,A,2,linear_trend_only,1966,1943,2836,0.0,True
test,A,2,linear_trend_hybrid,1966,1943,2836,0.0,True
test,B,2,profile_A_control,1966,1944,2839,0.0,True
test,B,2,profile_B_control,1966,1944,2839,0.0,True
test,B,2,mixed_profile_candidate,1966,1944,2839,0.0,True
test,B,2,linear_trend_only,1966,1944,2839,0.0,True
test,B,2,linear_trend_hybrid,1966,1944,2839,0.0,True
validation,A,3,profile_A_control,6549,6509,2470,0.0,True
validation,A,3,profile_B_control,6549,6509,2470,0.0,True
validation,A,3,mixed_profile_candidate,6549,6509,2470,0.0,True
validation,A,3,linear_trend_only,6549,6509,2470,0.0,True
validation,A,3,linear_trend_hybrid,6549,6509,2470,0.0,True
validation,B,3,profile_A_control,6549,6519,2438,0.0,True
validation,B,3,profile_B_control,6549,6519,2438,0.0,True
validation,B,3,mixed_profile_candidate,6549,6519,2438,0.0,True
validation,B,3,linear_trend_only,6549,6519,2438,0.0,True
validation,B,3,linear_trend_hybrid,6549,6519,2438,0.0,True
test,A,3,profile_A_control,1965,1942,2836,0.0,True
test,A,3,profile_B_control,1965,1942,2836,0.0,True
test,A,3,mixed_profile_candidate,1965,1942,2836,0.0,True
test,A,3,linear_trend_only,1965,1942,2836,0.0,True
test,A,3,linear_trend_hybrid,1965,1942,2836,0.0,True
test,B,3,profile_A_control,1965,1943,2839,0.0,True
test,B,3,profile_B_control,1965,1943,2839,0.0,True
test,B,3,mixed_profile_candidate,1965,1943,2839,0.0,True
test,B,3,linear_trend_only,1965,1943,2839,0.0,True
test,B,3,linear_trend_hybrid,1965,1943,2839,0.0,True
validation,A,4,profile_A_control,6548,6508,2465,0.0,True
validation,A,4,profile_B_control,6548,6508,2465,0.0,True
validation,A,4,mixed_profile_candidate,6548,6508,2465,0.0,True
validation,A,4,linear_trend_only,6548,6508,2465,0.0,True
validation,A,4,linear_trend_hybrid,6548,6508,2465,0.0,True
validation,B,4,profile_A_control,6548,6518,2433,0.0,True
validation,B,4,profile_B_control,6548,6518,2433,0.0,True
validation,B,4,mixed_profile_candidate,6548,6518,2433,0.0,True
validation,B,4,linear_trend_only,6548,6518,2433,0.0,True
validation,B,4,linear_trend_hybrid,6548,6518,2433,0.0,True
test,A,4,profile_A_control,1964,1941,2836,0.0,True
test,A,4,profile_B_control,1964,1941,2836,0.0,True
test,A,4,mixed_profile_candidate,1964,1941,2836,0.0,True
test,A,4,linear_trend_only,1964,1941,2836,0.0,True
test,A,4,linear_trend_hybrid,1964,1941,2836,0.0,True
test,B,4,profile_A_control,1964,1942,2839,0.0,True
test,B,4,profile_B_control,1964,1942,2839,0.0,True
test,B,4,mixed_profile_candidate,1964,1942,2839,0.0,True
test,B,4,linear_trend_only,1964,1942,2839,0.0,True
test,B,4,linear_trend_hybrid,1964,1942,2839,0.0,True
validation,A,5,profile_A_control,6547,6507,2460,0.0,True
validation,A,5,profile_B_control,6547,6507,2460,0.0,True
validation,A,5,mixed_profile_candidate,6547,6507,2460,0.0,True
validation,A,5,linear_trend_only,6547,6507,2460,0.0,True
validation,A,5,linear_trend_hybrid,6547,6507,2460,0.0,True
validation,B,5,profile_A_control,6547,6517,2428,0.0,True
validation,B,5,profile_B_control,6547,6517,2428,0.0,True
validation,B,5,mixed_profile_candidate,6547,6517,2428,0.0,True
validation,B,5,linear_trend_only,6547,6517,2428,0.0,True
validation,B,5,linear_trend_hybrid,6547,6517,2428,0.0,True
test,A,5,profile_A_control,1963,1940,2836,0.0,True
test,A,5,profile_B_control,1963,1940,2836,0.0,True
test,A,5,mixed_profile_candidate,1963,1940,2836,0.0,True
test,A,5,linear_trend_only,1963,1940,2836,0.0,True
test,A,5,linear_trend_hybrid,1963,1940,2836,0.0,True
test,B,5,profile_A_control,1963,1941,2839,0.0,True
test,B,5,profile_B_control,1963,1941,2839,0.0,True
test,B,5,mixed_profile_candidate,1963,1941,2839,0.0,True
test,B,5,linear_trend_only,1963,1941,2839,0.0,True
test,B,5,linear_trend_hybrid,1963,1941,2839,0.0,True
validation,A,6,profile_A_control,6546,6506,2455,0.0,True
validation,A,6,profile_B_control,6546,6506,2455,0.0,True
validation,A,6,mixed_profile_candidate,6546,6506,2455,0.0,True
validation,A,6,linear_trend_only,6546,6506,2455,0.0,True
validation,A,6,linear_trend_hybrid,6546,6506,2455,0.0,True
validation,B,6,profile_A_control,6546,6516,2423,0.0,True
validation,B,6,profile_B_control,6546,6516,2423,0.0,True
validation,B,6,mixed_profile_candidate,6546,6516,2423,0.0,True
validation,B,6,linear_trend_only,6546,6516,2423,0.0,True
validation,B,6,linear_trend_hybrid,6546,6516,2423,0.0,True
test,A,6,profile_A_control,1962,1939,2836,0.0,True
test,A,6,profile_B_control,1962,1939,2836,0.0,True
test,A,6,mixed_profile_candidate,1962,1939,2836,0.0,True
test,A,6,linear_trend_only,1962,1939,2836,0.0,True
test,A,6,linear_trend_hybrid,1962,1939,2836,0.0,True
test,B,6,profile_A_control,1962,1940,2839,0.0,True
test,B,6,profile_B_control,1962,1940,2839,0.0,True
test,B,6,mixed_profile_candidate,1962,1940,2839,0.0,True
test,B,6,linear_trend_only,1962,1940,2839,0.0,True
test,B,6,linear_trend_hybrid,1962,1940,2839,0.0,True
validation,A,7,profile_A_control,6545,6505,2450,0.0,True
