phase,horizon_h,indices_sha256,weights_sha256,response_sha256,reconstructed_residual_sha256,original_tree_input_sha256
validation,1,3239b84edb9eeca5c9542fcacc48b11864430d0590bafd934fa461310dfbdcbb,8664ab986a693c3b965a85f7a0a0d996a231b0935e6fa3a815fe5d3f89737caa,735deacb3dedcf80cb4e7fc57775fd19e51f9be2a53700a04907278311d07760,a30a437805deebe878d54b2d4d534bd5ed4e5ac54729d3fe6a4bac5e486757b4,a64fc03bb1bd144709925a69db1fc6911f99b3f56e24ac635168d79dc2c692e6
test,1,edfc14e1172790ecf91ac70508f98a8e5217f88ed3d4f87efc651933ca9c2940,badac6e46d50eb64e9741953a430201079a9f08769e9b356e0d30cb952217e05,2a4531557d08ad9ae1abadffdf26ed251b2814ecf897b9e2659dc0eb04f6048f,4031c956f3fc3f0c3e5f924e1fe9ea77df041b452cd10036d6d598f7a529a3c2,d334db3028560f8d2f75df9b99c47052e1c94dae8056a114c6ff40db89a9a5d4
validation,2,220b37d3258a1915beb90efb362b3a76a7b8132ae6666d96d44f2efdb66ed036,d990a415e8452a39548d2c76a280056d1ff16d78f4006f8bc3153013eb6c9e5a,edefb3dc66da16ddc79e39b512a23d1083a4fb808c44b92b99b189bcf20e0802,74c028ce4ea019567c65480f9fedf492d65ccf0f29eb7ce5d91472c45c1e87d7,f3b39ce4803582b575c9a344678433e2788cdcd096eab969fa592df6b196852a
test,2,5a14114e72f9e5c783e4c40ef06d0351bda6a81d57b4e24832c7580cf225461f,626362d15aa4926b1e2a0d638d3b42c3a4c9ecd86c99993d4ee70b1f03a07e91,6d1064d0659d57c9c6ec7602bbd76c5b332c01bb5fd8e3a0676c06b18ee4a235,9d0f288e88e18388be88577a994c53f55975ede99ba380101f5d90f2cbc15643,7eff51fd397c724014d2bc7f16cf92f847814524631a18e2b8e17cf094da63a0
validation,3,7460dca64cc6e1dc74c36ccc4eb7340a56a47ae85a9e10fc5aa9a77aaa73f6e4,0e55d5bcbf52f84b70a3ce8c507cc0d6d105b773c526fd7e59084ab128caa147,7f94098e605210e162069e9d54bfcdf3206da77bd45d3613e1f5794ce82bef15,851c3a1408a0678dc1b399fbc944aff17b71435411f232342b44382d04581d45,28f901c5447b99a4ef47c60d5bfa234031865b1c19ec222eeddf657bb988d951
test,3,e34811c83443e428d94e25bc2242e4f95b45401f398a40876b2cd45f1fbbcef5,038112c0a40bb4f2d280c4fd99bf45057277179787cff231cb9f26fc14d9f24b,e6e6eca143d870e17bf4259b0b00b822586784bbffe5ab956883c6c7e5d4669b,b2487003f57b7b3544559b7877fba4e52db3161b4eb6026e2ebaa585473da210,1cee99e09184f4f7b0d14adeab11ec0d7c7c2d93d37f1f582f7c1eba8e41ce59
validation,4,facc8007dbbce171f8e5ddf2d3bde949df2f6edf7e5bbb4bc475e05a2880fd13,84f2c76752ddc7ecd8742b0270ad91081f5f817e7be0a4affbef0f889b13d8bc,30a461113aeccdaec11ef33b8ecc2943d1724d698d3384480e510ba2c4a2d484,481d42cc7caca498be1a16525ca2f3d0750f94be5a08bade5d2bc3c45856bd8e,7e2d549a96981ba6b098f365ae7a1d7b62136f4a6b2a0a87837349c0cf89610f
test,4,1ac77574d0d3cb6ae1eeec40910dea969eb5a23436b23116524bfd1b011f859c,97574a11b401405b54213a2864d40a88b95b805b391889423c81485364ecdaef,41f3e1877603792bdcfcb94751ee268a80082b3c4abd103bbf97e3397ce188a2,965952d073e097db229286d2e0b483d8227b8b21813f0ed9aa205317da4f5ae5,90c820caabe898428015b3d57f9f7084b090434dcc7f41890c798e77a8002590
validation,5,d336f06464af89c28aeea02e383489013e1f06fb0a5fb345733ac17c044d044e,b6c2d9569838d62e27499bb92a80831b02c08d5fad35be846e05787af5089bd0,552b4ed12cd0edf9770abadbc5f1b868d651873e58c9856df4758a41024b9fe1,154f3acd72d7e177b420326a40b40bb6cbac21541e6798c79fcebf52aa19885f,c2df826c55e1d3e42147215de4e041c253c8cd71393714e0f2f8110304b096a4
test,5,f7cdd0b25c22548603efbe87014dd8086e6bdb424741b0dfb88701b234545e9d,d6b3de0e8a7f2e2d915246b2bf7d740d3aaaf4427e0f2e0230fdb696fefc1f78,284174ab64bde8ae83e4372f78bfee7f6fc026a777492449c1ac2b7e6a4b22e7,8dbfc0c0d12432ed76ff236ac100c026256d8d3481277ba4638ca90b39a9792b,61d12227cd4806e76cc96be2d03ae0d5398bbd53912790d0c904adfba89d3906
