station,origin,query,source_time,value_m,usable
86472000,2023-09-01T00:00:00-03:00,2023-08-31T23:30:00-03:00,2023-08-31T23:30:00-03:00,3.43,True
86472000,2023-09-01T01:00:00-03:00,2023-09-01T00:30:00-03:00,2023-09-01T00:30:00-03:00,3.34,True
86472000,2023-09-01T02:00:00-03:00,2023-09-01T01:30:00-03:00,2023-09-01T01:30:00-03:00,3.2,True
86472000,2023-09-01T03:00:00-03:00,2023-09-01T02:30:00-03:00,2023-09-01T02:30:00-03:00,2.91,True
86472000,2023-09-01T04:00:00-03:00,2023-09-01T03:30:00-03:00,2023-09-01T03:30:00-03:00,2.63,True
86472000,2023-09-01T05:00:00-03:00,2023-09-01T04:30:00-03:00,2023-09-01T04:30:00-03:00,2.47,True
86472000,2023-09-01T06:00:00-03:00,2023-09-01T05:30:00-03:00,2023-09-01T05:30:00-03:00,2.38,True
86472000,2023-09-01T07:00:00-03:00,2023-09-01T06:30:00-03:00,2023-09-01T06:30:00-03:00,2.33,True
86472000,2023-09-01T08:00:00-03:00,2023-09-01T07:30:00-03:00,2023-09-01T07:30:00-03:00,2.3,True
86472000,2023-09-01T09:00:00-03:00,2023-09-01T08:30:00-03:00,2023-09-01T08:30:00-03:00,2.29,True
86472000,2023-09-01T10:00:00-03:00,2023-09-01T09:30:00-03:00,2023-09-01T09:30:00-03:00,2.29,True
86472000,2023-09-01T11:00:00-03:00,2023-09-01T10:30:00-03:00,2023-09-01T10:30:00-03:00,2.28,True
86472000,2023-09-01T12:00:00-03:00,2023-09-01T11:30:00-03:00,2023-09-01T11:30:00-03:00,2.28,True
86472000,2023-09-01T13:00:00-03:00,2023-09-01T12:30:00-03:00,2023-09-01T12:30:00-03:00,2.27,True
86472000,2023-09-01T14:00:00-03:00,2023-09-01T13:30:00-03:00,2023-09-01T13:30:00-03:00,2.27,True
86472000,2023-09-01T15:00:00-03:00,2023-09-01T14:30:00-03:00,2023-09-01T14:30:00-03:00,2.27,True
86472000,2023-09-01T16:00:00-03:00,2023-09-01T15:30:00-03:00,2023-09-01T15:30:00-03:00,2.27,True
86472000,2023-09-01T17:00:00-03:00,2023-09-01T16:30:00-03:00,2023-09-01T16:30:00-03:00,2.27,True
86472000,2023-09-01T18:00:00-03:00,2023-09-01T17:30:00-03:00,2023-09-01T17:30:00-03:00,2.3,True
86472000,2023-09-01T19:00:00-03:00,2023-09-01T18:30:00-03:00,2023-09-01T18:30:00-03:00,2.82,True
86472000,2023-09-01T20:00:00-03:00,2023-09-01T19:30:00-03:00,2023-09-01T19:30:00-03:00,3.25,True
86472000,2023-09-01T21:00:00-03:00,2023-09-01T20:30:00-03:00,2023-09-01T20:30:00-03:00,3.31,True
86472000,2023-09-01T22:00:00-03:00,2023-09-01T21:30:00-03:00,2023-09-01T21:30:00-03:00,3.27,True
86472000,2023-09-01T23:00:00-03:00,2023-09-01T22:30:00-03:00,2023-09-01T22:30:00-03:00,3.21,True
86472000,2023-09-02T00:00:00-03:00,2023-09-01T23:30:00-03:00,2023-09-01T23:30:00-03:00,3.16,True
86472000,2023-09-02T01:00:00-03:00,2023-09-02T00:30:00-03:00,2023-09-02T00:30:00-03:00,3.14,True
86472000,2023-09-02T02:00:00-03:00,2023-09-02T01:30:00-03:00,2023-09-02T01:30:00-03:00,3.0,True
86472000,2023-09-02T03:00:00-03:00,2023-09-02T02:30:00-03:00,2023-09-02T02:30:00-03:00,2.72,True
86472000,2023-09-02T04:00:00-03:00,2023-09-02T03:30:00-03:00,2023-09-02T03:30:00-03:00,2.52,True
86472000,2023-09-02T05:00:00-03:00,2023-09-02T04:30:00-03:00,2023-09-02T04:30:00-03:00,2.41,True
86472000,2023-09-02T06:00:00-03:00,2023-09-02T05:30:00-03:00,2023-09-02T05:30:00-03:00,2.36,True
86472000,2023-09-02T07:00:00-03:00,2023-09-02T06:30:00-03:00,2023-09-02T06:30:00-03:00,2.33,True
86472000,2023-09-02T08:00:00-03:00,2023-09-02T07:30:00-03:00,2023-09-02T07:30:00-03:00,2.32,True
86472000,2023-09-02T09:00:00-03:00,2023-09-02T08:30:00-03:00,2023-09-02T08:30:00-03:00,2.32,True
86472000,2023-09-02T10:00:00-03:00,2023-09-02T09:30:00-03:00,2023-09-02T09:30:00-03:00,2.36,True
