horizon_h,origins,finite_base,finite_target,valid_pairs,high_targets,minimum_response_m,maximum_response_m
1,720,506,504,503,56,-0.28000000000000025,2.6400000000000006
2,720,506,503,501,55,-0.46999999999999975,4.710000000000001
3,720,506,502,499,54,-0.6299999999999999,6.620000000000001
4,720,506,501,497,53,-0.7699999999999996,8.280000000000001
5,720,506,500,495,52,-0.8399999999999999,9.240000000000002
6,720,506,499,493,51,-0.8899999999999997,9.900000000000002
7,720,506,498,491,50,-0.9299999999999997,10.47
8,720,506,497,489,49,-0.96,11.040000000000001
9,720,506,496,487,48,-1.0,11.57
10,720,506,495,485,47,-1.0499999999999998,12.030000000000001
11,720,506,494,483,46,-1.0699999999999994,12.350000000000001
12,720,506,493,481,45,-1.12,12.59
