group,window_h,origins,finite_precipitation,coverage_min,coverage_max,coverage_mean
Baixo Antas,1,720,73,0.0,0.5021676300578035,0.29904062299293516
Baixo Antas,3,720,79,0.0,0.6914739884393063,0.3204118497109827
Baixo Antas,6,720,82,0.0,0.738800578034682,0.32702412491971744
Baixo Antas,12,720,87,0.0,0.7624638728323699,0.332615305876686
Baixo Antas,24,720,95,0.0,0.7742955202312138,0.34002865085099554
Baixo Antas,48,720,108,0.017160404624277457,0.7802113439306358,0.3529422316554271
Carreiro,1,720,83,0.0,0.7710608424336973,0.1471230932570636
Carreiro,3,720,84,0.0,0.7780811232449298,0.14900816866007977
Carreiro,6,720,85,0.0,0.779836193447738,0.15076323886288787
Carreiro,12,720,88,0.0,0.7807137285491421,0.15395161639798927
Carreiro,24,720,93,0.0,0.7811524960998439,0.16018509490379615
Carreiro,48,720,102,0.013163026521060842,0.781371879875195,0.1725698507106951
Prata-Turvo,1,720,687,0.0,0.8027718550106611,0.7105647358445866
Prata-Turvo,3,720,686,0.0,0.8027718550106611,0.7106580194266761
Prata-Turvo,6,720,685,0.0,0.8027718550106611,0.7107979447998105
Prata-Turvo,12,720,683,0.0,0.8027718550106611,0.7110777955460792
Prata-Turvo,24,720,679,0.0,0.8027718550106611,0.7117790881900024
Prata-Turvo,48,720,670,0.22987739872068227,0.8027718550106611,0.7131675143627103
Alto Antas,1,720,683,0.17024985473561882,0.77643811737362,0.6733534685906126
Alto Antas,3,720,685,0.17024985473561882,0.7895119116792563,0.6751256940409323
Alto Antas,6,720,684,0.17024985473561882,0.7927803602556653,0.6760095874491575
Alto Antas,12,720,681,0.17024985473561882,0.7944145845438698,0.6772450408354315
Alto Antas,24,720,676,0.17024985473561882,0.7952316966879721,0.6794523028439537
Alto Antas,48,720,666,0.296266705403835,0.7956402527600233,0.6837334913083478
Tainhas,1,720,599,0.23224043715846995,1.0,0.8903422890103219
Tainhas,3,720,602,0.23224043715846995,1.0,0.891752681643392
Tainhas,6,720,604,0.23224043715846995,1.0,0.8931630742764624
Tainhas,12,720,608,0.23224043715846995,1.0,0.8957723006476421
Tainhas,24,720,616,0.23224043715846995,1.0,0.9008849739425218
Tainhas,48,720,632,0.2817622950819672,1.0,0.9110574308085407
