time,rain_observed_partial_mm,rain_coverage,rain_completed_mm,soil_fraction_pet3,incremental_flow_m3_s
2026-09-19T00:00:00-03:00,0.0,1.0,0.0,0.10693580871035303,27.55052750438624
2026-09-19T01:00:00-03:00,0.0,1.0,0.0,0.10546225877602844,27.218403252094404
2026-09-19T02:00:00-03:00,0.01408450704224071,1.0,0.01408450704224071,0.10436692180439787,26.889554009558733
2026-09-19T03:00:00-03:00,0.15868544600940263,0.935054773082942,0.16085028690663788,0.10701617524289402,26.56585224970381
2026-09-19T04:00:00-03:00,0.058067292644753896,1.0,0.058067292644753896,0.10701705763105807,26.262617750049706
2026-09-19T05:00:00-03:00,0.008442879499224615,0.9945226917057902,0.01099895670318918,0.10582188288959589,25.968079129833864
2026-09-19T06:00:00-03:00,0.0,1.0,0.0,0.10436368258735258,25.676870675941597
2026-09-19T07:00:00-03:00,0.11737089201874697,0.935054773082942,0.16283255086068754,0.10706335143308403,25.388136410007117
2026-09-19T08:00:00-03:00,0.33787167449140537,0.9640062597809077,0.3474700052164966,0.11441718913073491,25.119739552563882
2026-09-19T09:00:00-03:00,0.15211267605621925,0.9640062597809077,0.20490349504422128,0.11804678303468956,24.890354339960002
2026-09-19T10:00:00-03:00,0.35571205007818546,0.9616588419405322,0.4055555555554936,0.12672385923555496,24.683926891654163
2026-09-19T11:00:00-03:00,0.2924882629107995,0.9256651017214398,0.3668231611893597,0.13429644894461898,24.52087337480219
2026-09-19T12:00:00-03:00,0.45007824726129786,0.9640062597809077,0.4740740740740261,0.14448807049779147,24.395753981662757
2026-09-19T13:00:00-03:00,0.37793427230048426,0.9640062597809077,0.45712050078248734,0.15410726595080732,24.31845300479968
2026-09-19T14:00:00-03:00,0.0,0.9640062597809077,0.09958268127282204,0.15451281226078123,24.283772443247685
2026-09-19T15:00:00-03:00,0.24735524256646096,0.9640062597809077,0.346937923839283,0.1611944995892912,24.252351119377888
2026-09-19T16:00:00-03:00,0.4764319248826169,1.0,0.4764319248826169,0.17107155291219756,24.250733838821116
2026-09-19T17:00:00-03:00,0.15884194053204578,1.0,0.15884194053204578,0.17274749992069438,24.29022312641499
