time,lead_h,hge_reference_m,sensitivity_min_m,sensitivity_max_m,previous_selected_m,previous_routing_m
2026-09-21T18:00:00-03:00,1,14.137766578038125,14.10571208390858,14.168431987719645,13.814496075863959,13.833758024360296
2026-09-21T19:00:00-03:00,2,15.315559806115283,15.268610963708024,15.366640030348348,14.666825053700705,14.308299190502838
2026-09-21T20:00:00-03:00,3,16.512544360189615,16.455799017311904,16.58437844210001,15.007680376594422,15.476597386838003
2026-09-21T21:00:00-03:00,4,17.66308596447672,17.599216820356155,17.75837883620813,15.270340651893527,16.661103961990968
2026-09-21T22:00:00-03:00,5,18.83363759350528,18.765004813363028,18.950047853003696,15.68248261370715,18.414442811168634
2026-09-21T23:00:00-03:00,6,19.973564256694964,19.90060604117822,20.10670425305353,15.400295896949451,19.56993734372552
2026-09-22T00:00:00-03:00,7,21.10788335454007,21.03284055141973,21.252568934645403,17.344394613134604,20.345681772893087
2026-09-22T01:00:00-03:00,8,22.14615787659993,22.070766020634295,22.297727361520103,17.548866698457665,21.477244570499202
2026-09-22T02:00:00-03:00,9,22.975345831109088,22.90078354063928,23.13014952651818,17.83517685826037,22.389320210787922
2026-09-22T03:00:00-03:00,10,23.735773958330135,23.6632025595801,23.890245436117276,17.440073269359846,23.235639813923044
2026-09-22T04:00:00-03:00,11,24.36279674274178,24.2929623203012,24.514328281853977,17.12090768932589,24.11076726567554
2026-09-22T05:00:00-03:00,12,24.921859711665626,24.855376207200855,25.06824481210306,17.582572482707622,24.96419372186388
