horizon_h,population,column,feature,unit,n,finite,missing,minimum,median,p90,maximum
1,validation_high,0,86510000:H,m,28,28,0,6.65,8.55,9.033,9.09
1,validation_high,1,86510000:dH0.5,m/h,28,28,0,-0.4399999999999995,-0.03999999999999915,0.31800000000000034,0.7200000000000006
1,validation_high,2,86510000:dH1,m/h,28,28,0,-0.3899999999999997,-0.010000000000000675,0.33699999999999963,0.7000000000000002
1,validation_high,3,86510000:dH2,m/h,28,28,0,-0.3199999999999994,0.0,0.3499999999999999,0.6300000000000003
1,validation_high,4,86510000:dH4,m/h,28,28,0,-0.23999999999999977,0.013749999999999929,0.33750000000000013,0.5025
1,validation_high,5,86510000:dH8,m/h,28,28,0,-0.19374999999999987,0.06624999999999992,0.25612500000000005,0.32125000000000004
1,validation_high,6,86472000:H,m,28,28,0,7.84,9.455,10.25,10.37
1,validation_high,7,86472000:dH0.5,m/h,28,28,0,-0.8399999999999999,-0.009999999999999787,0.22599999999999876,0.860000000000003
1,validation_high,8,86472000:dH1,m/h,28,28,0,-0.7599999999999998,-0.015000000000000568,0.22399999999999937,0.9900000000000002
1,validation_high,9,86472000:dH2,m/h,28,28,0,-0.5800000000000001,-0.027500000000000302,0.238,0.8900000000000001
1,validation_high,10,86472000:dH4,m/h,28,28,0,-0.39250000000000007,2.220446049250313e-16,0.32574999999999993,0.7425000000000002
1,validation_high,11,86472000:dH8,m/h,28,28,0,-0.2749999999999999,0.08750000000000013,0.36037500000000006,0.3849999999999999
1,validation_high,12,86472600:H,m,28,28,0,6.49,7.775,8.435,8.51
1,validation_high,13,86472600:dH0.5,m/h,28,28,0,-0.4599999999999991,0.0,0.24200000000000205,0.8000000000000007
1,validation_high,14,86472600:dH1,m/h,28,28,0,-0.4499999999999993,-0.019999999999999574,0.2650000000000009,0.8399999999999999
1,validation_high,15,86472600:dH2,m/h,28,28,0,-0.4099999999999997,0.0050000000000001155,0.3855000000000004,0.7999999999999998
1,validation_high,16,86472600:dH4,m/h,28,28,0,-0.2974999999999999,0.018749999999999822,0.38775000000000015,0.6299999999999999
1,validation_high,17,86472600:dH8,m/h,28,28,0,-0.21499999999999986,0.07312500000000005,0.30462500000000003,0.31625000000000003
1,validation_high,18,86500000:H,m,28,28,0,3.01,3.75,5.011,5.1
1,validation_high,19,86500000:dH0.5,m/h,28,28,0,-0.21999999999999886,-0.0600000000000005,-0.040000000000000036,0.03999999999999915
1,validation_high,20,86500000:dH1,m/h,28,28,0,-0.20000000000000018,-0.06499999999999995,-0.027000000000000038,0.05999999999999961
1,validation_high,21,86500000:dH2,m/h,28,28,0,-0.15500000000000025,-0.06000000000000005,-0.0215,0.09499999999999975
1,validation_high,22,86500000:dH4,m/h,28,28,0,-0.1475000000000002,-0.06375000000000003,0.014000000000000075,0.18499999999999983
