phase,horizon_h,original_n,added_n,n,features,original_targets_ge_7m,added_targets_ge_7m,original_response_min_m,original_response_max_m,added_response_min_m,added_response_max_m,combined_response_min_m,combined_response_max_m,earliest_added_origin,latest_added_target,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,1,4362,743,5105,180,227,41,-0.41000000000000014,1.1800000000000006,-0.3100000000000005,2.3200000000000003,-0.41000000000000014,2.3200000000000003,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,1,10841,743,11584,180,255,41,-0.4800000000000004,1.2400000000000002,-0.3100000000000005,2.3200000000000003,-0.4800000000000004,2.3200000000000003,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,2,4360,742,5102,180,227,41,-0.7199999999999989,2.09,-0.5800000000000001,4.120000000000001,-0.7199999999999989,4.120000000000001,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,2,10837,742,11579,180,255,41,-0.8500000000000005,2.09,-0.5800000000000001,4.120000000000001,-0.8500000000000005,4.120000000000001,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,3,4358,741,5099,180,227,41,-0.9799999999999995,3.0200000000000005,-0.8300000000000001,5.210000000000001,-0.9799999999999995,5.210000000000001,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,3,10834,741,11575,180,255,41,-1.1000000000000005,3.0200000000000005,-0.8300000000000001,5.210000000000001,-1.1000000000000005,5.210000000000001,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,4,4356,740,5096,180,227,41,-1.2100000000000009,3.8600000000000003,-1.0599999999999987,6.17,-1.2100000000000009,6.17,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,4,10830,740,11570,180,255,41,-1.3499999999999996,3.8600000000000003,-1.0599999999999987,6.17,-1.3499999999999996,6.17,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,5,4355,739,5094,180,227,41,-1.4800000000000004,4.6899999999999995,-1.1500000000000004,6.83,-1.4800000000000004,6.83,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,5,10828,739,11567,180,255,41,-1.5199999999999996,4.6899999999999995,-1.1500000000000004,6.83,-1.5199999999999996,6.83,2024-04-01T00:00:00-03:00,2024-05-01T23:00:00-03:00,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
