phase,profile,horizon_h,subset,control,observed_targets,failures,control_hits,candidate_hits,delta_hits,control_mae_m,candidate_mae_m,delta_mae_m,control_max_m,candidate_max_m
test,A,1,all,profile_A_control,1944,5,1933,1933,0,0.0371222429682849,0.04783750593944735,0.010715262971162445,1.2985394062094997,1.141419228155974
test,A,1,level_ge_7m,profile_A_control,237,1,230,231,1,0.08365381495683401,0.07625871051660717,-0.007395104440226841,1.2985394062094997,1.141419228155974
test,A,2,all,profile_A_control,1943,7,1915,1895,-20,0.06470988559156808,0.0875271938439811,0.022817308252413016,2.430986906354253,2.35798379080882
test,A,2,level_ge_7m,profile_A_control,237,1,225,225,0,0.1420297534699279,0.13368154358694637,-0.008348209882981544,2.430986906354253,2.35798379080882
test,A,3,all,profile_A_control,1942,9,1896,1869,-27,0.08858410963828463,0.11088536147545171,0.02230125183716708,3.8502978392165037,3.5417724438313964
test,A,3,level_ge_7m,profile_A_control,237,1,210,211,1,0.2532196871530062,0.23103349561199366,-0.022186191541012534,3.8502978392165037,3.5417724438313964
test,A,4,all,profile_A_control,1941,10,1878,1864,-14,0.11497979365427792,0.13045457157932483,0.01547477792504691,4.579107233006882,4.7455033562984505
test,A,4,level_ge_7m,profile_A_control,237,1,199,199,0,0.34447883082737046,0.36092812417098286,0.016449293343612392,4.579107233006882,4.7455033562984505
test,A,5,all,profile_A_control,1940,11,1856,1845,-11,0.1529170486007049,0.1592206798094355,0.006303631208730592,5.585721334594157,5.4406707406415205
test,A,5,level_ge_7m,profile_A_control,237,1,182,178,-4,0.48868542525858694,0.4876970563733857,-0.0009883688852012629,5.585721334594157,5.4406707406415205
test,A,6,all,profile_A_control,1939,12,1772,1780,8,0.20405372470450728,0.2079324272093252,0.0038787025048179213,6.383213756919677,6.299646491687942
test,A,6,level_ge_7m,profile_A_control,237,1,162,170,8,0.6129362573306584,0.6021107824295977,-0.010825474901060672,6.383213756919677,6.299646491687942
test,A,7,all,profile_A_control,1938,13,1704,1690,-14,0.2521091968617542,0.25477754180124057,0.0026683449394863668,5.0700479704763755,5.194583557487675
test,A,7,level_ge_7m,profile_A_control,237,1,145,130,-15,0.6506872082151711,0.6714841295708656,0.020796921355694442,5.0700479704763755,5.194583557487675
test,A,8,all,profile_A_control,1937,14,1627,1606,-21,0.30666637100702215,0.3173513626884042,0.010684991681382039,5.604734107449106,5.45787612304345
test,A,8,level_ge_7m,profile_A_control,237,1,133,121,-12,0.755319244918544,0.7751780529783651,0.019858808059821098,5.604734107449106,5.45787612304345
test,A,9,all,profile_A_control,1936,15,1508,1505,-3,0.37776859764541687,0.3855620418678308,0.007793444222413903,6.290140102551524,6.118445629477499
test,A,9,level_ge_7m,profile_A_control,237,1,110,113,3,0.9219381059929672,0.9356992478883963,0.013761141895429096,6.290140102551524,6.118445629477499
test,A,10,all,profile_A_control,1935,16,1428,1418,-10,0.4209481888845981,0.425027421975662,0.004079233091063894,6.511789742894907,6.339306509605971
test,A,10,level_ge_7m,profile_A_control,237,1,88,90,2,1.0271418171782014,1.05730422497696,0.03016240779875856,6.511789742894907,6.339306509605971
test,A,11,all,profile_A_control,1934,17,1336,1348,12,0.46483961851243744,0.4688840541893353,0.004044435676897884,7.1933341782238,7.15943769248484
test,A,11,level_ge_7m,profile_A_control,237,1,88,82,-6,1.167452400439356,1.2117416688285163,0.04428926838916025,7.1933341782238,7.15943769248484
test,A,12,all,profile_A_control,1933,18,1314,1304,-10,0.48703728990212314,0.49747435731090545,0.010437067408782308,7.575214133637115,7.792800339521805
test,A,12,level_ge_7m,profile_A_control,237,1,91,75,-16,1.2469468675886748,1.3286731218781722,0.08172625428949742,7.575214133637115,7.792800339521805
test,B,1,all,profile_B_control,1944,4,1933,1931,-2,0.04267803063082794,0.04625830552081716,0.0035802748899892226,1.5100564871323074,1.5158225447286915
test,B,1,level_ge_7m,profile_B_control,237,1,230,230,0,0.09411275751023761,0.10507021941064681,0.010957461900409207,1.5100564871323074,1.5158225447286915
test,B,2,all,profile_B_control,1943,6,1910,1915,5,0.07247205676196612,0.06880451771616918,-0.003667539045796947,2.721435573404227,2.7234645501539516
test,B,2,level_ge_7m,profile_B_control,237,1,218,222,4,0.17055488609880845,0.1790052843921942,0.008450398293385758,2.721435573404227,2.7234645501539516
test,B,3,all,profile_B_control,1942,8,1893,1881,-12,0.0969247468811543,0.0984848429997664,0.0015600961186121032,3.971469992707828,3.9207443853420045
test,B,3,level_ge_7m,profile_B_control,237,1,207,203,-4,0.27295513304405666,0.2894468775030307,0.016491744458974056,3.971469992707828,3.9207443853420045
test,B,4,all,profile_B_control,1941,9,1866,1865,-1,0.12304284797867071,0.12911540247463166,0.006072554495960947,5.1179488471626104,5.078591233547437
test,B,4,level_ge_7m,profile_B_control,237,1,192,186,-6,0.4009070967444646,0.4131174956725263,0.012210398928061694,5.1179488471626104,5.078591233547437
test,B,5,all,profile_B_control,1940,10,1836,1828,-8,0.16151947820922183,0.1625412373542548,0.0010217591450329688,5.909113440846849,5.651905624290726
test,B,5,level_ge_7m,profile_B_control,237,1,171,169,-2,0.5244969789310342,0.5232204895845944,-0.0012764893464397575,5.909113440846849,5.651905624290726
test,B,6,all,profile_B_control,1939,11,1750,1773,23,0.21317542166512082,0.21340427297382084,0.00022885130870001213,6.670378362089796,6.505761062809958
test,B,6,level_ge_7m,profile_B_control,237,1,154,166,12,0.6422930624109834,0.6355351757922351,-0.006757886618748321,6.670378362089796,6.505761062809958
test,B,7,all,profile_B_control,1938,12,1700,1696,-4,0.25766504216425856,0.2583193991455045,0.0006543569812459404,5.1786634640814455,5.3313065707358245
test,B,7,level_ge_7m,profile_B_control,237,1,137,139,2,0.6945705265097771,0.7026550688482773,0.0080845423385002,5.1786634640814455,5.3313065707358245
test,B,8,all,profile_B_control,1937,13,1614,1613,-1,0.3227151591562414,0.3194714389533474,-0.003243720202893985,5.691275122778958,5.612418970754012
test,B,8,level_ge_7m,profile_B_control,237,1,124,124,0,0.8198516874678297,0.8131928986298017,-0.006658788838027951,5.691275122778958,5.612418970754012
test,B,9,all,profile_B_control,1936,14,1497,1529,32,0.39008256765275684,0.38699866530660454,-0.0030839023461523007,6.1664049021704095,6.137372342022433
test,B,9,level_ge_7m,profile_B_control,237,1,113,115,2,0.9670168119763842,0.9819884786576049,0.01497166668122063,6.1664049021704095,6.137372342022433
test,B,10,all,profile_B_control,1935,15,1419,1427,8,0.4413798816356144,0.4278943953424952,-0.013485486293119242,6.4336778764475095,6.73028988534079
test,B,10,level_ge_7m,profile_B_control,237,1,90,89,-1,1.1444952382355695,1.1134412628023913,-0.031053975433178227,6.4336778764475095,6.73028988534079
test,B,11,all,profile_B_control,1934,16,1350,1358,8,0.47596519867577963,0.47240799035110187,-0.003557208324677763,6.640039800767847,7.161586727890171
test,B,11,level_ge_7m,profile_B_control,237,1,82,79,-3,1.2579884028317074,1.2707682625140837,0.012779859682376271,6.640039800767847,7.161586727890171
test,B,12,all,profile_B_control,1933,17,1326,1317,-9,0.49684970437980597,0.49961490285963206,0.002765198479826092,6.959959168263467,7.606918439530505
test,B,12,level_ge_7m,profile_B_control,237,1,77,75,-2,1.3522807747230332,1.384911641785263,0.03263086706222973,6.959959168263467,7.606918439530505
validation,A,1,all,profile_A_control,6517,38,6478,6479,1,0.018855942070563906,0.021606830119421078,0.0027508880488571717,0.534506660393788,0.4674960533101764
validation,A,1,level_ge_7m,profile_A_control,28,0,28,28,0,0.07493645979101636,0.054957800373323,-0.019978659417693362,0.34802134846687416,0.1945792356276197
validation,A,2,all,profile_A_control,6516,39,6465,6464,-1,0.029287944206221363,0.035065751551275746,0.005777807345054384,0.9411562625519316,0.785102284292053
validation,A,2,level_ge_7m,profile_A_control,28,0,27,28,1,0.12841387834886395,0.08590108691375604,-0.0425127914351079,0.5606239922930918,0.27715664018348996
validation,A,3,all,profile_A_control,6515,39,6455,6443,-12,0.042127949230368625,0.054678652726520297,0.012550703496151672,1.0656813535760117,1.314016201925865
validation,A,3,level_ge_7m,profile_A_control,28,0,25,27,2,0.21358110024044344,0.1588675016157101,-0.05471359862473335,0.758133917521528,0.5173751411729839
validation,A,4,all,profile_A_control,6514,40,6435,6424,-11,0.05415787569378713,0.07356618964141907,0.01940831394763194,1.2459259347996063,1.3871564896024218
validation,A,4,level_ge_7m,profile_A_control,28,0,24,24,0,0.22223341858847898,0.21140614165183821,-0.010827276936640762,0.9110348907321271,0.6336270952243961
validation,A,5,all,profile_A_control,6513,40,6408,6400,-8,0.07382290962315642,0.08619815160469473,0.012375241981538304,1.2832983020879674,1.2078675340898029
validation,A,5,level_ge_7m,profile_A_control,28,0,23,25,2,0.24039699695818695,0.22161063312586352,-0.018786363832323433,0.9357204278360243,0.8599240535251695
validation,A,6,all,profile_A_control,6512,40,6357,6331,-26,0.09710250343054351,0.1059601342016064,0.008857630771062885,1.2844995277971742,1.2812557452434752
validation,A,6,level_ge_7m,profile_A_control,28,0,21,24,3,0.30323250631948584,0.2403142960680538,-0.06291821025143204,0.9249813045187132,0.7705091529020649
validation,A,7,all,profile_A_control,6511,40,6272,6250,-22,0.12115563032174978,0.13020496362201628,0.009049333300266499,1.6514050101793973,1.8044747709711235
validation,A,7,level_ge_7m,profile_A_control,28,0,17,19,2,0.4298046592900204,0.45718821207882687,0.027383552788806498,1.4077095977636054,1.5849620194144736
