nominal_lead_h,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,reference,all,1944,1939,5,0.9974279835390947,1805,0.9308922124806601,0.18223084275514248,0.002119783093772055,0.44101307981983534,0.6610458933896403,1.9412611608534949
1,julho_levels,all,1944,1939,5,0.9974279835390947,1801,0.9288292934502321,0.18462104811712957,0.004871070921885648,0.4492175448129682,0.6727281817961567,1.9329935742576074
1,reference,level_ge_7m,237,235,2,0.9915611814345991,186,0.7914893617021277,0.27605636501561676,0.1188065737502363,0.628604378283871,0.8875962560991393,1.9412611608534949
1,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,189,0.8042553191489362,0.2756204562168863,0.12120535480449336,0.6231759854158766,0.8818012597436743,1.9329935742576074
2,reference,all,1943,1936,7,0.9963973237261966,1672,0.8636363636363636,0.23895092417817448,0.0007279249830156176,0.589182450567997,0.9065574292458087,2.651223655866648
2,julho_levels,all,1943,1936,7,0.9963973237261966,1667,0.8610537190082644,0.2445579328403018,0.009189257895172031,0.6012345518366742,0.8977291522299368,2.6161651621850375
2,reference,level_ge_7m,237,235,2,0.9915611814345991,166,0.7063829787234043,0.3972949732126508,0.1686863080212166,0.9168620323744523,1.1369409349260573,2.651223655866648
2,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,165,0.7021276595744681,0.39173190286388576,0.17622473266523705,0.8759094011154314,1.1444726256666835,2.6161651621850375
3,reference,all,1942,1933,9,0.9953656024716787,1616,0.8360062079668908,0.27494455596061984,-0.0021930828404124244,0.6490653236298832,1.1069849075013134,3.0201668609551486
3,julho_levels,all,1942,1933,9,0.9953656024716787,1587,0.8210036213140196,0.28423930293395655,0.01430127498231844,0.6603294190612435,1.1098119335629468,2.953569729815772
3,reference,level_ge_7m,237,235,2,0.9915611814345991,144,0.6127659574468085,0.5103790713896232,0.20799960843089635,1.152430880350765,1.7649738773967338,3.0201668609551486
3,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,144,0.6127659574468085,0.4991953831653973,0.22192017744191725,1.132617882287,1.4091164379041459,2.953569729815772
4,reference,all,1941,1931,10,0.9948480164863472,1595,0.8259968928016572,0.2982701175889558,-0.00673451843962468,0.66459282315523,1.3267058293372038,3.221638938064004
4,julho_levels,all,1941,1931,10,0.9948480164863472,1547,0.8011393060590367,0.3126834410444939,0.018937115177876867,0.683936359105874,1.3180193245756775,3.0397994020300594
4,reference,level_ge_7m,237,235,2,0.9915611814345991,130,0.5531914893617021,0.6125506369506815,0.23557580525075228,1.416369079983297,2.458978222572348,3.221638938064004
4,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,132,0.5617021276595745,0.5977392451163321,0.25512429052313795,1.3887665196090655,1.8958449154818766,3.0397994020300594
5,reference,all,1940,1929,11,0.9943298969072165,1574,0.815966822187662,0.3221176086277084,-0.013440122301654716,0.6745325291410565,1.4775110315731188,4.055143356354666
5,julho_levels,all,1940,1929,11,0.9943298969072165,1511,0.7833074131674442,0.33914503181651895,0.023367681606127316,0.7057808184353969,1.478290421225782,3.11168661205679
5,reference,level_ge_7m,237,235,2,0.9915611814345991,125,0.5319148936170213,0.7097284799307008,0.2432695413054972,1.5876196237736413,3.0071790320598173,4.055143356354666
5,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,126,0.5361702127659574,0.6901726289499489,0.27362855125395247,1.5402534232735714,2.7384647047287,3.11168661205679
6,reference,all,1939,1927,12,0.9938112429087158,1512,0.7846393357550597,0.3521969993475082,-0.01599844064056061,0.7133582600083495,1.6422510581076337,4.844259482340506
6,julho_levels,all,1939,1927,12,0.9938112429087158,1461,0.7581733264141152,0.3671026772914653,0.032176301934174145,0.7203677164770984,1.5876353477393155,4.2193921087391875
6,reference,level_ge_7m,237,235,2,0.9915611814345991,114,0.4851063829787234,0.8047060042260784,0.2803346516917962,1.7823343444076665,3.193572083188314,4.844259482340506
6,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,114,0.4851063829787234,0.7792603166276639,0.3130607449732522,1.7415806084449987,2.906140913343998,4.2193921087391875
7,reference,all,1938,1925,13,0.9932920536635707,1438,0.747012987012987,0.3927200275864929,-0.022235936766466256,0.79585257688825,1.7796146899942937,5.700519223262736
7,julho_levels,all,1938,1925,13,0.9932920536635707,1408,0.7314285714285714,0.3991038482878564,0.04005845694280696,0.7767472158101052,1.701569653865675,4.922833760905043
7,reference,level_ge_7m,237,235,2,0.9915611814345991,97,0.4127659574468085,0.8958180382910822,0.28259974812911526,1.907310581305174,3.3894029276366426,5.700519223262736
7,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,99,0.42127659574468085,0.8576081948423856,0.3280275123001991,1.9092914578747884,3.1527950706185037,4.922833760905043
8,reference,all,1937,1923,14,0.9927723283427982,1346,0.6999479979199168,0.4397682432476104,-0.029260862419344048,0.9137397821794542,1.9211551697776343,6.1462091424357155
8,julho_levels,all,1937,1923,14,0.9927723283427982,1340,0.6968278731149246,0.43203811116060353,0.04777628825142539,0.8501370398634821,1.8330407008277796,5.3624334098119455
8,reference,level_ge_7m,237,235,2,0.9915611814345991,95,0.40425531914893614,0.9828637680698992,0.27324839285109276,2.047357749999596,4.031887425133495,6.1462091424357155
8,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,94,0.4,0.9385602852701276,0.32884458716803333,2.039667260211566,3.906938088374611,5.3624334098119455
9,reference,all,1936,1921,15,0.9922520661157025,1213,0.631441957313899,0.497389244906414,-0.041379465362195555,1.0353319043451013,2.0587634324285937,7.391528948263517
9,julho_levels,all,1936,1921,15,0.9922520661157025,1289,0.6710046850598647,0.46864946433374355,0.051109246110040814,0.916391834522847,1.940459963049211,6.345692327679487
9,reference,level_ge_7m,237,235,2,0.9915611814345991,86,0.3659574468085106,1.1004683797751151,0.21504059179687113,2.1795204268932893,5.102053503744823,7.391528948263517
9,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,92,0.39148936170212767,1.0473704657419083,0.28437316100547805,2.1926222151694157,4.7015758283531985,6.345692327679487
10,reference,all,1935,1919,16,0.9917312661498708,1117,0.5820739968733716,0.5552087266853938,-0.05156721058072656,1.1528328227902995,2.1749697065715714,8.429529986327287
10,julho_levels,all,1935,1919,16,0.9917312661498708,1248,0.6503387180823346,0.5009619239230121,0.056003053049884365,0.9776843377786927,2.0650700893693963,7.212364818226227
10,reference,level_ge_7m,237,235,2,0.9915611814345991,78,0.33191489361702126,1.2057892981573257,0.168599008887029,2.3579121520907163,5.486813852510555,8.429529986327287
10,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,89,0.37872340425531914,1.1452091472026993,0.2497452395220113,2.30130719955871,5.216802765037538,7.212364818226227
11,reference,all,1934,1917,17,0.9912099276111686,1034,0.5393844548774126,0.6142724564205858,-0.06274367739798321,1.2234942306955177,2.2796804893157074,9.414520276049378
11,julho_levels,all,1934,1917,17,0.9912099276111686,1215,0.6338028169014085,0.5308358531697027,0.05980802732313029,1.0320512895814418,2.1709916200990667,8.097332514986933
11,reference,level_ge_7m,237,235,2,0.9915611814345991,72,0.30638297872340425,1.3333462196586086,0.11070869737140149,2.5368428293345224,5.795353410557941,9.414520276049378
11,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,83,0.35319148936170214,1.2550850823257282,0.2027718498200586,2.4580912532924524,5.642165001917229,8.097332514986933
12,reference,all,1933,1915,18,0.9906880496637351,951,0.4966057441253264,0.6705981019844791,-0.07472698214646752,1.3010595443909707,2.4309252352777695,10.441089492201122
12,julho_levels,all,1933,1915,18,0.9906880496637351,1160,0.6057441253263708,0.5580486249451013,0.06283450361763067,1.1160859870849993,2.408977170928476,9.05988022734481
12,reference,level_ge_7m,237,235,2,0.9915611814345991,54,0.2297872340425532,1.4771007009969228,0.03894078215876899,2.7170181005103506,6.144665932967509,10.441089492201122
