origin,relative_lead_h,julho77_m3_s,julho97_m3_s,carreiro_m3_s
2026-07-01T00:00:00-03:00,0,490.39847455094684,492.1998096067332,62.75487699894154
2026-07-01T00:00:00-03:00,1,476.8295004545275,479.27064356591865,64.11405652247542
2026-07-01T00:00:00-03:00,2,470.4668299760295,473.0123982076435,65.21013062245392
2026-07-01T00:00:00-03:00,3,468.77133081063045,469.07997514315804,67.11661827197169
2026-07-01T00:00:00-03:00,4,475.96678860500725,470.5271410283925,69.90399739336951
2026-07-01T00:00:00-03:00,5,485.1985408996872,472.40616910570407,72.8716800178396
2026-07-01T00:00:00-03:00,6,498.23928949046336,477.1289845559502,76.24905143887322
2026-07-01T00:00:00-03:00,7,521.4252155459855,492.83907539006333,79.88682285655032
2026-07-01T00:00:00-03:00,8,557.7547659293939,520.4124259493963,83.17879276836334
2026-07-01T00:00:00-03:00,9,597.5539648572226,550.749479953057,86.1312567126081
2026-07-01T00:00:00-03:00,10,639.3683978255386,577.728634153021,89.94282159534322
2026-07-01T00:00:00-03:00,11,680.0307636877634,601.7622295366157,94.04927806060422
2026-07-02T21:00:00-03:00,0,1921.280378209078,1921.6360561864408,409.772053051491
2026-07-02T21:00:00-03:00,1,1999.7340816034134,1999.4315423805463,417.4203356630821
2026-07-02T21:00:00-03:00,2,2065.870566312993,2063.283311337045,421.092460783131
2026-07-02T21:00:00-03:00,3,2114.8046914685215,2109.120330506027,421.0489171809325
2026-07-02T21:00:00-03:00,4,2133.320802193565,2124.137562039972,417.9660413158202
2026-07-02T21:00:00-03:00,5,2142.4435188101047,2130.1425732603084,411.99390170263354
2026-07-02T21:00:00-03:00,6,2166.8094829446677,2151.2135847011464,403.72741664710895
2026-07-02T21:00:00-03:00,7,2172.4780028901373,2155.281912953264,393.73320666615297
2026-07-02T21:00:00-03:00,8,2162.2096011942476,2142.878868733422,382.4141350438037
2026-07-02T21:00:00-03:00,9,2139.47687163255,2115.398435692657,369.17806380927595
2026-07-02T21:00:00-03:00,10,2109.835634369567,2079.180543473759,356.1411175211563
2026-07-02T21:00:00-03:00,11,2082.760149293022,2044.8385198863082,341.6503989774392
2026-07-22T08:00:00-03:00,0,8555.217546380893,8550.872236525116,0.0
2026-07-22T08:00:00-03:00,1,6866.097602698415,6890.023491659359,0.0
2026-07-22T08:00:00-03:00,2,5403.413733364714,5487.930200831479,0.0
2026-07-22T08:00:00-03:00,3,3032.238027360961,3172.796855563712,0.0
2026-07-22T08:00:00-03:00,4,2854.473211064753,3061.3276885308023,0.0
2026-07-22T08:00:00-03:00,5,1943.5053310440749,2214.2563575920517,0.0
2026-07-22T08:00:00-03:00,6,2075.9652627930673,2439.179533235695,0.0
2026-07-22T08:00:00-03:00,7,1553.2429768240909,1957.9928535625388,0.0
2026-07-22T08:00:00-03:00,8,1051.6422022169838,1504.1223679859704,0.0
2026-07-22T08:00:00-03:00,9,212.09640565204603,716.609149959849,0.0
2026-07-22T08:00:00-03:00,10,389.5703513243767,990.1180234219212,0.0
2026-07-22T08:00:00-03:00,11,0.0,645.7823831188527,0.0
2026-07-22T09:00:00-03:00,0,7928.392385185328,7931.149600229686,0.0
2026-07-22T09:00:00-03:00,1,6077.088678843194,6116.42234137133,0.0
2026-07-22T09:00:00-03:00,2,4310.21323300506,4413.863684087671,0.0
2026-07-22T09:00:00-03:00,3,3272.2201092481296,3435.0630713997975,0.0
2026-07-22T09:00:00-03:00,4,2676.957284016642,2906.9907556865865,0.0
2026-07-22T09:00:00-03:00,5,2283.6877255100835,2576.2541304548536,0.0
2026-07-22T09:00:00-03:00,6,1889.420661036361,2237.2330970742214,0.0
2026-07-22T09:00:00-03:00,7,1122.351249469684,1491.024921650281,0.0
2026-07-22T09:00:00-03:00,8,672.7573460126166,1078.093997764709,0.0
2026-07-22T09:00:00-03:00,9,560.8121093228426,1049.0621933711318,0.0
2026-07-22T09:00:00-03:00,10,413.1925075109457,1063.818491157999,0.0
2026-07-22T09:00:00-03:00,11,0.0,485.9449107845784,0.0
2026-07-22T11:00:00-03:00,0,8914.043716211967,8920.510786701452,47.08730903088413
2026-07-22T11:00:00-03:00,1,11177.45758941474,11170.33702544957,203.68355263722304
2026-07-22T11:00:00-03:00,2,12346.53327813398,12292.469743459133,342.47041290462306
2026-07-22T11:00:00-03:00,3,13975.06033941294,13872.14193530999,546.10636631899
2026-07-22T11:00:00-03:00,4,13869.876656663582,13697.497990834505,663.8059551799766
2026-07-22T11:00:00-03:00,5,14076.4669878454,13823.303094325582,800.3692276867121
2026-07-22T11:00:00-03:00,6,13860.143530524258,13501.685567068424,840.4573898152221
2026-07-22T11:00:00-03:00,7,14268.629212901285,13853.961676616636,876.9223957087822
2026-07-22T11:00:00-03:00,8,14668.60583848516,14234.618123530568,875.9149462444188
2026-07-22T11:00:00-03:00,9,14647.110364157566,14191.826197244996,868.4957191234969
2026-07-22T11:00:00-03:00,10,14156.503207725085,13646.161946307966,793.5064555952367
2026-07-22T11:00:00-03:00,11,14277.611979577783,13595.472082171715,726.0733014422644
2026-08-13T09:00:00-03:00,0,2128.6300045545763,2120.063583748838,760.1495283620916
2026-08-13T09:00:00-03:00,1,2094.7701946230172,2083.0525437433002,743.9680671825407
2026-08-13T09:00:00-03:00,2,2061.1832685359486,2051.0733266750585,725.342001236451
2026-08-13T09:00:00-03:00,3,2067.2257188880576,2063.317788417582,708.1939694471046
2026-08-13T09:00:00-03:00,4,2035.839513586228,2034.7216547129392,692.3968200688705
2026-08-13T09:00:00-03:00,5,2027.999716880074,2025.5528344830477,676.835912074269
2026-08-13T09:00:00-03:00,6,2062.9847667167824,2055.8118043495024,664.1759026890735
2026-08-13T09:00:00-03:00,7,2062.14894734685,2040.593801726469,656.1236948467047
