origin,target_time,nominal_lead_h,baseline_m,candidate_m,anchor_h_m,anchor_q_m3_s,anchor_offset_m,past_reconstructed_q_m3_s,origin_reconstructed_q_m3_s,residual_anchor_m3_s,decayed_residual_m3_s,julho77_routed_m3_s,julho97_routed_m3_s,carreiro_routed_m3_s,local_q_m3_s,baseline_total_q_m3_s,candidate_total_q_m3_s
2026-07-01T00:00:00-03:00,2026-07-01T01:00:00-03:00,1,4.502797969511366,4.503762242282202,4.61,901.55,-0.08760339595246158,681.8905245459947,682.6695453951862,219.0752098171116,177.8751253910893,529.6832920528333,530.0012653631513,85.90016426733567,72.4739936434542,865.9325753547124,866.2505486650305
2026-07-01T00:00:00-03:00,2026-07-01T02:00:00-03:00,2,4.418716677172805,4.420653458941921,4.61,901.55,-0.08760339595246158,681.8905245459947,682.6695453951862,219.0752098171116,150.56804295618358,532.638327209968,533.2693401471969,82.96514243470646,72.20358186279832,838.3750944636563,839.0061074008852
2026-07-01T00:00:00-03:00,2026-07-01T03:00:00-03:00,3,4.344639072789667,4.347282433696701,4.61,901.55,-0.08760339595246158,681.8905245459947,682.6695453951862,219.0752098171116,127.45309671495434,534.299961214709,535.1519028379071,80.70672744765639,71.9143539205848,814.3741392979044,815.2260809211026
2026-07-01T00:00:00-03:00,2026-07-01T04:00:00-03:00,4,4.254399881752281,4.2564193310372165,4.61,901.55,-0.08760339595246158,681.8905245459947,682.6695453951862,219.0752098171116,107.8867171499248,528.3070134765601,528.9490942399875,77.68418007347938,71.61346164887416,785.4913723488385,786.1334531122659
2026-07-01T00:00:00-03:00,2026-07-01T05:00:00-03:00,5,4.167654069129796,4.166315720806222,4.61,901.55,-0.08760339595246158,681.8905245459947,682.6695453951862,219.0752098171116,91.32413442585414,518.6952196897266,518.2754260504098,76.75208096361955,71.32543620989382,758.0968712890941,757.6770776497773
2026-07-01T00:00:00-03:00,2026-07-01T06:00:00-03:00,6,4.0890490921462375,4.081678405906883,4.61,901.55,-0.08760339595246158,681.8905245459947,682.6695453951862,219.0752098171116,77.30421083293932,508.561417461566,506.2788852141252,76.69217034295934,71.03156772674701,733.5893663642116,731.3068341167709
2026-07-01T00:00:00-03:00,2026-07-01T07:00:00-03:00,7,4.027565711177895,4.011583113464237,4.61,901.55,-0.08760339595246158,681.8905245459947,682.6695453951862,219.0752098171116,65.43660172717418,501.21965862407745,496.3219984900008,77.24662489114192,70.72829427544015,714.6311795178337,709.7335193837571
2026-07-01T00:00:00-03:00,2026-07-01T08:00:00-03:00,8,3.9860269684322276,3.959549817051471,4.61,901.55,-0.08760339595246158,681.8905245459947,682.6695453951862,219.0752098171116,55.390887500998524,499.1346245265467,491.08242275740884,76.96857754526263,70.43434359959676,701.9284331724047,693.8762314032667
2026-07-01T00:00:00-03:00,2026-07-01T09:00:00-03:00,9,3.9793509467797588,3.939560207454245,4.61,901.55,-0.08760339595246158,681.8905245459947,682.6695453951862,219.0752098171116,46.887373995067186,504.6116703818991,492.53693447458255,78.10133363472585,70.29446852856248,699.8948465402545,687.820110632938
2026-07-01T00:00:00-03:00,2026-07-01T10:00:00-03:00,10,3.9968972889388352,3.9406560394543,4.61,901.55,-0.08760339595246158,681.8905245459947,682.6695453951862,219.0752098171116,39.6893052149358,515.5049176607703,498.4121325883462,79.90549010932934,70.14466405276498,705.2443770378003,688.1515919653763
2026-07-01T00:00:00-03:00,2026-07-01T11:00:00-03:00,11,4.0326438246108856,3.95417395876723,4.61,901.55,-0.08760339595246158,681.8905245459947,682.6695453951862,219.0752098171116,33.5962715380489,531.5846509581045,507.6402949402243,81.03784215180875,69.97117849034919,716.1899431383113,692.2455871204311
2026-07-01T00:00:00-03:00,2026-07-01T12:00:00-03:00,12,4.081657792061528,3.975922692854777,4.61,901.55,-0.08760339595246158,681.8905245459947,682.6695453951862,219.0752098171116,28.43862988142108,551.6142448083693,519.1652144166526,81.46972142014421,69.77785811145067,731.3004542213853,698.8514238296685
2026-07-02T21:00:00-03:00,2026-07-02T22:00:00-03:00,1,7.253426000427063,7.253563934206467,7.06,1959.36,-0.32857701505756065,1624.326409319726,1684.192187927872,290.1342567241645,235.57054829774842,1482.970584434248,1483.033369035872,248.42743309689385,79.72208553205886,2046.690651360949,2046.7534359625731
2026-07-02T21:00:00-03:00,2026-07-02T23:00:00-03:00,2,7.45498537440671,7.454955351063978,7.06,1959.36,-0.32857701505756065,1624.326409319726,1684.192187927872,290.1342567241645,199.40616405650582,1582.8442056522028,1582.8303114071157,277.0207560697546,79.93252661385735,2139.2036523923207,2139.1897581472335
2026-07-02T21:00:00-03:00,2026-07-03T00:00:00-03:00,3,7.649854317082075,7.64886639206145,7.06,1959.36,-0.32857701505756065,1624.326409319726,1684.192187927872,290.1342567241645,168.79367370437183,1677.0324203154403,1676.568058083896,304.1717722417465,80.09761890041207,2230.095485161971,2229.6311229304265
2026-07-02T21:00:00-03:00,2026-07-03T01:00:00-03:00,4,7.797235681420541,7.794527004794197,7.06,1959.36,-0.32857701505756065,1624.326409319726,1684.192187927872,290.1342567241645,142.88076006790013,1756.9188139148744,1755.6309508403288,319.7545212840703,80.22120552545216,2299.775300792297,2298.487437717751
2026-07-02T21:00:00-03:00,2026-07-03T02:00:00-03:00,5,7.90833256698065,7.903258159275615,7.06,1959.36,-0.32857701505756065,1624.326409319726,1684.192187927872,290.1342567241645,120.94595223595807,1826.4204849529115,1823.9873182678557,325.1523250374756,80.31101458207932,2352.8297768084244,2350.3966101233686
2026-07-02T21:00:00-03:00,2026-07-03T03:00:00-03:00,6,8.02404334437562,8.016231721307285,7.06,1959.36,-0.32857701505756065,1624.326409319726,1684.192187927872,290.1342567241645,102.37853826723162,1895.5539980554447,1891.7757058928512,330.261942167906,80.37391803997349,2408.5683965305557,2404.7901043679626
2026-07-02T21:00:00-03:00,2026-07-03T04:00:00-03:00,7,8.125319334554835,8.114241990143881,7.06,1959.36,-0.32857701505756065,1624.326409319726,1684.192187927872,290.1342567241645,86.66156166422596,1957.4077659398329,1952.009808775636,333.272786361257,80.4119244869392,2457.7540384522554,2452.3560812880587
2026-07-02T21:00:00-03:00,2026-07-03T05:00:00-03:00,8,8.207398359832215,8.193045501987115,7.06,1959.36,-0.32857701505756065,1624.326409319726,1684.192187927872,290.1342567241645,73.3574281992483,2007.571172305857,2000.535294152127,336.5378970302648,80.42280530981793,2497.889302845188,2490.8534246914583
2026-07-02T21:00:00-03:00,2026-07-03T06:00:00-03:00,9,8.270044841956956,8.251979870800511,7.06,1959.36,-0.32857701505756065,1624.326409319726,1684.192187927872,290.1342567241645,62.09572235563907,2048.2032662548922,2039.3080874999046,337.9824137320081,80.40466505142751,2528.686067393967,2519.790888638979
2026-07-02T21:00:00-03:00,2026-07-03T07:00:00-03:00,10,8.308093110932646,8.284955158327424,7.06,1959.36,-0.32857701505756065,1624.326409319726,1684.192187927872,290.1342567241645,52.56289416793003,2079.1397430170127,2067.7170763473464,335.398094945731,80.35867800168323,2547.459410132357,2536.0367434626905
2026-07-02T21:00:00-03:00,2026-07-03T08:00:00-03:00,11,8.346140270911231,8.316436876776741,7.06,1959.36,-0.32857701505756065,1624.326409319726,1684.192187927872,290.1342567241645,44.493529320512216,2101.122880121421,2086.421928595476,340.3849874467487,80.2828057331367,2566.2842026218186,2551.5832510958735
