nominal_lead_h,origin_trend,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,rising,reference,all,457,392,65,0.8577680525164114,366,0.9336734693877551,0.18821480593800818,-0.10478157013099243,0.4181482116802584,0.6128787745218991,1.3540766916208895
1,rising,julho_levels,all,457,392,65,0.8577680525164114,363,0.9260204081632653,0.18995439643203155,-0.10796232994298958,0.4238837326401438,0.6224884608034361,1.3363363795546643
1,rising,reference,level_ge_7m,87,72,15,0.8275862068965517,58,0.8055555555555556,0.3053924504542255,0.0029413413659670207,0.5654294629042811,1.1886910555476624,1.3540766916208895
1,rising,julho_levels,level_ge_7m,87,72,15,0.8275862068965517,56,0.7777777777777778,0.3020782996607722,0.005196179745041422,0.5679219798930809,1.1733429194295903,1.3363363795546643
1,falling,reference,all,846,663,183,0.7836879432624113,657,0.9909502262443439,0.142797961933236,0.09455720847916214,0.34031659522853025,0.4542725210941202,0.88464632998729
1,falling,julho_levels,all,846,663,183,0.7836879432624113,657,0.9909502262443439,0.14829106019655497,0.10142918349989015,0.34534075899882677,0.4606941166575538,0.8922724086285623
1,falling,reference,level_ge_7m,114,73,41,0.6403508771929824,73,1.0,0.21332369002341423,0.19835970949512147,0.42430520061336485,0.45293062504982157,0.4570533668750496
1,falling,julho_levels,level_ge_7m,114,73,41,0.6403508771929824,73,1.0,0.215106998893984,0.201146608775701,0.4206450425108091,0.4475890043047449,0.4537829580490307
1,stable,reference,all,627,537,90,0.8564593301435407,530,0.9869646182495344,0.09806639108805491,-0.027361691870034233,0.223757362858584,0.47878394270753405,0.7078068447698262
1,stable,julho_levels,all,627,537,90,0.8564593301435407,530,0.9869646182495344,0.09778207687376582,-0.026050465551118375,0.22380450815544642,0.4891743527403827,0.7052775114414715
1,stable,reference,level_ge_7m,34,19,15,0.5588235294117647,19,1.0,0.22178491748447288,0.1794043661670038,0.49217933327227853,0.4956691483068147,0.4963854172268931
1,stable,julho_levels,level_ge_7m,34,19,15,0.5588235294117647,19,1.0,0.22006326430591958,0.17826985026182746,0.488999911655316,0.49140340219511225,0.4917741345202469
1,unknown,reference,all,14,6,8,0.42857142857142855,5,0.8333333333333334,0.32450248190793757,0.29585139422953893,0.5720318504519395,0.7255322652779578,0.7639073689844622
1,unknown,julho_levels,all,14,6,8,0.42857142857142855,5,0.8333333333333334,0.33634414080583275,0.3080430680897046,0.5873972691518483,0.7359363715298994,0.773071147124412
1,unknown,reference,level_ge_7m,2,1,1,0.5,0,0.0,0.7639073689844622,0.7639073689844622,0.7639073689844622,0.7639073689844622,0.7639073689844622
1,unknown,julho_levels,level_ge_7m,2,1,1,0.5,0,0.0,0.773071147124412,0.773071147124412,0.773071147124412,0.773071147124412,0.773071147124412
2,rising,reference,all,456,391,65,0.8574561403508771,324,0.8286445012787724,0.2753241548747659,-0.13617384869661692,0.6307547449656274,0.9434787282875597,2.1591250166535616
