observed_cluster_id,nominal_lead_h,first_exceedance_at,complete_observed_cluster,independence_certified,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
a801ac814e2dfee4fc14bea5,5,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,114,21,0.8444444444444444,36,0.3157894736842105,1.0374274544587123,0.3027373178396353,1.8484706363332182,3.2885397269106704,4.023604409822896
a801ac814e2dfee4fc14bea5,5,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,114,21,0.8444444444444444,37,0.32456140350877194,1.0005025556082456,0.35445618190136885,1.7972960108409748,2.8445680085675913,3.210054029360098
a801ac814e2dfee4fc14bea5,6,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,115,20,0.8518518518518519,32,0.2782608695652174,1.205289036170375,0.36885326115377565,2.350597153266909,3.9411397603609437,4.815243764623784
a801ac814e2dfee4fc14bea5,6,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,115,20,0.8518518518518519,26,0.22608695652173913,1.165940288326503,0.42203933671014643,2.2291054583885574,3.4454871684490582,4.190778631942209
a801ac814e2dfee4fc14bea5,7,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,116,19,0.8592592592592593,23,0.19827586206896552,1.3603476457027668,0.36383054363848627,2.74548783803923,4.423087677947193,5.691324727293669
a801ac814e2dfee4fc14bea5,7,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,116,19,0.8592592592592593,20,0.1724137931034483,1.304452722660912,0.439003463816293,2.623775481272501,3.4802778958805436,4.913469515100857
a801ac814e2dfee4fc14bea5,8,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,117,18,0.8666666666666667,22,0.18803418803418803,1.5061752348550794,0.34161336596648767,3.116629024747043,5.270088342549015,6.120423180923719
a801ac814e2dfee4fc14bea5,8,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,117,18,0.8666666666666667,18,0.15384615384615385,1.4420491271307294,0.4320191802457396,2.9128341911161604,4.223771258389225,5.290344913970436
a801ac814e2dfee4fc14bea5,9,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,118,17,0.8740740740740741,18,0.15254237288135594,1.7053079906074622,0.23605517077502458,3.449567520211781,6.565346509062235,7.366754135676329
a801ac814e2dfee4fc14bea5,9,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,118,17,0.8740740740740741,17,0.1440677966101695,1.6314263456919655,0.3446430037396971,3.1377558767569407,5.5864427720844825,6.286673602768847
