id,rede,nome,subbacia,registros_hoje,ultima_leitura,atraso_min,chuva_campo20,acumulado_campo21,nivel_campo45,codigo_usa_fonte_ANA_na_previsao_12h,telemetria_SIGMA_direta_na_previsao_12h,fonte
02851072,sgb_cprm,SGB/CPRM - Ibiraiaras (837 m),Carreiro,56,2026-09-21T13:45:00-03:00,43.6,0.0,0.0,0.06,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/02851072.txt
86472000,sgb_cprm,SGB/CPRM - Linha José Júlio (82 m),Baixo Antas,55,2026-09-21T13:30:00-03:00,58.6,9.0,134.0,-999.9,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/86472000.txt
86472600,sgb_cprm,SGB/CPRM - Santa Tereza (74 m),Baixo Antas,56,2026-09-21T13:45:00-03:00,43.6,1.4,159.6,-999.9,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/86472600.txt
B859,inmet,INMET - MUCUM (197 m),Baixo Antas,15,2026-09-21T14:00:00-03:00,28.6,3.4,128.5,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/B859.txt
A840,inmet,INMET - BENTO GONCALVES (639 m),Baixo Antas,15,2026-09-21T14:00:00-03:00,28.6,2.6,131.9,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/A840.txt
B856,inmet,INMET - BOM JESUS (INMET) (1054 m),Alto Antas,9,2026-09-21T12:00:00-03:00,148.6,5.7,6.3,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/B856.txt
B858,inmet,INMET - CASCA (602 m),Carreiro,15,2026-09-21T14:00:00-03:00,28.6,7.6,70.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/B858.txt
A829,inmet,INMET - SAO JOSE DOS AUSENTES (1229 m),Alto Antas,10,2026-09-21T14:00:00-03:00,28.6,10.6,104.4,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/A829.txt
B817,inmet,INMET - CAXIAS DO SUL - CRIUVA (857 m),Alto Antas,15,2026-09-21T14:00:00-03:00,28.6,12.7,133.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/B817.txt
67ad4ee435fc1a62c31c72d3,ambient_weather,Lavoura ,Prata-Turvo,419,2026-09-21T14:25:00-03:00,3.6,13.0,13.0,,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/67ad4ee435fc1a62c31c72d3.txt
