phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,hybrid_hits,hits_delta,reference_mae_m,hybrid_mae_m,mae_m_delta,reference_bias_m,hybrid_bias_m,bias_m_delta,reference_p98_abs_m,hybrid_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,hybrid_max_abs_m,max_abs_m_delta
test,A,2,complete24,all,mixed_profile_candidate,primary_tree_only,1348,1348,0,1326,1329,3,0.0816756776076114,0.08844959365184986,0.006773916044238465,0.012725536496433798,0.010209906260154375,-0.0025156302362794227,0.41502423933591587,0.442166382193428,0.027142142857512153,0.9929772418768914,1.0027194386550413,0.009742196778149914
test,A,2,complete24,all,profile_A_control,matching_profile,1348,1348,0,1344,1329,-15,0.05291251719277879,0.08844959365184986,0.03553707645907107,0.005210753638610464,0.010209906260154375,0.004999152621543911,0.2678823640126271,0.442166382193428,0.17428401818080091,0.6439704232183767,1.0027194386550413,0.3587490154366646
test,A,2,complete24,all,profile_B_control,cross_profile,1348,1348,0,1314,1329,15,0.10562542625149562,0.08844959365184986,-0.017175832599645766,0.013599392780654565,0.010209906260154375,-0.0033894865205001904,0.5244956615891607,0.442166382193428,-0.0823292793957327,1.189884159398604,1.0027194386550413,-0.18716472074356272
test,A,2,complete24,level_ge_7m,mixed_profile_candidate,primary_tree_only,143,143,0,142,142,0,0.08185628634492033,0.0954173784248843,0.013561092079963977,-0.0026010805416226013,-0.0028571515025372233,-0.0002560709609146219,0.3904999810928229,0.4647481826247284,0.07424820153190548,0.5127623059546487,0.5155101092680141,0.002747803313365438
test,A,2,complete24,level_ge_7m,profile_A_control,matching_profile,143,143,0,142,142,0,0.09258772384609314,0.0954173784248843,0.0028296545787911687,0.00046605102477010745,-0.0028571515025372233,-0.0033232025273073305,0.40353061655940614,0.4647481826247284,0.06121756606532225,0.5105362240356985,0.5155101092680141,0.004973885232315567
test,A,2,complete24,level_ge_7m,profile_B_control,cross_profile,143,143,0,142,142,0,0.09340529719708594,0.0954173784248843,0.0020120812277983624,0.0018082555762108032,-0.0028571515025372233,-0.004665407078748026,0.4370129997258335,0.4647481826247284,0.027735182898894872,0.5901278640543755,0.5155101092680141,-0.07461775478636135
test,A,2,missing24,all,mixed_profile_candidate,primary_tree_only,595,588,7,569,572,3,0.10094189433144085,0.0789753190505879,-0.021966575280852954,0.008331822640901286,0.011979655467416616,0.0036478328265153303,0.5849392272179951,0.5695804973189786,-0.015358729899016432,2.35798379080882,1.1029253811259956,-1.2550584096828246
test,A,2,missing24,all,profile_A_control,matching_profile,595,588,7,571,572,1,0.09175555328130948,0.0789753190505879,-0.012780234230721582,0.0009685546115011541,0.011979655467416616,0.011011100855915463,0.5988592895886679,0.5695804973189786,-0.029278792269689213,2.430986906354253,1.1029253811259956,-1.3280615252282573
test,A,2,missing24,all,profile_B_control,cross_profile,595,588,7,551,572,21,0.1333967037510656,0.0789753190505879,-0.05442138470047771,0.010054634163160905,0.011979655467416616,0.0019250213042557116,0.9528656726090782,0.5695804973189786,-0.38328517529009953,2.3364175247165386,1.1029253811259956,-1.233492143590543
test,A,2,missing24,level_ge_7m,mixed_profile_candidate,primary_tree_only,94,93,1,83,86,3,0.21336984235694337,0.1290612773472067,-0.08430856500973666,-0.037857975798076655,-0.007124070705626297,0.03073390509245036,1.6788703707329549,0.818193241286154,-0.8606771294468009,2.35798379080882,1.1029253811259956,-1.2550584096828246
test,A,2,missing24,level_ge_7m,profile_A_control,matching_profile,94,93,1,83,86,3,0.2180535194506631,0.1290612773472067,-0.08899224210345638,-0.039319656213811505,-0.007124070705626297,0.03219558550818521,1.8158908988349143,0.818193241286154,-0.9976976575487603,2.430986906354253,1.1029253811259956,-1.3280615252282573
test,A,2,missing24,level_ge_7m,profile_B_control,cross_profile,94,93,1,84,86,2,0.20108135711260836,0.1290612773472067,-0.07202007976540165,-0.055474453537675494,-0.007124070705626297,0.0483503828320492,1.669041187228837,0.818193241286154,-0.8508479459426831,2.3364175247165386,1.1029253811259956,-1.233492143590543
test,A,3,full_schedule,all,mixed_profile_candidate,primary_tree_only,1942,1933,9,1869,1883,14,0.11088536147545171,0.10754173650608881,-0.003343624969362899,0.004151087743485489,0.0064756050413504965,0.0023245172978650077,0.6587297068125985,0.5353186960230248,-0.12341101078957362,3.5417724438313964,1.7044724619281792,-1.8372999819032172
test,A,3,full_schedule,all,profile_A_control,matching_profile,1942,1933,9,1896,1883,-13,0.08858410963828463,0.10754173650608881,0.01895762686780418,-0.006493224276664247,0.0064756050413504965,0.012968829318014744,0.4833709219661626,0.5353186960230248,0.05194777405686224,3.8502978392165037,1.7044724619281792,-2.1458253772883245
test,A,3,full_schedule,all,profile_B_control,cross_profile,1942,1933,9,1851,1883,32,0.1347115076083067,0.10754173650608881,-0.027169771102217882,0.0013764610817187943,0.0064756050413504965,0.005099143959631703,0.7157064412809331,0.5353186960230248,-0.18038774525790824,3.591469992707828,1.7044724619281792,-1.8869975307796487
test,A,3,full_schedule,level_ge_7m,mixed_profile_candidate,primary_tree_only,237,236,1,211,219,8,0.23103349561199366,0.17371479796714578,-0.05731869764484787,-0.04770049302095064,-0.00045603608330315587,0.047244456937647485,1.4343554446068412,0.7275656142737194,-0.7067898303331218,3.5417724438313964,1.7044724619281792,-1.8372999819032172
test,A,3,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,210,219,9,0.2532196871530062,0.17371479796714578,-0.0795048891858604,-0.059558642560117205,-0.00045603608330315587,0.05910260647681405,1.6407855388564219,0.7275656142737194,-0.9132199245827025,3.8502978392165037,1.7044724619281792,-2.1458253772883245
test,A,3,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,211,219,8,0.22939160313662513,0.17371479796714578,-0.05567680516947934,-0.049539724936621565,-0.00045603608330315587,0.04908368885331841,1.4559494306676029,0.7275656142737194,-0.7283838163938835,3.591469992707828,1.7044724619281792,-1.8869975307796487
test,A,3,complete24,all,mixed_profile_candidate,primary_tree_only,1346,1346,0,1321,1323,2,0.09353934393409843,0.1045334402279174,0.010994096293818964,0.005249048832444129,0.0017407401979118477,-0.0035083086345322817,0.40826632419709485,0.471690475626447,0.06342415142935215,1.0753632970139049,1.1574490212912254,0.08208572427732053
test,A,3,complete24,all,profile_A_control,matching_profile,1346,1346,0,1337,1323,-14,0.06676184143982879,0.1045334402279174,0.03777159878808861,0.0008533600840207653,0.0017407401979118477,0.0008873801138910823,0.3472407943730499,0.471690475626447,0.12444968125339712,0.9541938231108986,1.1574490212912254,0.20325519818032678
test,A,3,complete24,all,profile_B_control,cross_profile,1346,1346,0,1315,1323,8,0.11894199675714617,0.1045334402279174,-0.014408556529228775,0.007555344036208855,0.0017407401979118477,-0.005814603838297007,0.5225955024622742,0.471690475626447,-0.05090502683582715,1.1076891363066506,1.1574490212912254,0.04975988498457484
test,A,3,complete24,level_ge_7m,mixed_profile_candidate,primary_tree_only,142,142,0,135,135,0,0.1444212101017265,0.15746125135732333,0.013040041255596824,-0.010512252389214603,0.008216775398348522,0.018729027787563125,0.6473228658122127,0.5597919813941193,-0.08753088441809331,0.8009367996348562,0.6897280505577541,-0.1112087490771021
test,A,3,complete24,level_ge_7m,profile_A_control,matching_profile,142,142,0,136,135,-1,0.15419241973272838,0.15746125135732333,0.003268831624594959,-0.009339708535082389,0.008216775398348522,0.01755648393343091,0.7465230322859905,0.5597919813941193,-0.18673105089187114,0.9541938231108986,0.6897280505577541,-0.2644657725531445
test,A,3,complete24,level_ge_7m,profile_B_control,cross_profile,142,142,0,136,135,-1,0.1476928718663916,0.15746125135732333,0.009768379490931733,-0.003641382097772714,0.008216775398348522,0.011858157496121235,0.6821020741011882,0.5597919813941193,-0.12231009270706883,0.7451468353396038,0.6897280505577541,-0.055418784781849695
test,A,3,missing24,all,mixed_profile_candidate,primary_tree_only,596,587,9,548,560,12,0.15066004565034355,0.11443980599572887,-0.03622023965461468,0.0016334461323469335,0.01733272272323878,0.015699276590891847,0.9082153699331775,0.8078428157720638,-0.10037255416111368,3.5417724438313964,1.7044724619281792,-1.8372999819032172
test,A,3,missing24,all,profile_A_control,matching_profile,596,587,9,559,560,1,0.13862290520067225,0.11443980599572887,-0.02418309920494338,-0.0233390548549982,0.01733272272323878,0.04067177757823698,0.8135732498407686,0.8078428157720638,-0.005730434068704771,3.8502978392165037,1.7044724619281792,-2.1458253772883245
test,A,3,missing24,all,profile_B_control,cross_profile,596,587,9,536,560,24,0.17087123777127447,0.11443980599572887,-0.056431431775545604,-0.01279181226878141,0.01733272272323878,0.03012453499202019,0.9869612549858086,0.8078428157720638,-0.1791184392137447,3.591469992707828,1.7044724619281792,-1.8869975307796487
test,A,3,missing24,level_ge_7m,mixed_profile_candidate,primary_tree_only,95,94,1,76,84,8,0.36187333117005677,0.19826802795219664,-0.16360530321786013,-0.10387847354974337,-0.013557517257713139,0.09032095629203024,2.9191550411005736,1.1971535878412296,-1.722001453259344,3.5417724438313964,1.7044724619281792,-1.8372999819032172
test,A,3,missing24,level_ge_7m,profile_A_control,matching_profile,95,94,1,74,84,10,0.4028140698517237,0.19826802795219664,-0.20454604189952705,-0.1354212875766592,-0.013557517257713139,0.12186377031894606,3.183904606204276,1.1971535878412296,-1.9867510183630466,3.8502978392165037,1.7044724619281792,-2.1458253772883245
test,A,3,missing24,level_ge_7m,profile_B_control,cross_profile,95,94,1,75,84,9,0.3528088354810204,0.19826802795219664,-0.15454080752882374,-0.11887551943786133,-0.013557517257713139,0.1053180021801482,2.935300043269788,1.1971535878412296,-1.7381464554285584,3.591469992707828,1.7044724619281792,-1.8869975307796487
test,A,4,full_schedule,all,mixed_profile_candidate,primary_tree_only,1941,1931,10,1864,1857,-7,0.13045457157932483,0.12654645947675466,-0.003908112102570166,-0.006074819548535502,-0.0017033928531549243,0.004371426695380578,0.6623708958096728,0.6293607302922248,-0.033010165517447954,4.7455033562984505,2.524798278141498,-2.2207050781569526
test,A,4,full_schedule,all,profile_A_control,matching_profile,1941,1931,10,1878,1857,-21,0.11497979365427792,0.12654645947675466,0.011566665822476743,-0.0066789439994183655,-0.0017033928531549243,0.004975551146263441,0.6314555948257827,0.6293607302922248,-0.002094864533557894,4.579107233006882,2.524798278141498,-2.054308954865384
test,A,4,full_schedule,all,profile_B_control,cross_profile,1941,1931,10,1857,1857,0,0.14274974733421603,0.12654645947675466,-0.016203287857461363,-0.008595849826159976,-0.0017033928531549243,0.006892456973005052,0.6845921962755657,0.6293607302922248,-0.05523146598334083,4.745916441945315,2.524798278141498,-2.2211181638038173
test,A,4,full_schedule,level_ge_7m,mixed_profile_candidate,primary_tree_only,237,236,1,199,200,1,0.36092812417098286,0.26300593381205245,-0.0979221903589304,-0.10023364114723851,-0.03173669396998269,0.06849694717725582,2.3151663431946967,1.2384803742231012,-1.0766859689715955,4.7455033562984505,2.524798278141498,-2.2207050781569526
test,A,4,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,199,200,1,0.34447883082737046,0.26300593381205245,-0.08147289701531801,-0.0846524882924419,-0.03173669396998269,0.052915794322459214,2.1717562253460576,1.2384803742231012,-0.9332758511229564,4.579107233006882,2.524798278141498,-2.054308954865384
test,A,4,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,201,200,-1,0.35548726889395527,0.26300593381205245,-0.09248133508190282,-0.10532369205205049,-0.03173669396998269,0.0735869980820678,2.333211396248645,1.2384803742231012,-1.0947310220255437,4.745916441945315,2.524798278141498,-2.2211181638038173
test,A,4,complete24,all,mixed_profile_candidate,primary_tree_only,1345,1345,0,1319,1299,-20,0.10483660663078839,0.12164098263832426,0.01680437600753587,0.003973479744191185,-0.005925196965696379,-0.009898676709887564,0.4957601626034169,0.579868248013714,0.08410808541029707,1.1275417261449672,1.272853284057355,0.1453115579123878
test,A,4,complete24,all,profile_A_control,matching_profile,1345,1345,0,1327,1299,-28,0.08960267220847443,0.12164098263832426,0.03203831042984984,0.0048495547602637355,-0.005925196965696379,-0.010774751725960114,0.43281041448884344,0.579868248013714,0.1470578335248705,1.0126687812034216,1.272853284057355,0.26018450285393335
test,A,4,complete24,all,profile_B_control,cross_profile,1345,1345,0,1319,1299,-20,0.1189519069614705,0.12164098263832426,0.0026890756768537666,-0.00036699678096311207,-0.005925196965696379,-0.005558200184733267,0.4960147081108131,0.579868248013714,0.08385353990290084,1.11492535080016,1.272853284057355,0.157927933257195
test,A,4,complete24,level_ge_7m,mixed_profile_candidate,primary_tree_only,141,141,0,127,119,-8,0.21817461329975182,0.24546827192376316,0.02729365862401134,-0.005596108087970437,-0.02709960526359441,-0.02150349717562397,0.9707681531764454,0.8089110139368053,-0.16185713923964007,1.1275417261449672,1.272853284057355,0.1453115579123878
test,A,4,complete24,level_ge_7m,profile_A_control,matching_profile,141,141,0,129,119,-10,0.21401654763344402,0.24546827192376316,0.031451724290319144,-0.014772773930388377,-0.02709960526359441,-0.012326831333206032,0.8610170378343888,0.8089110139368053,-0.05210602389758345,1.0126687812034216,1.272853284057355,0.26018450285393335
test,A,4,complete24,level_ge_7m,profile_B_control,cross_profile,141,141,0,129,119,-10,0.21542542670658452,0.24546827192376316,0.03004284521717865,-0.02632521716014023,-0.02709960526359441,-0.0007743881034541801,0.8142006315275215,0.8089110139368053,-0.005289617590716222,1.11492535080016,1.272853284057355,0.157927933257195
test,A,4,missing24,all,mixed_profile_candidate,primary_tree_only,596,586,10,545,558,13,0.18925348430250144,0.1378056170666674,-0.05144786723583403,-0.02913789557023754,0.00798658416283186,0.0371244797330694,1.303990659513822,0.7361867427452808,-0.5678039167685411,4.7455033562984505,2.524798278141498,-2.2207050781569526
test,A,4,missing24,all,profile_A_control,matching_profile,596,586,10,551,558,7,0.17322591710923643,0.1378056170666674,-0.03542030004256902,-0.03313940616967849,0.00798658416283186,0.041125990332510354,1.1060064429972427,0.7361867427452808,-0.36981970025196187,4.579107233006882,2.524798278141498,-2.054308954865384
test,A,4,missing24,all,profile_B_control,cross_profile,596,586,10,538,558,20,0.19737107037405,0.1378056170666674,-0.05956545330738258,-0.02748289307836097,0.00798658416283186,0.03546947724119283,1.2059032491950852,0.7361867427452808,-0.46971650644980434,4.745916441945315,2.524798278141498,-2.2211181638038173
test,A,4,missing24,level_ge_7m,mixed_profile_candidate,primary_tree_only,96,95,1,72,81,9,0.5728043876745994,0.2890355161936186,-0.2837688714809808,-0.24069566389836267,-0.03861910983946424,0.20207655405889843,3.92262320661903,2.0815796166651666,-1.8410435899538635,4.7455033562984505,2.524798278141498,-2.2207050781569526
test,A,4,missing24,level_ge_7m,profile_A_control,matching_profile,96,95,1,70,81,11,0.5381123248309875,0.2890355161936186,-0.24907680863736886,-0.1883686959245424,-0.03861910983946424,0.14974958608507816,3.732097286452388,2.0815796166651666,-1.6505176697872215,4.579107233006882,2.524798278141498,-2.054308954865384
test,A,4,missing24,level_ge_7m,profile_B_control,cross_profile,96,95,1,72,81,9,0.5633685294036319,0.2890355161936186,-0.2743330132100133,-0.22257406004951727,-0.03861910983946424,0.18395495021005304,3.911908739871886,2.0815796166651666,-1.8303291232067194,4.745916441945315,2.524798278141498,-2.2211181638038173
test,A,5,full_schedule,all,mixed_profile_candidate,primary_tree_only,1940,1929,11,1845,1840,-5,0.1592206798094355,0.15506749817240917,-0.004153181637026326,-0.012761179648897093,-0.003643424297646922,0.009117755351250171,0.807484587166888,0.7022363731626636,-0.10524821400422435,5.4406707406415205,3.135079294508719,-2.3055914461328015
test,A,5,full_schedule,all,profile_A_control,matching_profile,1940,1929,11,1856,1840,-16,0.1529170486007049,0.15506749817240917,0.002150449571704266,-0.014256550282812017,-0.003643424297646922,0.010613125985165095,0.8160040983192122,0.7022363731626636,-0.11376772515654854,5.585721334594157,3.135079294508719,-2.4506420400854383
test,A,5,full_schedule,all,profile_B_control,cross_profile,1940,1929,11,1838,1840,2,0.16570596013149794,0.15506749817240917,-0.010638461959088769,-0.021350561904082434,-0.003643424297646922,0.01770713760643551,0.8906871392823486,0.7022363731626636,-0.18845076611968492,5.577554864047173,3.135079294508719,-2.4424755695384537
test,A,5,full_schedule,level_ge_7m,mixed_profile_candidate,primary_tree_only,237,236,1,178,179,1,0.4876970563733857,0.3612412512673785,-0.12645580510600718,-0.12348052797019198,-0.03926052981650138,0.08421999815369059,3.195954585959318,1.4953307576735317,-1.7006238282857862,5.4406707406415205,3.135079294508719,-2.3055914461328015
test,A,5,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,182,179,-3,0.48868542525858694,0.3612412512673785,-0.12744417399120844,-0.12688934444571706,-0.03926052981650138,0.08762881462921568,3.2389097868595345,1.4953307576735317,-1.7435790291860027,5.585721334594157,3.135079294508719,-2.4506420400854383
test,A,5,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,176,179,3,0.493738860571485,0.3612412512673785,-0.13249760930410653,-0.14334329978595828,-0.03926052981650138,0.1040827699694569,3.3334525282887677,1.4953307576735317,-1.838121770615236,5.577554864047173,3.135079294508719,-2.4424755695384537
test,A,5,complete24,all,mixed_profile_candidate,primary_tree_only,1344,1344,0,1304,1282,-22,0.13267683454329443,0.1519856439863997,0.019308809443105257,-0.0004638474509651317,-0.004568646837919963,-0.004104799386954831,0.576868627167878,0.6676929293115055,0.09082430214362747,1.3596246628316564,1.5588759636447715,0.19925130081311515
test,A,5,complete24,all,profile_A_control,matching_profile,1344,1344,0,1312,1282,-30,0.1266830212115693,0.1519856439863997,0.02530262277483039,0.0028053367910027918,-0.004568646837919963,-0.007373983628922755,0.5729876561764257,0.6676929293115055,0.09470527313507981,1.4578522016392146,1.5588759636447715,0.10102376200555696
test,A,5,complete24,all,profile_B_control,cross_profile,1344,1344,0,1295,1282,-13,0.1382361068760217,0.1519856439863997,0.01374953711037799,-0.005357143374495761,-0.004568646837919963,0.0007884965365757982,0.663436915853125,0.6676929293115055,0.004256013458380448,1.234264047949761,1.5588759636447715,0.32461191569501047
test,A,5,complete24,level_ge_7m,mixed_profile_candidate,primary_tree_only,140,140,0,115,100,-15,0.31275314952584227,0.3362972350551206,0.023544085529278336,-0.0020146009257633133,-0.010208505284238426,-0.008193904358475113,1.1453387088641647,1.119055799991023,-0.026282908873141775,1.3596246628316564,1.5588759636447715,0.19925130081311515
test,A,5,complete24,level_ge_7m,profile_A_control,matching_profile,140,140,0,118,100,-18,0.3127618528913069,0.3362972350551206,0.02353538216381368,-0.0023221195332066963,-0.010208505284238426,-0.007886385751031729,1.1292140231818888,1.119055799991023,-0.0101582231908659,1.4578522016392146,1.5588759636447715,0.10102376200555696
test,A,5,complete24,level_ge_7m,profile_B_control,cross_profile,140,140,0,111,100,-11,0.311579229058022,0.3362972350551206,0.024718005997098613,-0.011953739147684488,-0.010208505284238426,0.0017452338634460617,1.1322539613127491,1.119055799991023,-0.013198161321726243,1.234264047949761,1.5588759636447715,0.32461191569501047
test,A,5,missing24,all,mixed_profile_candidate,primary_tree_only,596,585,11,541,558,17,0.22020346277985176,0.16214786061001046,-0.05805560216984129,-0.04101351208312027,-0.0015177848205068067,0.03949572726261346,1.7639979112868258,0.712904429765536,-1.0510934815212898,5.4406707406415205,3.135079294508719,-2.3055914461328015
test,A,5,missing24,all,profile_A_control,matching_profile,596,585,11,544,558,14,0.21318804485882156,0.16214786061001046,-0.0510401842488111,-0.053455142124191696,-0.0015177848205068067,0.051937357303684886,1.5959644326537663,0.712904429765536,-0.8830600028882303,5.585721334594157,3.135079294508719,-2.4506420400854383
test,A,5,missing24,all,profile_B_control,cross_profile,596,585,11,543,558,15,0.2288161870979254,0.16214786061001046,-0.06666832648791493,-0.05809441575667132,-0.0015177848205068067,0.05657663093616451,1.7958234491853222,0.712904429765536,-1.0829190194197862,5.577554864047173,3.135079294508719,-2.4424755695384537
