phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,hybrid_hits,hits_delta,reference_mae_m,hybrid_mae_m,mae_m_delta,reference_bias_m,hybrid_bias_m,bias_m_delta,reference_p98_abs_m,hybrid_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,hybrid_max_abs_m,max_abs_m_delta
test,A,1,full_schedule,all,mixed_profile_candidate,primary_tree_only,1944,1939,5,1933,1936,3,0.04783750593944735,0.04339364762779993,-0.004443858311647418,0.0016042383445942052,0.001126962630680864,-0.0004772757139133411,0.30354887951476256,0.2626729871379985,-0.040875892376764034,1.141419228155974,0.9270085216329988,-0.21441070652297523
test,A,1,full_schedule,all,profile_A_control,matching_profile,1944,1939,5,1933,1936,3,0.0371222429682849,0.04339364762779993,0.006271404659515027,0.00031574249549438574,0.001126962630680864,0.0008112201351864784,0.21510511095232232,0.2626729871379985,0.047567876185676206,1.2985394062094997,0.9270085216329988,-0.37153088457650085
test,A,1,full_schedule,all,profile_B_control,cross_profile,1944,1939,5,1912,1936,24,0.06303231581576944,0.04339364762779993,-0.019638668187969513,0.00544372362743687,0.001126962630680864,-0.004316760996756006,0.40312457464527224,0.2626729871379985,-0.1404515875072737,1.1376505785463262,0.9270085216329988,-0.21064205691332738
test,A,1,full_schedule,level_ge_7m,mixed_profile_candidate,primary_tree_only,237,236,1,231,233,2,0.07625871051660717,0.05735259308271931,-0.018906117433887856,0.005757975327753496,0.007838811479446407,0.0020808361516929117,0.4563071747801155,0.38359569873347404,-0.07271147604664147,1.141419228155974,0.9270085216329988,-0.21441070652297523
test,A,1,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,230,233,3,0.08365381495683401,0.05735259308271931,-0.026301221874114697,0.004328512216800681,0.007838811479446407,0.003510299262645726,0.5373691728450916,0.38359569873347404,-0.15377347411161751,1.2985394062094997,0.9270085216329988,-0.37153088457650085
test,A,1,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,231,233,2,0.0775943146177403,0.05735259308271931,-0.02024172153502099,-0.0030883871545847098,0.007838811479446407,0.010927198634031117,0.4773267779115205,0.38359569873347404,-0.09373107917804646,1.1376505785463262,0.9270085216329988,-0.21064205691332738
test,A,1,complete24,all,mixed_profile_candidate,primary_tree_only,1350,1350,0,1350,1350,0,0.04312327604488985,0.042481120539532964,-0.0006421555053568867,0.0010444003423434212,-0.0007287430486729236,-0.0017731433910163448,0.26588508970708497,0.23927491028152414,-0.02661017942556082,0.4769284998001275,0.4144015818014508,-0.06252691799867671
test,A,1,complete24,all,profile_A_control,matching_profile,1350,1350,0,1350,1350,0,0.0304847864407132,0.042481120539532964,0.011996334098819766,0.0010034537392053463,-0.0007287430486729236,-0.0017321967878782699,0.16552146689464775,0.23927491028152414,0.0737534433868764,0.4271823756500037,0.4144015818014508,-0.012780793848552907
test,A,1,complete24,all,profile_B_control,cross_profile,1350,1350,0,1337,1350,13,0.05900560993384436,0.042481120539532964,-0.016524489394311392,0.005716792611886191,-0.0007287430486729236,-0.006445535660559115,0.3787469497620109,0.23927491028152414,-0.13947203948048675,0.6468784824758886,0.4144015818014508,-0.23247690067443783
test,A,1,complete24,level_ge_7m,mixed_profile_candidate,primary_tree_only,144,144,0,144,144,0,0.04882486232682682,0.04300901457822262,-0.0058158477486041985,0.006183181671581168,2.594809325963861e-05,-0.006157233578321529,0.3025030817446567,0.22947810139738778,-0.0730249803472689,0.3813849950539048,0.3019052016470454,-0.0794797934068594
test,A,1,complete24,level_ge_7m,profile_A_control,matching_profile,144,144,0,144,144,0,0.055442801166581394,0.04300901457822262,-0.012433786588358774,0.00919925049033519,2.594809325963861e-05,-0.00917330239707555,0.24315126317165353,0.22947810139738778,-0.013673161774265752,0.41233080449643644,0.3019052016470454,-0.11042560284939107
test,A,1,complete24,level_ge_7m,profile_B_control,cross_profile,144,144,0,144,144,0,0.058889196649375565,0.04300901457822262,-0.015880182071152944,-0.0003785530509610477,2.594809325963861e-05,0.0004045011442206863,0.3782499166329646,0.22947810139738778,-0.1487718152355768,0.4303116973062888,0.3019052016470454,-0.12840649565924345
test,A,1,missing24,all,mixed_profile_candidate,primary_tree_only,594,589,5,583,586,3,0.05864261690320395,0.04548517830549163,-0.013157438597712318,0.0028873984516206205,0.005380277855006185,0.0024928794033855645,0.3450497054481585,0.3133265046729254,-0.03172320077523311,1.141419228155974,0.9270085216329988,-0.21441070652297523
test,A,1,missing24,all,profile_A_control,matching_profile,594,589,5,583,586,3,0.05233542855779558,0.04548517830549163,-0.006850250252303944,-0.001260505686186085,0.005380277855006185,0.00664078354119227,0.30304356193663556,0.3133265046729254,0.010282942736289824,1.2985394062094997,0.9270085216329988,-0.37153088457650085
test,A,1,missing24,all,profile_B_control,cross_profile,594,589,5,575,586,11,0.07226160773529214,0.04548517830549163,-0.026776429429800505,0.004817843951704128,0.005380277855006185,0.0005624339033020566,0.549141731456145,0.3133265046729254,-0.2358152267832196,1.1376505785463262,0.9270085216329988,-0.21064205691332738
test,A,1,missing24,level_ge_7m,mixed_profile_candidate,primary_tree_only,93,92,1,87,89,2,0.11919864681365469,0.07980341161149673,-0.03939523520215796,0.005092434963501487,0.020067641127390914,0.014975206163889428,0.8242910444531536,0.7076814202885171,-0.1166096241646365,1.141419228155974,0.9270085216329988,-0.21441070652297523
test,A,1,missing24,level_ge_7m,profile_A_control,matching_profile,93,92,1,86,89,3,0.1278101843676642,0.07980341161149673,-0.048006772756167465,-0.003295252037427247,0.020067641127390914,0.023362893164818162,0.9799900488125015,0.7076814202885171,-0.2723086285239844,1.2985394062094997,0.9270085216329988,-0.37153088457650085
test,A,1,missing24,level_ge_7m,profile_B_control,cross_profile,93,92,1,87,89,2,0.10687189056822423,0.07980341161149673,-0.027068478956727496,-0.007329866621126094,0.020067641127390914,0.027397507748517007,0.8088713084859145,0.7076814202885171,-0.10118988819739738,1.1376505785463262,0.9270085216329988,-0.21064205691332738
test,A,2,full_schedule,all,mixed_profile_candidate,primary_tree_only,1943,1936,7,1895,1901,6,0.0875271938439811,0.08557207636592938,-0.0019551174780517155,0.011391082081633634,0.010747412734260884,-0.0006436693473727498,0.5088748763256037,0.48313259660113356,-0.02574227972447013,2.35798379080882,1.1029253811259956,-1.2550584096828246
test,A,2,full_schedule,all,profile_A_control,matching_profile,1943,1936,7,1915,1901,-14,0.06470988559156808,0.08557207636592938,0.0208621907743613,0.0039223171572363566,0.010747412734260884,0.006825095577024528,0.3688797265165805,0.48313259660113356,0.11425287008455304,2.430986906354253,1.1029253811259956,-1.3280615252282573
test,A,2,full_schedule,all,profile_B_control,cross_profile,1943,1936,7,1865,1901,36,0.11406009111190221,0.08557207636592938,-0.02848801474597283,0.01252278220881248,0.010747412734260884,-0.0017753694745515965,0.6898452617630729,0.48313259660113356,-0.20671266516193937,2.3364175247165386,1.1029253811259956,-1.233492143590543
test,A,2,full_schedule,level_ge_7m,mixed_profile_candidate,primary_tree_only,237,236,1,225,228,3,0.13368154358694637,0.10867535554257916,-0.025006188044367203,-0.016494687570648987,-0.004538606951212155,0.011956080619436833,0.7447002771129736,0.6316154308625884,-0.11308484625038517,2.35798379080882,1.1029253811259956,-1.2550584096828246
test,A,2,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,225,228,3,0.1420297534699279,0.10867535554257916,-0.03335439792734875,-0.01521221496331502,-0.004538606951212155,0.010673608012102865,0.6927020057861919,0.6316154308625884,-0.061086574923603476,2.430986906354253,1.1029253811259956,-1.3280615252282573
test,A,2,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,226,228,2,0.13583696487566047,0.10867535554257916,-0.027161609333081302,-0.020765015388159645,-0.004538606951212155,0.01622640843694749,0.7101871283579573,0.6316154308625884,-0.07857169749536885,2.3364175247165386,1.1029253811259956,-1.233492143590543
