profile,rank,origin,target_time,base_m,actual_m,hybrid_m,mixed_tree_only_m,linear_delta_m,residual_tree_delta_m,ridge_intercept_m,missing_slope_columns,mucum_dH1_m_per_nominal_hour,hybrid_error_m,mixed_error_m
A,1,2026-07-21T16:00:00-03:00,2026-07-22T04:00:00-03:00,3.27,14.49,5.498097247272776,6.697199660478195,0.6688811521124722,1.5592160951603034,0.06835092348284962,"19,20,21,22,23",-0.14000000000000012,-8.991902752727224,-7.792800339521805
A,2,2026-07-21T14:00:00-03:00,2026-07-22T02:00:00-03:00,3.54,12.97,5.177450833200496,6.599299916073328,-0.20841519578867945,1.8458660289891753,0.06835092348284962,"19,20,21,22,23",-0.04999999999999982,-7.792549166799505,-6.370700083926673
A,3,2026-07-21T15:00:00-03:00,2026-07-22T03:00:00-03:00,3.41,13.77,6.193827815623957,7.26460017645004,0.22623527102243723,2.5575925446015186,0.06835092348284962,"19,20,21,22,23",-0.1299999999999999,-7.576172184376043,-6.5053998235499595
B,1,2026-07-21T17:00:00-03:00,2026-07-22T05:00:00-03:00,3.22,15.16,6.24611207954122,7.553081560469495,1.1900394523291797,1.8360726272120398,0.06835092348284962,"19,20,21,22,23",-0.07999999999999963,-8.91388792045878,-7.606918439530505
B,2,2026-07-21T16:00:00-03:00,2026-07-22T04:00:00-03:00,3.3,14.49,5.954561392434054,6.981200219626503,0.46625031550042234,2.188311076933632,0.06835092348284962,"19,20,21,22,23",-0.14000000000000012,-8.535438607565947,-7.508799780373497
B,3,2026-07-21T15:00:00-03:00,2026-07-22T03:00:00-03:00,3.44,13.77,5.884636104485648,7.2078021898378974,0.03736192976338132,2.407274174722267,0.06835092348284962,"19,20,21,22,23",-0.1200000000000001,-7.8853638955143515,-6.562197810162102
