time,lead_h,hge_reference_m,sensitivity_min_m,sensitivity_max_m,previous_selected_m,previous_routing_m
2026-09-21T16:00:00-03:00,1,10.74140877537376,10.627926331135681,11.097596534440248,10.354225675568127,10.678505560202755
2026-09-21T17:00:00-03:00,2,11.9173199650473,11.743238055273478,12.371651150982839,11.209646933704338,12.190709842994954
2026-09-21T18:00:00-03:00,3,13.080357990575617,12.863655996833174,13.559355514272179,11.501219284075743,13.32558099017457
2026-09-21T19:00:00-03:00,4,14.119757980514711,13.873358320729848,14.588641638451499,11.650989959045251,14.296494536459127
2026-09-21T20:00:00-03:00,5,14.975334653197448,14.701703040985828,15.419576203792348,12.403635040443014,14.806574689625922
2026-09-21T21:00:00-03:00,6,15.684749140514393,15.387774239597352,16.096096408357187,12.103225906054362,15.519267225058902
2026-09-21T22:00:00-03:00,7,16.248329788158024,15.933358324792135,16.624284715356332,13.445622097751722,16.27358260429984
2026-09-21T23:00:00-03:00,8,16.745238704917277,16.41883510961903,17.08534399001643,13.629904539529917,16.605529192861383
2026-09-22T00:00:00-03:00,9,17.1714833972448,16.83970966625774,17.47711515235557,14.164101359105347,16.86951416001856
2026-09-22T01:00:00-03:00,10,17.48858531763827,17.156276669016467,17.762365164443395,13.977466606446058,17.0662943203236
2026-09-22T02:00:00-03:00,11,17.683704836374233,17.354703669436827,17.92861527112037,13.799682357580576,17.06532463037265
2026-09-22T03:00:00-03:00,12,17.90441195840113,17.583344475679123,18.12527721911807,13.737598273980495,17.035763402708177
