model,subset,n,mae_m,rmse_m,bias_m
hge_pet_1,all,1506,0.41137566815719145,0.5600465019404394,0.032905006559942954
hge_pet_1,level_ge_7m,167,0.9027309174447065,1.0968471999291214,0.6557239522820696
hge_pet_3,all,1506,0.41160536891438193,0.5601896293603773,0.03234667257039816
hge_pet_3,level_ge_7m,167,0.9027309174447065,1.0968471999291214,0.6557239522820696
hge_pet_5,all,1506,0.41181027688624033,0.5603260399841081,0.03185067813532562
hge_pet_5,level_ge_7m,167,0.9027309174447065,1.0968471999291214,0.6557239522820696
existing_linear_routing,all,1506,0.42577734994444166,0.5712409782073569,-0.0032471373461693816
existing_linear_routing,level_ge_7m,167,0.8486128401996493,1.0684859541838632,0.2502147774738782
