phase,horizon_h,subset,axis,stratum,scheduled_rows,observed,unknown_truth,pairs,failures,both_hit,hit_to_miss,miss_to_hit,both_miss,control_hits,augmented_hits,control_mae,augmented_mae,sum_absolute_error_change,control_under_halfmeter,augmented_under_halfmeter,control_over_halfmeter,augmented_over_halfmeter
test,2,all,known_trend,rising,338,338,0,338,0,326,0,5,7,326,331,0.1251155723093762,0.1104989809759995,-4.940407870681323,9,6,3,1
test,2,all,known_trend,unknown,28,12,16,5,7,5,0,0,0,5,5,0.0423288323846772,0.050403939171636394,0.04037553393479598,0,0,0,0
test,2,all,upstream,missing,604,585,19,580,5,561,4,3,12,565,564,0.0846200631385359,0.08069015090214719,-2.2793490971054515,9,8,6,8
test,2,all,upstream,complete,1362,1358,4,1356,2,1349,2,3,2,1351,1352,0.050189091862389276,0.04910487258466071,-1.470201340599952,2,1,3,3
test,2,all,transition,both_hit,1910,1910,0,1910,0,1910,0,0,0,1910,1910,0.05079859753959406,0.04937982223965633,-2.709860822881063,0,0,0,0
test,2,all,transition,both_miss,14,14,0,14,0,0,0,0,14,0,0,1.0004211127765277,0.9325981003979836,-0.9495221732996155,8,8,6,6
test,2,all,transition,hit_to_miss,6,6,0,6,0,0,6,0,0,6,0,0.3726164092276301,0.57710878382855,1.2269542476055195,0,1,0,5
test,2,all,transition,unknown_truth,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,2,all,transition,missing_forecast,7,7,0,0,7,0,0,0,0,0,0,,,0,0,0,0,0
test,2,all,transition,miss_to_hit,6,6,0,6,0,0,0,6,0,0,6,0.6448549751481455,0.4253346936264381,-1.3171216891302446,3,0,3,0
test,2,level_ge_7m,total,all,237,237,0,236,1,225,0,4,7,225,229,0.14574519761403643,0.12448928427543968,-5.016395547908827,6,5,5,2
test,2,level_ge_7m,target_level,7to9,120,120,0,120,0,119,0,0,1,119,119,0.07615576353180178,0.0762663639506503,0.013272050261821988,1,1,0,0
test,2,level_ge_7m,target_level,atleast9,117,117,0,116,1,106,0,4,6,106,110,0.21773426735427914,0.17437506392177352,-5.029667598170649,5,4,5,2
test,2,level_ge_7m,known_trend,rising,70,70,0,70,0,61,0,3,6,61,64,0.3019357275706881,0.25001861966732897,-3.6341975532351407,6,5,3,1
test,2,level_ge_7m,known_trend,stable,77,77,0,77,0,77,0,0,0,77,77,0.05142964701753289,0.05370106352025394,0.17489907070952082,0,0,0,0
test,2,level_ge_7m,known_trend,falling,88,88,0,88,0,86,0,1,1,86,87,0.10526736124378043,0.08785796791614982,-1.532026612831494,0,0,2,1
test,2,level_ge_7m,known_trend,unknown,2,2,0,1,1,1,0,0,0,1,1,0.03675509716171632,0.011684644610003403,-0.02507045255171292,0,0,0,0
test,2,level_ge_7m,upstream,missing,94,94,0,93,1,84,0,2,7,84,86,0.2177740006899847,0.18579267965369897,-2.974262856374577,6,5,3,2
test,2,level_ge_7m,upstream,complete,143,143,0,143,0,141,0,2,0,141,143,0.09890129071848962,0.08462064252594241,-2.04213269153425,0,0,2,0
test,2,level_ge_7m,transition,both_hit,225,225,0,225,0,225,0,0,0,225,225,0.09720035196313893,0.08509331727690181,-2.724082804403354,0,0,0,0
test,2,level_ge_7m,transition,both_miss,7,7,0,7,0,0,0,0,7,0,0,1.4002761129795334,1.2010784407072337,-1.3943837059060975,5,5,2,2
test,2,level_ge_7m,transition,miss_to_hit,4,4,0,4,0,0,0,4,0,0,4,0.6809636635873999,0.456481404187556,-0.8979290375993756,1,0,3,0
test,2,level_ge_7m,transition,missing_forecast,1,1,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0
test,3,all,total,all,1965,1942,23,1933,9,1891,1,10,31,1892,1901,0.08569916437714672,0.08354316984835683,-4.1675374241508685,25,20,16,12
test,3,all,target_level,below7,1705,1705,0,1697,8,1685,1,1,10,1686,1686,0.06427127906491575,0.06557935359282095,2.2198024738551068,8,8,3,3
test,3,all,target_level,7to9,120,120,0,120,0,118,0,1,1,118,119,0.11995223200303329,0.11497846140211268,-0.5968524721104744,2,1,0,0
test,3,all,target_level,unknown,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,3,all,target_level,atleast9,117,117,0,116,1,88,0,8,20,88,96,0.3637401407542981,0.31382214570347483,-5.790487425895502,15,11,13,9
test,3,all,known_trend,stable,1131,1127,4,1127,0,1122,0,0,5,1122,1122,0.05460551631639601,0.055061752697985265,0.5141784020510931,3,3,2,2
test,3,all,known_trend,falling,469,465,4,465,0,455,1,2,7,456,457,0.09733730142558185,0.09485325856088854,-1.1550799320823946,2,2,7,6
test,3,all,known_trend,rising,337,336,1,336,0,309,0,8,19,309,317,0.17395343967244023,0.16366339426869947,-3.4574552556568885,20,15,7,4
test,3,all,known_trend,unknown,28,14,14,5,9,5,0,0,0,5,5,0.08117339192216706,0.06733726422963118,-0.06918063846267941,0,0,0,0
test,3,all,upstream,missing,604,586,18,579,7,551,1,3,24,552,554,0.1292119911564058,0.12443758833548904,-2.764379233310795,18,16,9,9
test,3,all,upstream,complete,1361,1356,5,1354,2,1340,0,7,7,1340,1347,0.0670921284058092,0.0660558225041548,-1.4031581908400745,7,4,7,3
test,3,all,transition,both_hit,1891,1891,0,1891,0,1891,0,0,0,1891,1891,0.06711781315257294,0.06712721282299826,0.017774776774262424,0,0,0,0
test,3,all,transition,both_miss,31,31,0,31,0,0,0,0,31,0,0,1.042210541425212,0.9591836082429799,-2.573834928649197,20,20,11,11
test,3,all,transition,hit_to_miss,1,1,0,1,0,0,1,0,0,1,0,0.3969899369278649,0.5646028171731008,0.1676128802452359,0,0,0,1
test,3,all,transition,unknown_truth,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,3,all,transition,missing_forecast,9,9,0,0,9,0,0,0,0,0,0,,,0,0,0,0,0
test,3,all,transition,miss_to_hit,10,10,0,10,0,0,0,10,0,0,10,0.6031183348399741,0.42520931958785707,-1.7790901525211709,5,0,5,0
test,3,level_ge_7m,total,all,237,237,0,236,1,206,0,9,21,206,215,0.2397801871519601,0.21271518758413818,-6.387339898005976,17,12,13,9
test,3,level_ge_7m,target_level,7to9,120,120,0,120,0,118,0,1,1,118,119,0.11995223200303329,0.11497846140211268,-0.5968524721104744,2,1,0,0
test,3,level_ge_7m,target_level,atleast9,117,117,0,116,1,88,0,8,20,88,96,0.3637401407542981,0.31382214570347483,-5.790487425895502,15,11,13,9
test,3,level_ge_7m,known_trend,rising,73,73,0,73,0,49,0,8,16,49,57,0.4633067527797235,0.41871405863250644,-3.255266672746841,17,12,7,4
test,3,level_ge_7m,known_trend,stable,74,74,0,74,0,74,0,0,0,74,74,0.09424528627893734,0.08473035264333799,-0.7041050890343525,0,0,0,0
test,3,level_ge_7m,known_trend,falling,88,88,0,88,0,82,0,1,5,82,83,0.17760026408414634,0.1506898289326286,-2.368118293333561,0,0,6,5
test,3,level_ge_7m,known_trend,unknown,2,2,0,1,1,1,0,0,0,1,1,0.16375679089653516,0.10390694800531364,-0.05984984289122153,0,0,0,0
test,3,level_ge_7m,upstream,missing,95,95,0,94,1,75,0,3,16,75,78,0.3666867258515879,0.33025204851488354,-3.4248596696502043,12,10,7,6
test,3,level_ge_7m,upstream,complete,142,142,0,142,0,131,0,6,5,131,137,0.1557716333648826,0.13490909654547573,-2.962480228355772,5,2,6,3
test,3,level_ge_7m,transition,both_hit,206,206,0,206,0,206,0,0,0,206,206,0.12448139930732376,0.11607384273861485,-1.731956653154037,0,0,0,0
test,3,level_ge_7m,transition,both_miss,21,21,0,21,0,0,0,0,21,0,0,1.2103169536516893,1.0727433388035745,-2.8890459118104124,12,12,9,9
test,3,level_ge_7m,transition,miss_to_hit,9,9,0,9,0,0,0,9,0,0,9,0.6142555426520457,0.417995838980765,-1.7663373330415268,5,0,4,0
test,3,level_ge_7m,transition,missing_forecast,1,1,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0
test,4,all,total,all,1964,1941,23,1931,10,1859,4,17,51,1863,1876,0.1145230902406845,0.11184283531460874,-5.175572262252275,30,29,38,26
test,4,all,target_level,below7,1704,1704,0,1695,9,1672,2,6,15,1674,1678,0.08205191884346871,0.08351479761478586,2.479579517382558,8,8,13,9
test,4,all,target_level,7to9,120,120,0,120,0,116,1,2,1,117,118,0.17957612365561737,0.1637669796514498,-1.8970972805001116,2,1,1,1
test,4,all,target_level,unknown,23,0,23,0,0,0,0,0,0,0,0,,,0,0,0,0,0
test,4,all,target_level,atleast9,117,117,0,116,1,71,1,9,35,72,80,0.5216978446242085,0.47205944376959885,-5.758054499134721,20,20,24,16
test,4,all,known_trend,stable,1130,1125,5,1125,0,1106,1,3,15,1107,1109,0.0771167847491906,0.07507990131636778,-2.2914938619256766,7,6,11,10
test,4,all,known_trend,falling,469,465,4,465,0,450,1,5,9,451,455,0.13080897343857945,0.1291220916442581,-0.7844000343594137,3,3,11,7
test,4,all,known_trend,rising,337,336,1,336,0,298,2,9,27,300,307,0.21633687592337852,0.2106686072982052,-1.9045382580582353,20,20,16,9
test,4,all,known_trend,unknown,28,15,13,5,10,5,0,0,0,5,5,0.17446829054553797,0.13544026896374822,-0.19514010790894876,0,0,0,0
test,4,all,upstream,missing,604,586,18,578,8,542,1,6,29,543,548,0.1654690945108918,0.1601110873762171,-3.0969281238419715,20,18,15,12
test,4,all,upstream,complete,1360,1355,5,1353,2,1317,3,11,22,1320,1328,0.09275901746302016,0.09122269511386251,-2.078644138410303,10,11,23,14
test,4,all,transition,both_hit,1859,1859,0,1859,0,1859,0,0,0,1859,1859,0.08345857249786262,0.0834127034695869,-0.08527052356455123,0,0,0,0
test,4,all,transition,both_miss,51,51,0,51,0,0,0,0,51,0,0,1.0813278118515763,1.0106958510900392,-3.6022299988383972,27,27,24,24
test,4,all,transition,miss_to_hit,17,17,0,17,0,0,0,17,0,0,17,0.5599434083994287,0.41894335829457946,-2.397000851782437,3,0,14,0
test,4,all,transition,hit_to_miss,4,4,0,4,0,0,4,0,0,4,0,0.3319611585036166,0.5591934364868943,0.9089291119331109,0,2,0,2
