nominal_lead_h,actual_lead_h,training_rows,cutoff_utc,cutoff_exclusive,actual_last_training_target,anchor_m,anchor_training_min,anchor_training_max,target_training_min,target_training_max,delta_training_min,delta_training_max,predicted_delta_m,forecast_m,inputs_below_training_min,inputs_above_training_max,missing_inputs_seen_in_training,missing_inputs_unseen_in_training,finite_inputs_without_training_support
1,0.9076081147222222,10875,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-0.4800000000000004,1.2599999999999998,0.16537995494133995,18.83537995494134,3,16,0,0,0
2,1.9076081147222224,10866,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-0.8500000000000005,2.24,0.20892601198743677,18.87892601198744,3,16,0,0,0
3,2.907608114722222,10864,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-1.1000000000000005,3.08,0.24888447649216516,18.918884476492167,3,16,0,0,0
4,3.907608114722222,10855,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-1.3499999999999996,3.8600000000000003,-0.16909527067782903,18.500904729322173,3,16,0,0,0
5,4.907608114722222,10855,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-1.629999999999999,4.6899999999999995,-0.28167871786624943,18.388321282133752,3,16,0,0,0
6,5.907608114722222,10852,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-1.9399999999999995,5.41,-0.2070640424374659,18.462935957562536,3,16,0,0,0
7,6.907608114722222,10855,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-2.209999999999999,6.09,-0.2768742114308189,18.393125788569183,3,16,0,0,0
8,7.907608114722222,10852,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-2.5199999999999996,6.73,-0.09895470928380234,18.5710452907162,3,16,0,0,0
9,8.907608114722223,10852,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-2.83,7.119999999999999,-0.4511629237957173,18.218837076204284,3,16,0,0,0
10,9.907608114722223,10849,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-3.119999999999999,7.469999999999999,-1.1897422034232044,17.480257796576797,3,16,0,0,0
11,10.907608114722223,10849,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-3.42,7.789999999999999,-1.6788715420696008,16.9911284579304,3,16,0,0,0
12,11.907608114722223,10844,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-3.709999999999999,8.09,-1.890021198156699,16.779978801843303,3,16,0,0,0
13,12.907608114722223,10842,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-3.9399999999999995,8.4,-2.533323770435924,16.136676229564078,3,16,0,0,0
14,13.907608114722223,10843,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,18.67,0.81,15.3,0.81,15.31,-4.209999999999999,8.69,-2.580109790532827,16.089890209467175,3,16,0,0,0
