source,lead_h,gain,validation_score_m3_s,high_flow_threshold_m3_s,validation_n,validation_latest_target
julho,0,0.5,67.55307047182687,1365.0,6552,2026-06-30T23:00:00-03:00
julho,1,0.75,108.20004255679255,1365.0,6551,2026-06-30T23:00:00-03:00
julho,2,0.75,139.19012277993895,1365.0,6550,2026-06-30T23:00:00-03:00
julho,3,0.75,155.97763537566183,1365.0,6549,2026-06-30T23:00:00-03:00
julho,4,1.0,166.1299468205907,1365.0,6548,2026-06-30T23:00:00-03:00
julho,5,1.0,175.91241949939,1365.0,6547,2026-06-30T23:00:00-03:00
julho,6,0.75,195.59134036748694,1365.0,6546,2026-06-30T23:00:00-03:00
julho,7,0.75,206.6012973252161,1365.0,6545,2026-06-30T23:00:00-03:00
julho,8,0.75,212.233524273441,1365.0,6544,2026-06-30T23:00:00-03:00
julho,9,0.75,238.12696891658692,1365.0,6543,2026-06-30T23:00:00-03:00
julho,10,0.75,282.79079303528374,1365.0,6542,2026-06-30T23:00:00-03:00
julho,11,0.5,312.8273427890969,1365.0,6541,2026-06-30T23:00:00-03:00
carreiro,0,0.75,7.136510047195053,261.1749999999987,6253,2026-06-28T05:00:00-03:00
carreiro,1,0.75,20.407487098957052,261.1749999999987,6251,2026-06-28T07:00:00-03:00
carreiro,2,0.75,32.579114411581266,261.1749999999987,6249,2026-06-28T07:00:00-03:00
carreiro,3,1.0,42.06731445495479,261.1749999999987,6246,2026-06-28T07:00:00-03:00
carreiro,4,1.0,48.580774668182514,261.1749999999987,6243,2026-06-28T07:00:00-03:00
carreiro,5,1.0,56.016157276954985,261.1749999999987,6241,2026-06-28T07:00:00-03:00
carreiro,6,1.0,63.331122510265715,261.1749999999987,6239,2026-06-28T07:00:00-03:00
carreiro,7,1.0,70.8967955216892,261.1749999999987,6238,2026-06-28T07:00:00-03:00
carreiro,8,1.0,74.25817259730266,261.1749999999987,6236,2026-06-28T07:00:00-03:00
carreiro,9,1.0,72.77272571391065,261.1749999999987,6233,2026-06-28T07:00:00-03:00
carreiro,10,1.0,70.52821391519865,261.1749999999987,6232,2026-06-28T07:00:00-03:00
carreiro,11,1.0,68.89824694158632,261.1749999999987,6231,2026-06-28T17:00:00-03:00
