source,lead_h,feature,current_value,training_min,training_max
julho,5,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
julho,5,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
julho,5,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
julho,5,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
julho,5,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
julho,5,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
julho,6,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
julho,6,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
julho,6,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
julho,6,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
julho,6,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
julho,6,castro:I:1000m3s,6.395689999999999,0.001,5.621
julho,6,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
julho,6,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
julho,6,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
julho,6,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
julho,6,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
julho,6,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
julho,6,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
julho,6,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
julho,6,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
julho,6,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
julho,7,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
julho,7,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
julho,7,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
julho,7,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
julho,7,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
julho,7,castro:I:1000m3s,6.395689999999999,0.001,5.621
julho,7,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
julho,7,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
julho,7,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
julho,7,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
julho,7,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
julho,7,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
julho,7,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
julho,7,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
julho,7,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
julho,7,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
julho,8,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
julho,8,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
julho,8,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
julho,8,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
julho,8,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
julho,8,castro:I:1000m3s,6.395689999999999,0.001,5.621
julho,8,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
julho,8,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
julho,8,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
julho,8,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
julho,8,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
julho,8,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
julho,8,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
julho,8,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
julho,8,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
julho,8,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
julho,9,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
julho,9,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
julho,9,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
julho,9,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
julho,9,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
julho,9,castro:I:1000m3s,6.395689999999999,0.001,5.621
julho,9,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
julho,9,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
julho,9,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
julho,9,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
julho,9,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
julho,9,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
julho,9,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
julho,9,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
julho,9,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
julho,9,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
julho,10,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
julho,10,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
julho,10,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
julho,10,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
julho,10,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
julho,10,castro:I:1000m3s,6.395689999999999,0.001,5.621
julho,10,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
julho,10,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
julho,10,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
julho,10,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
julho,10,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
julho,10,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
julho,10,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
julho,10,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
julho,10,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
julho,10,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
julho,11,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
julho,11,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
julho,11,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
julho,11,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
julho,11,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
julho,11,castro:I:1000m3s,6.395689999999999,0.001,5.621
julho,11,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
julho,11,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
julho,11,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
julho,11,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
julho,11,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
julho,11,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
julho,11,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
julho,11,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
julho,11,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
julho,11,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
carreiro,0,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
carreiro,0,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
carreiro,0,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
carreiro,0,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
carreiro,0,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
carreiro,0,castro:I:1000m3s,6.395689999999999,0.001,5.621
carreiro,0,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
carreiro,0,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
carreiro,0,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
carreiro,0,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
carreiro,0,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
carreiro,0,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
carreiro,0,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
carreiro,0,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
carreiro,0,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
carreiro,0,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
carreiro,1,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
carreiro,1,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
carreiro,1,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
carreiro,1,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
carreiro,1,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
carreiro,1,castro:I:1000m3s,6.395689999999999,0.001,5.621
carreiro,1,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
carreiro,1,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
carreiro,1,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
carreiro,1,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
carreiro,1,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
carreiro,1,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
carreiro,1,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
carreiro,1,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
carreiro,1,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
carreiro,1,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
carreiro,2,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
carreiro,2,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
carreiro,2,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
carreiro,2,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
carreiro,2,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
carreiro,2,castro:I:1000m3s,6.395689999999999,0.001,5.621
carreiro,2,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
carreiro,2,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
carreiro,2,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
carreiro,2,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
carreiro,2,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
carreiro,2,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
carreiro,2,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
carreiro,2,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
carreiro,2,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
carreiro,2,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
carreiro,3,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
carreiro,3,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
carreiro,3,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
carreiro,3,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
carreiro,3,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
carreiro,3,castro:I:1000m3s,6.395689999999999,0.001,5.621
carreiro,3,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
carreiro,3,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
carreiro,3,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
carreiro,3,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
carreiro,3,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
carreiro,3,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
carreiro,3,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
carreiro,3,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
carreiro,3,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
carreiro,3,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
carreiro,4,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
carreiro,4,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
carreiro,4,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
carreiro,4,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
carreiro,4,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
carreiro,4,castro:I:1000m3s,6.395689999999999,0.001,5.621
carreiro,4,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
carreiro,4,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
carreiro,4,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
carreiro,4,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
carreiro,4,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
carreiro,4,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
carreiro,4,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
carreiro,4,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
carreiro,4,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
carreiro,4,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
carreiro,5,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
carreiro,5,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
carreiro,5,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
carreiro,5,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
carreiro,5,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
carreiro,5,castro:I:1000m3s,6.395689999999999,0.001,5.621
carreiro,5,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
carreiro,5,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
carreiro,5,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
carreiro,5,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
carreiro,5,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
carreiro,5,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
carreiro,5,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
carreiro,5,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
carreiro,5,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
carreiro,5,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
carreiro,6,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
carreiro,6,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
carreiro,6,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
carreiro,6,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
carreiro,6,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
carreiro,6,castro:I:1000m3s,6.395689999999999,0.001,5.621
carreiro,6,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
carreiro,6,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
carreiro,6,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
carreiro,6,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
carreiro,6,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
carreiro,6,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
carreiro,6,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
carreiro,6,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
carreiro,6,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
carreiro,6,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
carreiro,7,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
carreiro,7,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
carreiro,7,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
carreiro,7,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
carreiro,7,castro:Q:slope6h,0.7262066666666667,-0.23916666666666667,0.45249999999999996
carreiro,7,castro:I:1000m3s,6.395689999999999,0.001,5.621
carreiro,7,castro:I:delta1h,2.099099999999999,-0.371,0.6929999999999996
carreiro,7,castro:I:slope3h,1.0360566666666664,-0.26700000000000007,0.548
carreiro,7,castro:I:slope6h,0.8372483333333332,-0.25383333333333336,0.43850000000000006
carreiro,7,Baixo Antas:P12/100mm,1.3214739884393032,0.0,0.7137167630057789
carreiro,7,Baixo Antas:P24/100mm,1.3214739884393032,0.0,1.1575953757225383
carreiro,7,Tainhas:P3/100mm,0.34754644808742563,0.0,0.34695628415300767
carreiro,7,Tainhas:P6/100mm,0.6278907103825051,0.0,0.4477431693989125
carreiro,7,Tainhas:P12/100mm,1.4968852459016284,0.0,0.7750218579235042
carreiro,7,Tainhas:P24/100mm,1.4968852459016284,0.0,1.0821857923497304
carreiro,7,Tainhas:P48/100mm,1.735065573770471,0.0,1.4891038251366218
carreiro,8,julho:Q:slope6h,0.7777466666666667,-0.3953333333333333,0.677
carreiro,8,julho:I:slope6h,0.7992283333333333,-0.33066666666666666,0.7173333333333334
carreiro,8,castro:Q:delta1h,1.4032400000000003,-0.2549999999999999,0.6199999999999997
carreiro,8,castro:Q:slope3h,0.7646233333333335,-0.25200000000000006,0.5336666666666665
