phase,horizon_h,observed_targets,pairs_control,pairs_augmented,hits_control,hits_augmented,hits_change,mae_control_m,mae_augmented_m,mae_change_m,max_control_m,max_augmented_m,observed_hit_fraction_control,observed_hit_fraction_augmented
validation,1,28,28,28,28,28,0,0.06698666063501091,0.06769919593318595,0.0007125352981750405,0.24399202585988178,0.22313652695599728,1.0,1.0
validation,2,28,28,28,28,27,-1,0.12240288156070624,0.12711356316024003,0.004710681599533792,0.37016967736383677,0.5123738379563996,1.0,0.9642857142857143
validation,3,28,28,28,26,25,-1,0.1734154418580713,0.19123971164363565,0.01782426978556434,0.6382705101223252,0.7014189666106141,0.9285714285714286,0.8928571428571429
validation,4,28,28,28,26,25,-1,0.18438993269042986,0.24407193808663524,0.059682005396205384,0.6155785945577197,0.7767777272342329,0.9285714285714286,0.8928571428571429
validation,5,28,28,28,25,23,-2,0.20294487861821744,0.3202784604580237,0.11733358183980627,0.600808195785274,1.0756641423378621,0.8928571428571429,0.8214285714285714
validation,6,28,28,28,24,24,0,0.25942692878071005,0.29363363054636454,0.03420670176565449,1.3088111913836835,1.363367756710633,0.8571428571428571,0.8571428571428571
validation,7,28,28,28,17,21,4,0.4222488851267305,0.35065536005403203,-0.07159352507269845,2.5233079725154104,2.128942824121558,0.6071428571428571,0.75
validation,8,28,28,28,19,15,-4,0.5140177771047117,0.6462748905710259,0.1322571134663142,2.405567734701031,2.7147746479693273,0.6785714285714286,0.5357142857142857
validation,9,28,28,28,17,16,-1,0.56569120138472,0.5839107227732743,0.018219521388554316,1.9117183030287972,2.1286828131074795,0.6071428571428571,0.5714285714285714
validation,10,28,28,28,10,8,-2,0.757323046515073,0.8165888388643421,0.0592657923492691,1.661939671983518,1.6647242316406476,0.35714285714285715,0.2857142857142857
validation,11,28,28,28,8,12,4,0.9169020947978552,0.7492859096748317,-0.16761618512302356,2.353719411330097,1.909249176473283,0.2857142857142857,0.42857142857142855
validation,12,28,28,28,8,10,2,0.9251487237371314,0.8939032325714942,-0.03124549116563724,2.607249943972997,2.1862740402009955,0.2857142857142857,0.35714285714285715
test,1,237,236,236,230,231,1,0.07748786980507098,0.06869243704709171,-0.008795432757979268,1.2759905218379402,1.0014722155010523,0.9704641350210971,0.9746835443037974
test,2,237,236,236,225,228,3,0.14299787564797103,0.12265674747984091,-0.02034112816813012,2.4621058920769237,1.8791700829776774,0.9493670886075949,0.9620253164556962
test,3,237,236,236,206,213,7,0.24424877303019962,0.229008780662955,-0.015239992367244631,3.53956990275997,3.3378784132326436,0.869198312236287,0.8987341772151899
test,4,237,236,236,192,199,7,0.34884999557862045,0.31242039974531655,-0.03642959583330391,4.128444821919075,3.7483741744111505,0.810126582278481,0.8396624472573839
test,5,237,236,236,170,174,4,0.45901856359143667,0.43604343514130073,-0.02297512845013594,4.864267949721896,4.449295613036682,0.7172995780590717,0.7341772151898734
test,6,237,236,236,147,155,8,0.6009760872581876,0.543437638130997,-0.05753844912719064,5.643662248615202,5.27044676795175,0.620253164556962,0.6540084388185654
test,7,237,236,236,134,153,19,0.7132448160362133,0.6206577704589035,-0.09258704557730979,5.308074207598951,4.147899454512231,0.5654008438818565,0.6455696202531646
test,8,237,236,236,131,117,-14,0.8055176624311056,0.8203535412138971,0.014835878782791578,6.0014693821975165,4.500143371193486,0.5527426160337553,0.4936708860759494
test,9,237,236,236,113,105,-8,0.9362797421377601,0.933739929637895,-0.002539812499865124,5.943609420224272,5.674986528198078,0.4767932489451477,0.4430379746835443
test,10,237,236,236,95,105,10,1.0726840909031337,0.9611604796617509,-0.11152361124138277,6.431356582168159,5.724225164401448,0.4008438818565401,0.4430379746835443
test,11,237,236,236,84,102,18,1.2105664636396571,1.0804433862546619,-0.1301230773849953,6.882900501793481,7.127690771362372,0.35443037974683544,0.43037974683544306
test,12,237,236,236,86,88,2,1.3407649101133783,1.2838995714474504,-0.05686533866592791,7.921525750498024,8.088066520795035,0.3628691983122363,0.37130801687763715
