phase,profile,horizon_h,subset,family,carreiro_availability,classified_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,A,1,level_ge_7m,mixed_profile_candidate,complete,149,5,144,144,0,144,7.030780175063062,0.04882486232682682,0.006183181671581168,0.3813849950539048
test,A,1,level_ge_7m,mixed_profile_candidate,partial,16,0,16,16,0,16,0.7717244227399567,0.04823277642124729,0.016795218935716394,0.1309210626038837
test,A,1,level_ge_7m,mixed_profile_candidate,fully_missing,95,18,77,76,1,71,10.194551084116275,0.13413883005416152,0.0026286909693509805,1.141419228155974
test,A,1,level_ge_7m,carreiro_missing_exposure,complete,149,5,144,144,0,144,7.08352807631678,0.049191167196644306,0.0075338187242682325,0.3884781438089515
test,A,1,level_ge_7m,carreiro_missing_exposure,partial,16,0,16,16,0,16,0.7665343900168278,0.047908399376051736,0.01432526247274779,0.12656462580740602
test,A,1,level_ge_7m,carreiro_missing_exposure,fully_missing,95,18,77,76,1,71,10.15019310963621,0.1335551724952133,0.013326429834557195,1.0893417393063238
test,A,2,all,profile_A_control,complete,1406,5,1401,1397,4,1390,78.48659313287075,0.05618224275796045,0.004328666822738566,0.7545024542619916
test,A,2,all,profile_A_control,partial,16,0,16,16,0,16,1.283676942927821,0.08022980893298881,0.04615888001749291,0.21869475658997217
test,A,2,all,profile_A_control,fully_missing,544,18,526,523,3,509,45.50806842947723,0.08701351516152434,0.0015447732022254718,2.430986906354253
test,A,2,all,profile_B_control,complete,1406,5,1401,1397,4,1360,150.63655832566545,0.10782860295323225,0.013926578330833318,1.189884159398604
test,A,2,all,profile_B_control,partial,16,0,16,16,0,16,1.3100671777944468,0.08187919861215293,0.025221063887284234,0.19164084114459357
test,A,2,all,profile_B_control,fully_missing,544,18,526,523,3,489,68.87371088918277,0.131689695772816,0.00838458777416879,2.3364175247165386
test,A,2,all,mixed_profile_candidate,complete,1406,5,1401,1397,4,1375,117.22307756759916,0.08391057807272667,0.012302118304259634,0.9929772418768914
test,A,2,all,mixed_profile_candidate,partial,16,0,16,16,0,16,1.3840241966934261,0.08650151229333913,0.02953957679818131,0.21903570587192256
test,A,2,all,mixed_profile_candidate,fully_missing,544,18,526,523,3,504,50.845545517654784,0.09721901628614682,0.008402375545355844,2.35798379080882
test,A,2,all,carreiro_missing_exposure,complete,1406,5,1401,1397,4,1372,118.29674910575334,0.08467913321814842,0.014932629470980544,1.0574950879587857
test,A,2,all,carreiro_missing_exposure,partial,16,0,16,16,0,16,1.395489530209125,0.08721809563807031,0.030895575367181294,0.2323114400044215
test,A,2,all,carreiro_missing_exposure,fully_missing,544,18,526,523,3,502,49.57807249431558,0.09479554970232423,0.019569286565533014,2.1504689423766576
test,A,2,level_ge_7m,profile_A_control,complete,148,5,143,143,0,142,13.240044509991318,0.09258772384609314,0.00046605102477010745,0.5105362240356985
test,A,2,level_ge_7m,profile_A_control,partial,16,0,16,16,0,16,1.283676942927821,0.08022980893298881,0.04615888001749291,0.21869475658997217
test,A,2,level_ge_7m,profile_A_control,fully_missing,96,18,78,77,1,67,18.995300365983844,0.24669221254524473,-0.057081429976160475,2.430986906354253
test,A,2,level_ge_7m,profile_B_control,complete,148,5,143,143,0,142,13.35695749918329,0.09340529719708594,0.0018082555762108032,0.5901278640543755
