phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,exposed_hits,hits_delta,reference_mae_m,exposed_mae_m,mae_m_delta,reference_bias_m,exposed_bias_m,bias_m_delta,reference_p98_abs_m,exposed_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,exposed_max_abs_m,max_abs_m_delta
test,A,1,full_schedule,all,mixed_profile_candidate,primary_unmasked,1944,1939,5,1933,1933,0,0.04783750593944735,0.04752303813272236,-0.0003144678067249912,0.0016042383445942052,0.0027468276852132324,0.0011425893406190272,0.30354887951476256,0.30229262027573606,-0.0012562592390265026,1.141419228155974,1.0893417393063238,-0.052077488849650244
test,A,1,full_schedule,all,profile_A_control,matching_profile,1944,1939,5,1933,1933,0,0.0371222429682849,0.04752303813272236,0.010400795164437454,0.00031574249549438574,0.0027468276852132324,0.0024310851897188465,0.21510511095232232,0.30229262027573606,0.08718750932341374,1.2985394062094997,1.0893417393063238,-0.20919766690317587
test,A,1,full_schedule,all,profile_B_control,cross_profile,1944,1939,5,1912,1933,21,0.06303231581576944,0.04752303813272236,-0.015509277683047086,0.00544372362743687,0.0027468276852132324,-0.0026968959422236376,0.40312457464527224,0.30229262027573606,-0.10083195436953618,1.1376505785463262,1.0893417393063238,-0.0483088392400024
test,A,1,full_schedule,level_ge_7m,mixed_profile_candidate,primary_unmasked,237,236,1,231,231,0,0.07625871051660717,0.07627226938970261,1.3558873095440016e-05,0.005757975327753496,0.009859672725783631,0.004101697398030135,0.4563071747801155,0.4624679827408562,0.0061608079607407,1.141419228155974,1.0893417393063238,-0.052077488849650244
test,A,1,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,230,231,1,0.08365381495683401,0.07627226938970261,-0.007381545567131401,0.004328512216800681,0.009859672725783631,0.00553116050898295,0.5373691728450916,0.4624679827408562,-0.07490119010423535,1.2985394062094997,1.0893417393063238,-0.20919766690317587
test,A,1,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,231,231,0,0.0775943146177403,0.07627226938970261,-0.0013220452280376938,-0.0030883871545847098,0.009859672725783631,0.01294805988036834,0.4773267779115205,0.4624679827408562,-0.014858795170664296,1.1376505785463262,1.0893417393063238,-0.0483088392400024
test,A,1,complete24,all,mixed_profile_candidate,primary_unmasked,1350,1350,0,1350,1350,0,0.04312327604488985,0.04322924653752666,0.00010597049263681019,0.0010444003423434212,0.0017792560341866274,0.0007348556918432062,0.26588508970708497,0.2658801370748258,-4.952632259191958e-06,0.4769284998001275,0.44494039573318034,-0.03198810406694719
test,A,1,complete24,all,profile_A_control,matching_profile,1350,1350,0,1350,1350,0,0.0304847864407132,0.04322924653752666,0.012744460096813463,0.0010034537392053463,0.0017792560341866274,0.0007758022949812811,0.16552146689464775,0.2658801370748258,0.10035867018017802,0.4271823756500037,0.44494039573318034,0.017758020083176618
test,A,1,complete24,all,profile_B_control,cross_profile,1350,1350,0,1337,1350,13,0.05900560993384436,0.04322924653752666,-0.015776363396317696,0.005716792611886191,0.0017792560341866274,-0.003937536577699564,0.3787469497620109,0.2658801370748258,-0.11286681268718513,0.6468784824758886,0.44494039573318034,-0.2019380867427083
test,A,1,complete24,level_ge_7m,mixed_profile_candidate,primary_unmasked,144,144,0,144,144,0,0.04882486232682682,0.049191167196644306,0.0003663048698174867,0.006183181671581168,0.0075338187242682325,0.0013506370526870648,0.3025030817446567,0.33457195903225606,0.032068877287599384,0.3813849950539048,0.3884781438089515,0.007093148755046741
test,A,1,complete24,level_ge_7m,profile_A_control,matching_profile,144,144,0,144,144,0,0.055442801166581394,0.049191167196644306,-0.0062516339699370885,0.00919925049033519,0.0075338187242682325,-0.0016654317660669575,0.24315126317165353,0.33457195903225606,0.09142069586060253,0.41233080449643644,0.3884781438089515,-0.023852660687484928
test,A,1,complete24,level_ge_7m,profile_B_control,cross_profile,144,144,0,144,144,0,0.058889196649375565,0.049191167196644306,-0.009698029452731259,-0.0003785530509610477,0.0075338187242682325,0.00791237177522928,0.3782499166329646,0.33457195903225606,-0.04367795760070853,0.4303116973062888,0.3884781438089515,-0.041833553497337306
test,A,1,missing24,all,mixed_profile_candidate,primary_unmasked,594,589,5,583,583,0,0.05864261690320395,0.05736449594853591,-0.0012781209546680397,0.0028873984516206205,0.004964521622201206,0.0020771231705805854,0.3450497054481585,0.3271884981399956,-0.017861207308162874,1.141419228155974,1.0893417393063238,-0.052077488849650244
test,A,1,missing24,all,profile_A_control,matching_profile,594,589,5,583,583,0,0.05233542855779558,0.05736449594853591,0.005029067390740334,-0.001260505686186085,0.004964521622201206,0.006225027308387291,0.30304356193663556,0.3271884981399956,0.024144936203360057,1.2985394062094997,1.0893417393063238,-0.20919766690317587
test,A,1,missing24,all,profile_B_control,cross_profile,594,589,5,575,583,8,0.07226160773529214,0.05736449594853591,-0.014897111786756227,0.004817843951704128,0.004964521622201206,0.00014667767049707757,0.549141731456145,0.3271884981399956,-0.22195323331614936,1.1376505785463262,1.0893417393063238,-0.0483088392400024
test,A,1,missing24,level_ge_7m,mixed_profile_candidate,primary_unmasked,93,92,1,87,87,0,0.11919864681365469,0.1186600815179678,-0.0005385652956868964,0.005092434963501487,0.013500139858590342,0.008407704895088856,0.8242910444531536,0.7619315848547082,-0.062359459598445355,1.141419228155974,1.0893417393063238,-0.052077488849650244
test,A,1,missing24,level_ge_7m,profile_A_control,matching_profile,93,92,1,86,87,1,0.1278101843676642,0.1186600815179678,-0.009150102849696404,-0.003295252037427247,0.013500139858590342,0.01679539189601759,0.9799900488125015,0.7619315848547082,-0.21805846395779327,1.2985394062094997,1.0893417393063238,-0.20919766690317587
test,A,1,missing24,level_ge_7m,profile_B_control,cross_profile,93,92,1,87,87,0,0.10687189056822423,0.1186600815179678,0.011788190949743566,-0.007329866621126094,0.013500139858590342,0.02083000647971644,0.8088713084859145,0.7619315848547082,-0.04693972363120624,1.1376505785463262,1.0893417393063238,-0.0483088392400024
test,A,2,full_schedule,all,mixed_profile_candidate,primary_unmasked,1943,1936,7,1895,1890,-5,0.0875271938439811,0.08743301194745765,-9.418189652345144e-05,0.011391082081633634,0.01631712265010769,0.004926040568474056,0.5088748763256037,0.5186752011216701,0.009800324796066406,2.35798379080882,2.1504689423766576,-0.2075148484321625
test,A,2,full_schedule,all,profile_A_control,matching_profile,1943,1936,7,1915,1890,-25,0.06470988559156808,0.08743301194745765,0.022723126355889564,0.0039223171572363566,0.01631712265010769,0.012394805492871332,0.3688797265165805,0.5186752011216701,0.14979547460508957,2.430986906354253,2.1504689423766576,-0.2805179639775952
test,A,2,full_schedule,all,profile_B_control,cross_profile,1943,1936,7,1865,1890,25,0.11406009111190221,0.08743301194745765,-0.026627079164444567,0.01252278220881248,0.01631712265010769,0.003794340441295209,0.6898452617630729,0.5186752011216701,-0.17117006064140283,2.3364175247165386,2.1504689423766576,-0.18594858233988099
test,A,2,full_schedule,level_ge_7m,mixed_profile_candidate,primary_unmasked,237,236,1,225,224,-1,0.13368154358694637,0.13151112089912695,-0.0021704226878194177,-0.016494687570648987,0.0032700714251681496,0.019764758995817137,0.7447002771129736,0.6472109803377512,-0.09748929677522244,2.35798379080882,2.1504689423766576,-0.2075148484321625
test,A,2,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,225,224,-1,0.1420297534699279,0.13151112089912695,-0.010518632570800962,-0.01521221496331502,0.0032700714251681496,0.01848228638848317,0.6927020057861919,0.6472109803377512,-0.04549102544844075,2.430986906354253,2.1504689423766576,-0.2805179639775952
test,A,2,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,226,224,-2,0.13583696487566047,0.13151112089912695,-0.004325843976533517,-0.020765015388159645,0.0032700714251681496,0.024035086813327795,0.7101871283579573,0.6472109803377512,-0.06297614802020612,2.3364175247165386,2.1504689423766576,-0.18594858233988099
test,A,2,complete24,all,mixed_profile_candidate,primary_unmasked,1348,1348,0,1326,1323,-3,0.0816756776076114,0.0823589402811649,0.0006832626735535086,0.012725536496433798,0.015252686276097634,0.0025271497796638363,0.41502423933591587,0.472224816122535,0.057200576786619106,0.9929772418768914,1.0574950879587857,0.06451784608189426
test,A,2,complete24,all,profile_A_control,matching_profile,1348,1348,0,1344,1323,-21,0.05291251719277879,0.0823589402811649,0.02944642308838611,0.005210753638610464,0.015252686276097634,0.01004193263748717,0.2678823640126271,0.472224816122535,0.20434245210990787,0.6439704232183767,1.0574950879587857,0.41352466474040894
test,A,2,complete24,all,profile_B_control,cross_profile,1348,1348,0,1314,1323,9,0.10562542625149562,0.0823589402811649,-0.023266485970330722,0.013599392780654565,0.015252686276097634,0.0016532934954430686,0.5244956615891607,0.472224816122535,-0.05227084546662575,1.189884159398604,1.0574950879587857,-0.13238907143981837
test,A,2,complete24,level_ge_7m,mixed_profile_candidate,primary_unmasked,143,143,0,142,141,-1,0.08185628634492033,0.08328891121065929,0.00143262486573896,-0.0026010805416226013,0.00770668525837409,0.01030776579999669,0.3904999810928229,0.4599583400857458,0.06945835899292291,0.5127623059546487,0.5992656129539125,0.08650330699926378
test,A,2,complete24,level_ge_7m,profile_A_control,matching_profile,143,143,0,142,141,-1,0.09258772384609314,0.08328891121065929,-0.009298812635433848,0.00046605102477010745,0.00770668525837409,0.007240634233603983,0.40353061655940614,0.4599583400857458,0.05642772352633968,0.5105362240356985,0.5992656129539125,0.08872938891821391
test,A,2,complete24,level_ge_7m,profile_B_control,cross_profile,143,143,0,142,141,-1,0.09340529719708594,0.08328891121065929,-0.010116385986426654,0.0018082555762108032,0.00770668525837409,0.005898429682163287,0.4370129997258335,0.4599583400857458,0.022945340359912303,0.5901278640543755,0.5992656129539125,0.009137748899537002
test,A,2,missing24,all,mixed_profile_candidate,primary_unmasked,595,588,7,569,567,-2,0.10094189433144085,0.09906540753616962,-0.0018764867952712344,0.008331822640901286,0.018757361140185166,0.01042553849928388,0.5849392272179951,0.5877422823582632,0.002803055140268129,2.35798379080882,2.1504689423766576,-0.2075148484321625
test,A,2,missing24,all,profile_A_control,matching_profile,595,588,7,571,567,-4,0.09175555328130948,0.09906540753616962,0.0073098542548601375,0.0009685546115011541,0.018757361140185166,0.01778880652868401,0.5988592895886679,0.5877422823582632,-0.011117007230404652,2.430986906354253,2.1504689423766576,-0.2805179639775952
test,A,2,missing24,all,profile_B_control,cross_profile,595,588,7,551,567,16,0.1333967037510656,0.09906540753616962,-0.03433129621489599,0.010054634163160905,0.018757361140185166,0.008702726977024261,0.9528656726090782,0.5877422823582632,-0.36512339025081497,2.3364175247165386,2.1504689423766576,-0.18594858233988099
test,A,2,missing24,level_ge_7m,mixed_profile_candidate,primary_unmasked,94,93,1,83,83,0,0.21336984235694337,0.20565924977494285,-0.0077105925820005194,-0.037857975798076655,-0.0035518186624495856,0.03430615713562707,1.6788703707329549,1.5075750417422378,-0.1712953289907171,2.35798379080882,2.1504689423766576,-0.2075148484321625
test,A,2,missing24,level_ge_7m,profile_A_control,matching_profile,94,93,1,83,83,0,0.2180535194506631,0.20565924977494285,-0.012394269675720243,-0.039319656213811505,-0.0035518186624495856,0.03576783755136192,1.8158908988349143,1.5075750417422378,-0.3083158570926765,2.430986906354253,2.1504689423766576,-0.2805179639775952
test,A,2,missing24,level_ge_7m,profile_B_control,cross_profile,94,93,1,84,83,-1,0.20108135711260836,0.20565924977494285,0.004577892662334493,-0.055474453537675494,-0.0035518186624495856,0.05192263487522591,1.669041187228837,1.5075750417422378,-0.16146614548659932,2.3364175247165386,2.1504689423766576,-0.18594858233988099
test,A,3,full_schedule,all,mixed_profile_candidate,primary_unmasked,1942,1933,9,1869,1867,-2,0.11088536147545171,0.11045745404945126,-0.0004279074260004484,0.004151087743485489,0.0037448297120466273,-0.00040625803143886155,0.6587297068125985,0.640614547963917,-0.018115158848681423,3.5417724438313964,3.569719370791849,0.027946926960452423
test,A,3,full_schedule,all,profile_A_control,matching_profile,1942,1933,9,1896,1867,-29,0.08858410963828463,0.11045745404945126,0.02187334441116663,-0.006493224276664247,0.0037448297120466273,0.010238053988710874,0.4833709219661626,0.640614547963917,0.15724362599775443,3.8502978392165037,3.569719370791849,-0.28057846842465484
test,A,3,full_schedule,all,profile_B_control,cross_profile,1942,1933,9,1851,1867,16,0.1347115076083067,0.11045745404945126,-0.024254053558855432,0.0013764610817187943,0.0037448297120466273,0.002368368630327833,0.7157064412809331,0.640614547963917,-0.07509189331701605,3.591469992707828,3.569719370791849,-0.021750621915979096
