phase,profile,horizon_h,family,subset,partition,scheduled_parent,classified_rows,observed_targets,unknown_truth
test,A,4,mixed_profile_candidate,level_ge_7m,future_response,1964,260,237,23
test,A,4,mixed_profile_candidate,level_ge_7m,training_response_support,1964,260,237,23
test,A,4,age_mixed_candidate,level_ge_7m,known_trend,1964,260,237,23
test,A,4,age_mixed_candidate,level_ge_7m,future_response,1964,260,237,23
test,A,4,age_mixed_candidate,level_ge_7m,training_response_support,1964,260,237,23
test,A,5,profile_A_control,all,known_trend,1963,1963,1940,23
test,A,5,profile_A_control,all,future_response,1963,1963,1940,23
test,A,5,profile_A_control,all,training_response_support,1963,1963,1940,23
test,A,5,profile_B_control,all,known_trend,1963,1963,1940,23
test,A,5,profile_B_control,all,future_response,1963,1963,1940,23
test,A,5,profile_B_control,all,training_response_support,1963,1963,1940,23
test,A,5,mixed_profile_candidate,all,known_trend,1963,1963,1940,23
test,A,5,mixed_profile_candidate,all,future_response,1963,1963,1940,23
test,A,5,mixed_profile_candidate,all,training_response_support,1963,1963,1940,23
test,A,5,age_mixed_candidate,all,known_trend,1963,1963,1940,23
test,A,5,age_mixed_candidate,all,future_response,1963,1963,1940,23
test,A,5,age_mixed_candidate,all,training_response_support,1963,1963,1940,23
test,A,5,profile_A_control,level_ge_7m,known_trend,1963,260,237,23
test,A,5,profile_A_control,level_ge_7m,future_response,1963,260,237,23
test,A,5,profile_A_control,level_ge_7m,training_response_support,1963,260,237,23
test,A,5,profile_B_control,level_ge_7m,known_trend,1963,260,237,23
test,A,5,profile_B_control,level_ge_7m,future_response,1963,260,237,23
test,A,5,profile_B_control,level_ge_7m,training_response_support,1963,260,237,23
test,A,5,mixed_profile_candidate,level_ge_7m,known_trend,1963,260,237,23
test,A,5,mixed_profile_candidate,level_ge_7m,future_response,1963,260,237,23
test,A,5,mixed_profile_candidate,level_ge_7m,training_response_support,1963,260,237,23
test,A,5,age_mixed_candidate,level_ge_7m,known_trend,1963,260,237,23
test,A,5,age_mixed_candidate,level_ge_7m,future_response,1963,260,237,23
test,A,5,age_mixed_candidate,level_ge_7m,training_response_support,1963,260,237,23
test,A,6,profile_A_control,all,known_trend,1962,1962,1939,23
test,A,6,profile_A_control,all,future_response,1962,1962,1939,23
test,A,6,profile_A_control,all,training_response_support,1962,1962,1939,23
test,A,6,profile_B_control,all,known_trend,1962,1962,1939,23
test,A,6,profile_B_control,all,future_response,1962,1962,1939,23
test,A,6,profile_B_control,all,training_response_support,1962,1962,1939,23
test,A,6,mixed_profile_candidate,all,known_trend,1962,1962,1939,23
test,A,6,mixed_profile_candidate,all,future_response,1962,1962,1939,23
test,A,6,mixed_profile_candidate,all,training_response_support,1962,1962,1939,23
test,A,6,age_mixed_candidate,all,known_trend,1962,1962,1939,23
test,A,6,age_mixed_candidate,all,future_response,1962,1962,1939,23
test,A,6,age_mixed_candidate,all,training_response_support,1962,1962,1939,23
test,A,6,profile_A_control,level_ge_7m,known_trend,1962,260,237,23
test,A,6,profile_A_control,level_ge_7m,future_response,1962,260,237,23
test,A,6,profile_A_control,level_ge_7m,training_response_support,1962,260,237,23
test,A,6,profile_B_control,level_ge_7m,known_trend,1962,260,237,23
test,A,6,profile_B_control,level_ge_7m,future_response,1962,260,237,23
test,A,6,profile_B_control,level_ge_7m,training_response_support,1962,260,237,23
test,A,6,mixed_profile_candidate,level_ge_7m,known_trend,1962,260,237,23
test,A,6,mixed_profile_candidate,level_ge_7m,future_response,1962,260,237,23
test,A,6,mixed_profile_candidate,level_ge_7m,training_response_support,1962,260,237,23
test,A,6,age_mixed_candidate,level_ge_7m,known_trend,1962,260,237,23
test,A,6,age_mixed_candidate,level_ge_7m,future_response,1962,260,237,23
test,A,6,age_mixed_candidate,level_ge_7m,training_response_support,1962,260,237,23
test,A,7,profile_A_control,all,known_trend,1961,1961,1938,23
test,A,7,profile_A_control,all,future_response,1961,1961,1938,23
test,A,7,profile_A_control,all,training_response_support,1961,1961,1938,23
test,A,7,profile_B_control,all,known_trend,1961,1961,1938,23
test,A,7,profile_B_control,all,future_response,1961,1961,1938,23
test,A,7,profile_B_control,all,training_response_support,1961,1961,1938,23
test,A,7,mixed_profile_candidate,all,known_trend,1961,1961,1938,23
test,A,7,mixed_profile_candidate,all,future_response,1961,1961,1938,23
test,A,7,mixed_profile_candidate,all,training_response_support,1961,1961,1938,23
test,A,7,age_mixed_candidate,all,known_trend,1961,1961,1938,23
test,A,7,age_mixed_candidate,all,future_response,1961,1961,1938,23
test,A,7,age_mixed_candidate,all,training_response_support,1961,1961,1938,23
test,A,7,profile_A_control,level_ge_7m,known_trend,1961,260,237,23
test,A,7,profile_A_control,level_ge_7m,future_response,1961,260,237,23
test,A,7,profile_A_control,level_ge_7m,training_response_support,1961,260,237,23
test,A,7,profile_B_control,level_ge_7m,known_trend,1961,260,237,23
test,A,7,profile_B_control,level_ge_7m,future_response,1961,260,237,23
test,A,7,profile_B_control,level_ge_7m,training_response_support,1961,260,237,23
test,A,7,mixed_profile_candidate,level_ge_7m,known_trend,1961,260,237,23
test,A,7,mixed_profile_candidate,level_ge_7m,future_response,1961,260,237,23
test,A,7,mixed_profile_candidate,level_ge_7m,training_response_support,1961,260,237,23
test,A,7,age_mixed_candidate,level_ge_7m,known_trend,1961,260,237,23
test,A,7,age_mixed_candidate,level_ge_7m,future_response,1961,260,237,23
test,A,7,age_mixed_candidate,level_ge_7m,training_response_support,1961,260,237,23
test,A,8,profile_A_control,all,known_trend,1960,1960,1937,23
test,A,8,profile_A_control,all,future_response,1960,1960,1937,23
test,A,8,profile_A_control,all,training_response_support,1960,1960,1937,23
test,A,8,profile_B_control,all,known_trend,1960,1960,1937,23
test,A,8,profile_B_control,all,future_response,1960,1960,1937,23
test,A,8,profile_B_control,all,training_response_support,1960,1960,1937,23
test,A,8,mixed_profile_candidate,all,known_trend,1960,1960,1937,23
test,A,8,mixed_profile_candidate,all,future_response,1960,1960,1937,23
test,A,8,mixed_profile_candidate,all,training_response_support,1960,1960,1937,23
test,A,8,age_mixed_candidate,all,known_trend,1960,1960,1937,23
test,A,8,age_mixed_candidate,all,future_response,1960,1960,1937,23
test,A,8,age_mixed_candidate,all,training_response_support,1960,1960,1937,23
test,A,8,profile_A_control,level_ge_7m,known_trend,1960,260,237,23
test,A,8,profile_A_control,level_ge_7m,future_response,1960,260,237,23
test,A,8,profile_A_control,level_ge_7m,training_response_support,1960,260,237,23
test,A,8,profile_B_control,level_ge_7m,known_trend,1960,260,237,23
test,A,8,profile_B_control,level_ge_7m,future_response,1960,260,237,23
test,A,8,profile_B_control,level_ge_7m,training_response_support,1960,260,237,23
