phase,profile,horizon_h,subset,partition,category,pairs,gained,lost,both_hit,both_miss,net_hits
test,A,7,all,future_response,falling,647,1,1,579,66,0
test,A,7,all,future_response,stable,803,3,2,742,56,1
test,A,7,all,future_response,unknown,0,0,0,0,0,0
test,A,7,level_ge_7m,known_trend,rising,84,0,1,27,56,-1
test,A,7,level_ge_7m,known_trend,falling,78,0,0,50,28,0
test,A,7,level_ge_7m,known_trend,stable,73,0,0,52,21,0
test,A,7,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,A,7,level_ge_7m,future_response,rising,82,0,1,28,53,-1
test,A,7,level_ge_7m,future_response,falling,107,0,0,76,31,0
test,A,7,level_ge_7m,future_response,stable,47,0,0,25,22,0
test,A,7,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,A,8,all,known_trend,rising,336,1,2,246,87,-1
test,A,8,all,known_trend,falling,461,0,0,363,98,0
test,A,8,all,known_trend,stable,1121,4,5,987,125,-1
test,A,8,all,known_trend,unknown,5,0,0,3,2,0
test,A,8,all,future_response,rising,509,3,1,373,132,2
test,A,8,all,future_response,falling,720,2,4,607,107,-2
test,A,8,all,future_response,stable,694,0,2,619,73,-2
test,A,8,all,future_response,unknown,0,0,0,0,0,0
test,A,8,level_ge_7m,known_trend,rising,88,0,0,26,62,0
test,A,8,level_ge_7m,known_trend,falling,76,0,0,45,31,0
test,A,8,level_ge_7m,known_trend,stable,71,1,0,50,20,1
test,A,8,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,A,8,level_ge_7m,future_response,rising,84,0,0,25,59,0
test,A,8,level_ge_7m,future_response,falling,109,1,0,70,38,1
test,A,8,level_ge_7m,future_response,stable,43,0,0,26,17,0
test,A,8,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,A,9,all,known_trend,rising,336,4,3,242,87,1
test,A,9,all,known_trend,falling,461,1,8,328,124,-7
test,A,9,all,known_trend,stable,1119,12,4,918,185,8
test,A,9,all,known_trend,unknown,5,0,0,2,3,0
test,A,9,all,future_response,rising,536,7,6,376,147,1
test,A,9,all,future_response,falling,765,5,3,598,159,2
test,A,9,all,future_response,stable,620,5,6,516,93,-1
test,A,9,all,future_response,unknown,0,0,0,0,0,0
test,A,9,level_ge_7m,known_trend,rising,91,2,0,30,59,2
test,A,9,level_ge_7m,known_trend,falling,72,0,0,38,34,0
test,A,9,level_ge_7m,known_trend,stable,72,2,0,45,25,2
test,A,9,level_ge_7m,known_trend,unknown,1,0,0,0,1,0
test,A,9,level_ge_7m,future_response,rising,93,2,0,31,60,2
test,A,9,level_ge_7m,future_response,falling,109,2,0,62,45,2
test,A,9,level_ge_7m,future_response,stable,34,0,0,20,14,0
test,A,9,level_ge_7m,future_response,unknown,0,0,0,0,0,0
test,A,10,all,known_trend,rising,336,0,0,239,97,0
test,A,10,all,known_trend,falling,459,0,0,315,144,0
test,A,10,all,known_trend,stable,1119,0,0,862,257,0
test,A,10,all,known_trend,unknown,5,0,0,2,3,0
test,A,10,all,future_response,rising,559,0,0,397,162,0
test,A,10,all,future_response,falling,773,0,0,575,198,0
test,A,10,all,future_response,stable,587,0,0,446,141,0
test,A,10,all,future_response,unknown,0,0,0,0,0,0
test,A,10,level_ge_7m,known_trend,rising,93,0,0,25,68,0
test,A,10,level_ge_7m,known_trend,falling,69,0,0,29,40,0
