column,changed
0,9168
1,7628
2,8303
3,9184
4,10096
5,10771
6,0
7,0
8,0
9,0
10,0
11,0
12,11098
13,9427
14,10862
15,11056
16,11498
17,11698
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,6188
39,6188
40,10060
41,7757
42,8274
43,8377
44,8468
45,2526
46,11589
47,2579
48,11598
49,2754
50,11599
51,3031
52,11599
53,3297
54,11599
55,3545
56,11606
57,2578
58,2578
59,2575
60,1673
61,10028
62,1832
63,10028
64,2007
65,10028
66,2210
67,10028
68,2334
69,10028
70,2464
71,10028
72,1832
73,1832
74,1831
75,2395
76,71
77,2887
78,198
79,3102
80,359
81,3180
82,654
83,3562
84,1140
85,3835
86,1824
87,2887
88,2886
89,2880
90,4521
91,11636
92,4830
93,11709
94,5071
95,11749
96,5319
97,11830
98,5954
99,11905
100,6504
101,11988
102,4827
103,4824
104,4818
105,3561
106,253
107,3766
108,412
109,4018
110,524
111,4090
112,661
113,4534
114,727
115,4914
116,785
117,3763
118,3760
119,3754
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
