valid_at,old_issued_m,reused_old_models_at_new_inputs_m,new_issued_m,joint_new_inputs_base_and_horizon_m,retraining_effect_at_new_inputs_m,total_same_target_revision_m,new_nominal_lead_h
2026-09-22T03:00:00-03:00,19.121274907489592,18.877221821926327,18.878267602999703,-0.24405308556326588,0.0010457810733761619,-0.24300730448988972,1
2026-09-22T04:00:00-03:00,19.27500148828672,19.047953422962237,19.088650503642373,-0.22704806532448174,0.04069708068013611,-0.18635098464434563,2
2026-09-22T05:00:00-03:00,19.0660508433026,19.242821477023437,19.28780352948452,0.17677063372083524,0.044982052461083555,0.2217526861819188,3
2026-09-22T06:00:00-03:00,18.91473415771554,19.363645671107637,19.442013038482525,0.44891151339209756,0.07836736737488792,0.5272788807669855,4
2026-09-22T07:00:00-03:00,18.565743602805167,19.10654979667524,19.22825367238508,0.5408061938700719,0.12170387570984076,0.6625100695799127,5
2026-09-22T08:00:00-03:00,18.57569861183944,18.971039641626326,19.051331846572065,0.3953410297868878,0.08029220494573863,0.4756332347326264,6
2026-09-22T09:00:00-03:00,18.30131685157885,18.701411972867987,18.689408347925077,0.40009512128913727,-0.012003624942909852,0.3880914963462274,7
2026-09-22T10:00:00-03:00,18.900980659149432,18.702779580861865,18.644166429680308,-0.1982010782875676,-0.0586131511815573,-0.2568142294691249,8
2026-09-22T11:00:00-03:00,18.424836821397164,18.502496924726707,18.58118828623858,0.0776601033295421,0.07869136151187206,0.15635146484141416,9
2026-09-22T12:00:00-03:00,18.294879561399306,18.317090225221143,18.15156170855288,0.022210663821837784,-0.16552851666826385,-0.14331785284642606,10
2026-09-22T13:00:00-03:00,17.87504177705621,18.1223955303944,18.154117383413986,0.24735375333818865,0.03172185301958663,0.2790756063577753,11
2026-09-22T14:00:00-03:00,17.570376207647847,17.984807956003102,17.960770706532564,0.41443174835525554,-0.024037249470538313,0.3903944988847172,12
2026-09-22T15:00:00-03:00,17.331062020077912,17.696991949702184,17.6467383801869,0.3659299296242722,-0.05025356951528437,0.3156763601089878,13
