projected_index,original_index,name
0,0,86510000:H
1,2,86510000:dH1
2,3,86510000:dH2
3,4,86510000:dH4
4,5,86510000:dH8
5,6,86472000:H
6,7,86472000:dH0.5
7,8,86472000:dH1
8,9,86472000:dH2
9,10,86472000:dH4
10,11,86472000:dH8
11,12,86472600:H
12,13,86472600:dH0.5
13,14,86472600:dH1
14,15,86472600:dH2
15,16,86472600:dH4
16,17,86472600:dH8
17,18,86500000:H
18,19,86500000:dH0.5
19,20,86500000:dH1
20,21,86500000:dH2
21,22,86500000:dH4
22,23,86500000:dH8
23,24,julho:Q06
24,25,julho:Q
25,26,julho:I
26,27,julho:dQ1
27,28,julho:dQ2
28,29,julho:dQ4
29,30,julho:dQ8
30,31,monte:Q06
31,32,monte:Q
32,33,monte:I
33,34,monte:dQ1
34,35,monte:dQ2
35,36,monte:dQ4
36,37,monte:dQ8
37,38,castro:Q06
38,39,castro:Q
39,40,castro:I
40,41,castro:dQ1
41,42,castro:dQ2
42,43,castro:dQ4
43,44,castro:dQ8
44,45,Baixo Antas:P1
45,46,Baixo Antas:C1
46,47,Baixo Antas:P3
47,48,Baixo Antas:C3
48,49,Baixo Antas:P6
49,50,Baixo Antas:C6
50,51,Baixo Antas:P12
51,52,Baixo Antas:C12
52,53,Baixo Antas:P24
53,54,Baixo Antas:C24
54,55,Baixo Antas:P48
55,56,Baixo Antas:C48
56,57,Baixo Antas:P3lag3
57,58,Baixo Antas:P3lag6
58,59,Baixo Antas:P3lag12
59,60,Carreiro:P1
60,61,Carreiro:C1
61,62,Carreiro:P3
62,63,Carreiro:C3
63,64,Carreiro:P6
64,65,Carreiro:C6
65,66,Carreiro:P12
66,67,Carreiro:C12
67,68,Carreiro:P24
68,69,Carreiro:C24
69,70,Carreiro:P48
70,71,Carreiro:C48
71,72,Carreiro:P3lag3
72,73,Carreiro:P3lag6
73,74,Carreiro:P3lag12
74,75,Prata-Turvo:P1
75,76,Prata-Turvo:C1
76,77,Prata-Turvo:P3
77,78,Prata-Turvo:C3
78,79,Prata-Turvo:P6
79,80,Prata-Turvo:C6
80,81,Prata-Turvo:P12
81,82,Prata-Turvo:C12
82,83,Prata-Turvo:P24
83,84,Prata-Turvo:C24
84,85,Prata-Turvo:P48
85,86,Prata-Turvo:C48
86,87,Prata-Turvo:P3lag3
87,88,Prata-Turvo:P3lag6
88,89,Prata-Turvo:P3lag12
89,90,Alto Antas:P1
90,91,Alto Antas:C1
91,92,Alto Antas:P3
92,93,Alto Antas:C3
93,94,Alto Antas:P6
94,95,Alto Antas:C6
95,96,Alto Antas:P12
96,97,Alto Antas:C12
97,98,Alto Antas:P24
98,99,Alto Antas:C24
99,100,Alto Antas:P48
100,101,Alto Antas:C48
101,102,Alto Antas:P3lag3
102,103,Alto Antas:P3lag6
103,104,Alto Antas:P3lag12
104,105,Tainhas:P1
105,106,Tainhas:C1
106,107,Tainhas:P3
107,108,Tainhas:C3
108,109,Tainhas:P6
109,110,Tainhas:C6
110,111,Tainhas:P12
111,112,Tainhas:C12
112,113,Tainhas:P24
113,114,Tainhas:C24
114,115,Tainhas:P48
115,116,Tainhas:C48
116,117,Tainhas:P3lag3
117,118,Tainhas:P3lag6
118,119,Tainhas:P3lag12
