phase,horizon_h,family,original_n,added_n,n,features,original_targets_ge_7m,added_targets_ge_7m,weight_sum,response_min_m,response_max_m,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,1,levels45_original,4362,0,4362,45,227,0,4646,-0.41000000000000014,1.1800000000000006,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,1,levels45_augmented,4362,503,4865,45,227,56,5171,-0.41000000000000014,2.6400000000000006,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,1,rain108_original,4362,0,4362,108,227,0,4646,-0.41000000000000014,1.1800000000000006,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,1,rain108_augmented,4362,503,4865,108,227,56,5171,-0.41000000000000014,2.6400000000000006,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,1,levels45_original,10841,0,10841,45,255,0,11137,-0.4800000000000004,1.2400000000000002,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,1,levels45_augmented,10841,503,11344,45,255,56,11662,-0.4800000000000004,2.6400000000000006,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,1,rain108_original,10841,0,10841,108,255,0,11137,-0.4800000000000004,1.2400000000000002,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,1,rain108_augmented,10841,503,11344,108,255,56,11662,-0.4800000000000004,2.6400000000000006,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,2,levels45_original,4360,0,4360,45,227,0,4714,-0.7199999999999989,2.09,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,2,levels45_augmented,4360,501,4861,45,227,55,5249,-0.7199999999999989,4.710000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,2,rain108_original,4360,0,4360,108,227,0,4714,-0.7199999999999989,2.09,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,2,rain108_augmented,4360,501,4861,108,227,55,5249,-0.7199999999999989,4.710000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,2,levels45_original,10837,0,10837,45,255,0,11273,-0.8500000000000005,2.09,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,2,levels45_augmented,10837,501,11338,45,255,55,11808,-0.8500000000000005,4.710000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,2,rain108_original,10837,0,10837,108,255,0,11273,-0.8500000000000005,2.09,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,2,rain108_augmented,10837,501,11338,108,255,55,11808,-0.8500000000000005,4.710000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,3,levels45_original,4358,0,4358,45,227,0,4832,-0.9799999999999995,3.0200000000000005,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,3,levels45_augmented,4358,499,4857,45,227,54,5373,-0.9799999999999995,6.620000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,3,rain108_original,4358,0,4358,108,227,0,4832,-0.9799999999999995,3.0200000000000005,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,3,rain108_augmented,4358,499,4857,108,227,54,5373,-0.9799999999999995,6.620000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,3,levels45_original,10834,0,10834,45,255,0,11510,-1.1000000000000005,3.0200000000000005,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,3,levels45_augmented,10834,499,11333,45,255,54,12051,-1.1000000000000005,6.620000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,3,rain108_original,10834,0,10834,108,255,0,11510,-1.1000000000000005,3.0200000000000005,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,3,rain108_augmented,10834,499,11333,108,255,54,12051,-1.1000000000000005,6.620000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,4,levels45_original,4356,0,4356,45,227,0,4980,-1.2100000000000009,3.8600000000000003,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,4,levels45_augmented,4356,497,4853,45,227,53,5525,-1.2100000000000009,8.280000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,4,rain108_original,4356,0,4356,108,227,0,4980,-1.2100000000000009,3.8600000000000003,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,4,rain108_augmented,4356,497,4853,108,227,53,5525,-1.2100000000000009,8.280000000000001,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,4,levels45_original,10830,0,10830,45,255,0,11762,-1.3499999999999996,3.8600000000000003,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,4,levels45_augmented,10830,497,11327,45,255,53,12307,-1.3499999999999996,8.280000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,4,rain108_original,10830,0,10830,108,255,0,11762,-1.3499999999999996,3.8600000000000003,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,4,rain108_augmented,10830,497,11327,108,255,53,12307,-1.3499999999999996,8.280000000000001,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,5,levels45_original,4355,0,4355,45,227,0,5141,-1.4800000000000004,4.6899999999999995,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,5,levels45_augmented,4355,495,4850,45,227,52,5698,-1.4800000000000004,9.240000000000002,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,5,rain108_original,4355,0,4355,108,227,0,5141,-1.4800000000000004,4.6899999999999995,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
validation,5,rain108_augmented,4355,495,4850,108,227,52,5698,-1.4800000000000004,9.240000000000002,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
test,5,levels45_original,10828,0,10828,45,255,0,12152,-1.5199999999999996,4.6899999999999995,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,5,levels45_augmented,10828,495,11323,45,255,52,12709,-1.5199999999999996,9.240000000000002,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,5,rain108_original,10828,0,10828,108,255,0,12152,-1.5199999999999996,4.6899999999999995,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
test,5,rain108_augmented,10828,495,11323,108,255,52,12709,-1.5199999999999996,9.240000000000002,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error
validation,6,levels45_original,4354,0,4354,45,227,0,5334,-1.7400000000000002,5.41,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error
