forecast_record,evidence_kind,station_id,datum_id,model_id,model_version,registered_at,valid_at,nominal_lead_h,actual_lead_h,minimum_verified_lead_h,shorter_than_nominal_lead,forecast_m,observed_m,abs_error_m,observation_record,goal_eligible,hit_within_050m,flood_event_id,status,exclusion_reasons
cad2d809bd5618a95964025893ca9aa8943849f4101560f74b96c32da4aa4c86,archival_forecast_import,86510000,ANA:86510000:reference-unverified,radar_arvores_previsao_chuva,source-snapshot:22d28c1163abf41d8b6a0f4924f3ae2a43e536ca7014bcce090470f0361e710f,2026-09-21T19:48:15.175215+00:00,2026-09-21T16:00:00-03:00,1.0,-0.8042153375000001,-1,True,10.354225675568127,11.64,1.2857743244318733,a5c584006f101a2c93807911223857f0bf6f2733cf8f87fd31a68060b26a4bc1,False,False,9f2806d96e56e502689c8137,matched,"archival_import,registered_after_target,outside_1_to_12h_actual_lead_buckets,timezone_unverified,datum_unverified"
cad2d809bd5618a95964025893ca9aa8943849f4101560f74b96c32da4aa4c86,archival_forecast_import,86510000,ANA:86510000:reference-unverified,radar_arvores_previsao_chuva,source-snapshot:22d28c1163abf41d8b6a0f4924f3ae2a43e536ca7014bcce090470f0361e710f,2026-09-21T19:48:15.175215+00:00,2026-09-21T17:00:00-03:00,2.0,0.1957846625,0,True,11.209646933704338,12.97,1.7603530662956626,a5c584006f101a2c93807911223857f0bf6f2733cf8f87fd31a68060b26a4bc1,False,False,9f2806d96e56e502689c8137,matched,"archival_import,outside_1_to_12h_actual_lead_buckets,timezone_unverified,datum_unverified"
cad2d809bd5618a95964025893ca9aa8943849f4101560f74b96c32da4aa4c86,archival_forecast_import,86510000,ANA:86510000:reference-unverified,radar_arvores_previsao_chuva,source-snapshot:22d28c1163abf41d8b6a0f4924f3ae2a43e536ca7014bcce090470f0361e710f,2026-09-21T19:48:15.175215+00:00,2026-09-21T18:00:00-03:00,3.0,1.1957846625,1,True,11.501219284075743,13.87,2.368780715924256,a5c584006f101a2c93807911223857f0bf6f2733cf8f87fd31a68060b26a4bc1,False,False,9f2806d96e56e502689c8137,matched,"archival_import,timezone_unverified,datum_unverified"
cad2d809bd5618a95964025893ca9aa8943849f4101560f74b96c32da4aa4c86,archival_forecast_import,86510000,ANA:86510000:reference-unverified,radar_arvores_previsao_chuva,source-snapshot:22d28c1163abf41d8b6a0f4924f3ae2a43e536ca7014bcce090470f0361e710f,2026-09-21T19:48:15.175215+00:00,2026-09-21T19:00:00-03:00,4.0,2.1957846625,2,True,11.650989959045251,,,,False,,,missing_exact_observation,archival_import
cad2d809bd5618a95964025893ca9aa8943849f4101560f74b96c32da4aa4c86,archival_forecast_import,86510000,ANA:86510000:reference-unverified,radar_arvores_previsao_chuva,source-snapshot:22d28c1163abf41d8b6a0f4924f3ae2a43e536ca7014bcce090470f0361e710f,2026-09-21T19:48:15.175215+00:00,2026-09-21T20:00:00-03:00,5.0,3.1957846625000004,3,True,12.403635040443014,,,,False,,,not_due,archival_import
cad2d809bd5618a95964025893ca9aa8943849f4101560f74b96c32da4aa4c86,archival_forecast_import,86510000,ANA:86510000:reference-unverified,radar_arvores_previsao_chuva,source-snapshot:22d28c1163abf41d8b6a0f4924f3ae2a43e536ca7014bcce090470f0361e710f,2026-09-21T19:48:15.175215+00:00,2026-09-21T21:00:00-03:00,6.0,4.1957846625,4,True,12.103225906054362,,,,False,,,not_due,archival_import
cad2d809bd5618a95964025893ca9aa8943849f4101560f74b96c32da4aa4c86,archival_forecast_import,86510000,ANA:86510000:reference-unverified,radar_arvores_previsao_chuva,source-snapshot:22d28c1163abf41d8b6a0f4924f3ae2a43e536ca7014bcce090470f0361e710f,2026-09-21T19:48:15.175215+00:00,2026-09-21T22:00:00-03:00,7.0,5.1957846625,5,True,13.445622097751722,,,,False,,,not_due,archival_import
cad2d809bd5618a95964025893ca9aa8943849f4101560f74b96c32da4aa4c86,archival_forecast_import,86510000,ANA:86510000:reference-unverified,radar_arvores_previsao_chuva,source-snapshot:22d28c1163abf41d8b6a0f4924f3ae2a43e536ca7014bcce090470f0361e710f,2026-09-21T19:48:15.175215+00:00,2026-09-21T23:00:00-03:00,8.0,6.1957846625,6,True,13.629904539529917,,,,False,,,not_due,archival_import
cad2d809bd5618a95964025893ca9aa8943849f4101560f74b96c32da4aa4c86,archival_forecast_import,86510000,ANA:86510000:reference-unverified,radar_arvores_previsao_chuva,source-snapshot:22d28c1163abf41d8b6a0f4924f3ae2a43e536ca7014bcce090470f0361e710f,2026-09-21T19:48:15.175215+00:00,2026-09-22T00:00:00-03:00,9.0,7.1957846625,7,True,14.164101359105347,,,,False,,,not_due,archival_import
cad2d809bd5618a95964025893ca9aa8943849f4101560f74b96c32da4aa4c86,archival_forecast_import,86510000,ANA:86510000:reference-unverified,radar_arvores_previsao_chuva,source-snapshot:22d28c1163abf41d8b6a0f4924f3ae2a43e536ca7014bcce090470f0361e710f,2026-09-21T19:48:15.175215+00:00,2026-09-22T01:00:00-03:00,10.0,8.1957846625,8,True,13.977466606446058,,,,False,,,not_due,archival_import
cad2d809bd5618a95964025893ca9aa8943849f4101560f74b96c32da4aa4c86,archival_forecast_import,86510000,ANA:86510000:reference-unverified,radar_arvores_previsao_chuva,source-snapshot:22d28c1163abf41d8b6a0f4924f3ae2a43e536ca7014bcce090470f0361e710f,2026-09-21T19:48:15.175215+00:00,2026-09-22T02:00:00-03:00,11.0,9.1957846625,9,True,13.799682357580576,,,,False,,,not_due,archival_import
cad2d809bd5618a95964025893ca9aa8943849f4101560f74b96c32da4aa4c86,archival_forecast_import,86510000,ANA:86510000:reference-unverified,radar_arvores_previsao_chuva,source-snapshot:22d28c1163abf41d8b6a0f4924f3ae2a43e536ca7014bcce090470f0361e710f,2026-09-21T19:48:15.175215+00:00,2026-09-22T03:00:00-03:00,12.0,10.1957846625,10,True,13.737598273980495,,,,False,,,not_due,archival_import
57539e7b7d614160f6bae35ba455e8f39b11528aff2b64a3c9cce257dda40e90,archival_forecast_import,86510000,ANA:86510000:reference-unverified,hge_arno_reference,source-snapshot:d8332f95bbfd60c4dbbb13b6d9ca331df3f026f8732a65a32fb72f09af67ef15,2026-09-21T19:48:15.176272+00:00,2026-09-21T16:00:00-03:00,1,-0.8042156311111112,-1,True,10.742560101106754,11.64,0.8974398988932464,a5c584006f101a2c93807911223857f0bf6f2733cf8f87fd31a68060b26a4bc1,False,False,9f2806d96e56e502689c8137,matched,"archival_import,registered_after_target,outside_1_to_12h_actual_lead_buckets,timezone_unverified,datum_unverified"
57539e7b7d614160f6bae35ba455e8f39b11528aff2b64a3c9cce257dda40e90,archival_forecast_import,86510000,ANA:86510000:reference-unverified,hge_arno_reference,source-snapshot:d8332f95bbfd60c4dbbb13b6d9ca331df3f026f8732a65a32fb72f09af67ef15,2026-09-21T19:48:15.176272+00:00,2026-09-21T17:00:00-03:00,2,0.19578436888888887,0,True,11.917637183079433,12.97,1.0523628169205672,a5c584006f101a2c93807911223857f0bf6f2733cf8f87fd31a68060b26a4bc1,False,False,9f2806d96e56e502689c8137,matched,"archival_import,outside_1_to_12h_actual_lead_buckets,timezone_unverified,datum_unverified"
57539e7b7d614160f6bae35ba455e8f39b11528aff2b64a3c9cce257dda40e90,archival_forecast_import,86510000,ANA:86510000:reference-unverified,hge_arno_reference,source-snapshot:d8332f95bbfd60c4dbbb13b6d9ca331df3f026f8732a65a32fb72f09af67ef15,2026-09-21T19:48:15.176272+00:00,2026-09-21T18:00:00-03:00,3,1.195784368888889,1,True,13.079052912439646,13.87,0.7909470875603528,a5c584006f101a2c93807911223857f0bf6f2733cf8f87fd31a68060b26a4bc1,False,False,9f2806d96e56e502689c8137,matched,"archival_import,timezone_unverified,datum_unverified"
