lead_h,family,phase,subset,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
3,level_ridge_unconstrained,validation,high_flow,28,222.14333971776395,203.6207926105905,460.17943184389
3,level_ridge_unconstrained,test,all,1965,153.73400568500742,78.55455457123445,319.8067644197254
3,level_ridge_unconstrained,test,high_flow,271,296.9588145660801,-36.81156365426134,449.81897994990305
3,level_ridge_nonnegative,validation,all,6549,177.182889925369,174.7164699221694,307.706110866805
3,level_ridge_nonnegative,validation,high_flow,28,294.49099665667933,281.2320782648638,554.1697471465662
3,level_ridge_nonnegative,test,all,1965,186.77813416723,60.533296201065774,372.00540687053575
3,level_ridge_nonnegative,test,high_flow,271,454.9640185490222,-179.5495430611243,613.3621276585415
4,reference_delta_full,validation,all,6548,72.54406281796274,10.785714175781152,178.9509505942402
4,reference_delta_full,validation,high_flow,28,187.17176800525593,-45.14931161572482,393.6792255460551
4,reference_delta_full,test,all,1964,157.13028339741757,-1.3534284160327592,302.8101859990651
4,reference_delta_full,test,high_flow,271,371.3305699661136,-96.33018657736193,581.0472187539508
4,level_ridge_unconstrained,validation,all,6548,172.26783312924778,166.61992652813663,292.5462647450832
4,level_ridge_unconstrained,validation,high_flow,28,262.54782559958414,216.55491109783344,512.8403375941299
4,level_ridge_unconstrained,test,all,1964,163.24066648439972,73.9678897195616,332.12597792110085
4,level_ridge_unconstrained,test,high_flow,271,334.05058472381114,-73.8434009769709,499.9597276823438
4,level_ridge_nonnegative,validation,all,6548,178.23811402992337,175.52400996005778,318.6623558539636
4,level_ridge_nonnegative,validation,high_flow,28,301.3942139206265,296.3756614061552,605.4925927530711
4,level_ridge_nonnegative,test,all,1964,192.62406279628598,49.468662247937736,387.6429013121487
4,level_ridge_nonnegative,test,high_flow,271,491.0379164550323,-232.6922409236331,759.5903505113907
5,reference_delta_full,validation,all,6547,82.2980756660968,11.926459803789236,202.3472637596212
5,reference_delta_full,validation,high_flow,28,187.2286876665864,-32.17342254811297,376.372757602331
5,reference_delta_full,test,all,1963,174.26374657489214,-3.745332697259744,313.2951622065503
5,reference_delta_full,test,high_flow,271,417.1736217100644,-127.08265808532765,677.1222484108807
5,level_ridge_unconstrained,validation,all,6547,175.1415968930588,168.38402128405568,307.6999702245747
5,level_ridge_unconstrained,validation,high_flow,28,317.4309670528569,228.41151696466474,593.9874610066042
5,level_ridge_unconstrained,test,all,1963,171.48872430844293,68.4548400194089,345.8869020746024
5,level_ridge_unconstrained,test,high_flow,271,372.47632245122406,-111.38352284720425,546.7314904574678
5,level_ridge_nonnegative,validation,all,6547,181.17809286386506,178.1244341669741,333.0721544947792
5,level_ridge_nonnegative,validation,high_flow,28,324.42850182262725,311.41573562547586,634.8333539359242
5,level_ridge_nonnegative,test,all,1963,198.31188611173394,39.00442388585606,398.07711348393207
5,level_ridge_nonnegative,test,high_flow,271,525.5414039428235,-280.3310434319752,899.0822757684116
6,reference_delta_full,validation,all,6546,91.87482486016397,15.349135477783468,227.2742125382864
6,reference_delta_full,validation,high_flow,28,249.41506111704535,-32.00870825004625,498.2794908369593
6,reference_delta_full,test,all,1962,189.36545227364064,-7.081513902982244,318.4865133693754
6,reference_delta_full,test,high_flow,271,459.587434411649,-158.8047786547275,828.6420168803232
6,level_ridge_unconstrained,validation,all,6546,175.89266118281031,167.52407238336193,315.23739456989244
6,level_ridge_unconstrained,validation,high_flow,28,373.1830548696498,244.10615935064328,614.7949197117406
6,level_ridge_unconstrained,test,all,1962,179.19797195831904,62.502180776297564,355.06634271253097
6,level_ridge_unconstrained,test,high_flow,271,410.9184948624543,-147.7293283239727,599.9270138587915
6,level_ridge_nonnegative,validation,all,6546,181.73911613256325,178.0886909926672,335.6425466753414
6,level_ridge_nonnegative,validation,high_flow,28,372.27792026006216,330.0654927869255,705.626947552067
6,level_ridge_nonnegative,test,all,1962,204.41416450322143,29.739019984978565,418.2454068780214
6,level_ridge_nonnegative,test,high_flow,271,558.5860589652825,-321.913069989135,1011.776323078859
7,reference_delta_full,validation,all,6545,100.23852490380028,19.501065528908693,248.721122462456
7,reference_delta_full,validation,high_flow,28,291.31094075350325,-6.630618170692442,540.5360880042381
7,reference_delta_full,test,all,1961,204.91709209019484,-10.649045829958288,333.3483510253945
7,reference_delta_full,test,high_flow,271,515.0257555348941,-188.6805832214149,917.1653741544148
7,level_ridge_unconstrained,validation,all,6545,178.93512675304072,168.86159068752124,323.6083831049673
7,level_ridge_unconstrained,validation,high_flow,28,435.91884308987477,267.5466485004736,668.1642668674828
7,level_ridge_unconstrained,test,all,1961,187.53318447078658,56.726884284661224,367.70007303881664
7,level_ridge_unconstrained,test,high_flow,271,452.7344573518678,-180.9645115600124,642.6696324382967
7,level_ridge_nonnegative,validation,all,6545,184.9213247806519,180.54606054801198,352.4355944300623
7,level_ridge_nonnegative,validation,high_flow,28,424.44552965280275,352.70322689601886,746.4751277001067
7,level_ridge_nonnegative,test,all,1961,211.599385718006,19.851455559578078,425.8891082498648
7,level_ridge_nonnegative,test,high_flow,271,595.4435010769216,-361.9577476318688,1213.2825540150473
8,reference_delta_full,validation,all,6544,107.78930567842053,24.585396474842938,259.81823532397084
8,reference_delta_full,validation,high_flow,28,338.5975769324695,13.980643559379681,644.5253317930024
8,reference_delta_full,test,all,1960,217.52222879116616,-14.806456885318738,342.7395072706678
8,reference_delta_full,test,high_flow,271,563.6511925148726,-219.22150021677794,1051.004174200099
8,level_ridge_unconstrained,validation,all,6544,183.03825240158753,171.39541125882914,335.9345710037613
8,level_ridge_unconstrained,validation,high_flow,28,506.27853798533306,301.439259132194,777.3360393481505
8,level_ridge_unconstrained,test,all,1960,195.96754715527547,50.72314996547433,372.9902821594157
8,level_ridge_unconstrained,test,high_flow,271,498.5881446691512,-212.4799240895921,794.7858448675511
8,level_ridge_nonnegative,validation,all,6544,189.35478432574286,184.15920764337378,370.06945953025934
8,level_ridge_nonnegative,validation,high_flow,28,487.9454581793707,385.639926883285,806.3610515643996
8,level_ridge_nonnegative,test,all,1960,218.84894610381338,10.401325998425225,439.2024874981323
8,level_ridge_nonnegative,test,high_flow,271,633.1177483152351,-402.34850087259844,1254.502446455887
9,reference_delta_full,validation,all,6543,114.44567881747525,28.152701837843924,270.11532438716193
9,reference_delta_full,validation,high_flow,28,405.53230004188197,79.14267451226247,688.5488129137475
9,reference_delta_full,test,all,1959,227.0794091187324,-19.03485476938394,353.3912639949295
9,reference_delta_full,test,high_flow,271,609.4159283509719,-251.82754349432628,1276.735687892665
9,level_ridge_unconstrained,validation,all,6543,186.34986559100028,170.33373236941236,347.4079691846228
9,level_ridge_unconstrained,validation,high_flow,28,583.4895534441563,352.56840389000297,930.4181133502185
9,level_ridge_unconstrained,test,all,1959,204.83572671976876,44.52834469214303,392.5505727296995
9,level_ridge_unconstrained,test,high_flow,271,547.6817224532359,-246.23043734134248,939.4507662255047
9,level_ridge_nonnegative,validation,all,6543,188.14720898273637,180.08894497139568,349.81957205827166
9,level_ridge_nonnegative,validation,high_flow,28,562.0444108736663,434.26367919070225,957.6889713864966
9,level_ridge_nonnegative,test,all,1959,225.35308641981024,2.462934222671116,445.60826216781
9,level_ridge_nonnegative,test,high_flow,271,670.8667132551559,-440.4413178105194,1263.2218952015694
10,reference_delta_full,validation,all,6542,120.16983043432101,31.681445169777884,275.9360092829522
10,reference_delta_full,validation,high_flow,28,497.4095309754929,149.65107676226634,937.0762193087589
10,reference_delta_full,test,all,1958,236.38021489261175,-24.084292347128102,367.3417451802262
10,reference_delta_full,test,high_flow,271,665.3661568404963,-291.90578160156076,1570.6415899377957
10,level_ridge_unconstrained,validation,all,6542,189.59217704990587,172.54733293883217,355.63185210121236
10,level_ridge_unconstrained,validation,high_flow,28,655.2805691085658,410.3509463662208,1147.691095908631
10,level_ridge_unconstrained,test,all,1958,214.14191557579997,38.36587803889485,401.19601703459216
10,level_ridge_unconstrained,test,high_flow,271,599.8852999083441,-282.14763479508497,1117.39218958528
10,level_ridge_nonnegative,validation,all,6542,189.58005494762082,179.3144689728149,350.54371684838634
10,level_ridge_nonnegative,validation,high_flow,28,637.7940570839376,488.6422771382739,1189.3126525969994
10,level_ridge_nonnegative,test,all,1958,236.13785873209585,-5.719670338384646,457.7621541853039
10,level_ridge_nonnegative,test,high_flow,271,723.9425074522647,-473.7049077331151,1367.6741778197365
11,reference_delta_full,validation,all,6541,124.46143481185847,36.62644026393301,281.50885098042505
11,reference_delta_full,validation,high_flow,28,608.8678821200199,235.35442457711522,1154.9681973786592
11,reference_delta_full,test,all,1957,246.35988560412352,-29.179438075023615,376.723831523761
11,reference_delta_full,test,high_flow,271,729.8799581223853,-328.6906148763272,1854.1446555071027
11,level_ridge_unconstrained,validation,all,6541,192.2512102685382,172.36830551330252,360.28182526698913
11,level_ridge_unconstrained,validation,high_flow,28,731.5105069344961,475.94463024359084,1531.0211035041189
11,level_ridge_unconstrained,test,all,1957,223.73352421705277,31.869167866343187,420.4803330382707
11,level_ridge_unconstrained,test,high_flow,271,654.2479544463232,-320.7626414891453,1323.2684915523882
11,level_ridge_nonnegative,validation,all,6541,190.86695988356811,177.41005618319153,353.1330854185837
11,level_ridge_nonnegative,validation,high_flow,28,713.4152326295991,559.7556058860874,1575.615887528234
11,level_ridge_nonnegative,test,all,1957,241.8426363542073,-11.774197392280886,478.2386267393592
11,level_ridge_nonnegative,test,high_flow,271,761.1034086073978,-501.95699309025355,1326.7306738413267
